problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.70068,0,0,0.65999,0,0,0.70561,1,0,0.66528,1,0,0.70015,0,0,0.68376,0,0,0.69576,1,1,0.63215,0,0,0.69187,0,0,0.67232,0,0
1,dart,1184,0.69342,1,0,0.65821,1,1,0.66266,1,1,0.67715,1,1,0.69342,1,0,0.60376,0,0,0.66766,1,0,0.68019,1,0,0.67554,1,0,0.71382,1,0
2,dart,301,0.696,1,0,0.70623,0,0,0.71786,1,0,0.50305,0,0,0.71786,1,0,0.64191,0,0,0.71786,0,0,0.65947,1,0,0.6567,1,0,0.64661,1,0
3,dart,471,0.71043,1,1,0.69556,1,1,0.65815,1,0,0.69602,1,1,0.66731,1,0,0.62686,1,0,0.71043,1,1,0.63315,1,1,0.65621,1,0,0.72525,1,1
4,dart,611,0.72031,1,1,0.70652,0,0,0.6551,0,0,0.72012,0,0,0.5441,0,0,0.53393,0,0,0.55344,0,0,0.69327,1,1,0.67666,0,0,0.73151,0,0
5,dart,564,0.79149,1,1,0.80139,1,0,0.769,0,0,0.78281,1,1,0.769,0,0,0.78546,1,1,0.77771,1,1,0.769,0,0,0.77432,1,1,0.78818,1,1
6,dart,852,0.61424,1,0,0.66966,1,0,0.60093,1,0,0.65618,1,0,0.65606,1,0,0.69148,1,0,0.65698,1,0,0.55103,1,0,0.64482,1,0,0.64482,1,0
7,dart,547,0.58325,1,1,0.61345,1,1,0.61345,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.61345,1,1,0.61345,1,1,0.74185,1,1,0.61345,1,1
8,dart,598,0.64391,1,0,0.66787,1,0,0.66252,1,0,0.65228,1,0,0.56918,1,0,0.61566,1,0,0.66368,1,0,0.59433,0,0,0.58907,1,0,0.64413,1,0
9,dart,807,0.65379,0,0,0.6406,0,0,0.65379,0,0,0.70548,0,0,0.66026,1,1,0.64571,0,0,0.62729,1,1,0.65762,0,0,0.7191,0,0,0.65379,0,0
10,dart,798,0.52079,0,0,0.60794,1,0,0.62336,1,0,0.58673,0,0,0.57928,0,0,0.49982,0,0,0.57734,1,0,0.52496,1,0,0.59559,1,0,0.59572,1,0
11,dart,629,0.6692,1,0,0.68605,1,1,0.6406,0,0,0.68913,0,0,0.59173,1,0,0.76883,0,0,0.60461,0,0,0.61499,1,0,0.64279,1,0,0.70592,0,0
12,dart,534,0.69584,1,1,0.65573,1,1,0.69863,1,1,0.6234,1,1,0.63004,1,1,0.70378,1,1,0.69686,1,1,0.59504,1,1,0.70378,1,1,0.58108,0,0
13,dart,491,0.69041,1,1,0.60016,1,1,0.69112,1,1,0.69754,0,0,0.69041,1,1,0.6836,0,0,0.69041,1,1,0.67715,1,1,0.69754,0,0,0.69041,1,1
14,dart,381,0.71944,1,1,0.73387,1,1,0.74743,1,1,0.71326,1,1,0.71623,1,1,0.73143,1,1,0.74647,1,1,0.71326,1,1,0.71326,1,1,0.71623,1,1
15,dart,542,0.57294,1,0,0.49047,1,0,0.47606,0,0,0.54207,1,0,0.50026,1,0,0.52041,0,0,0.504,1,0,0.45952,1,0,0.56571,1,0,0.49946,1,0
16,dart,319,0.53338,1,0,0.50095,1,0,0.49945,1,0,0.50369,1,0,0.51324,1,0,0.29565,0,0,0.58185,1,0,0.58621,1,0,0.47192,1,0,0.52449,1,0
17,dart,636,0.45004,1,0,0.43184,0,0,0.48864,0,0,0.44186,0,0,0.38308,0,0,0.42355,1,0,0.46978,1,0,0.43684,0,0,0.42088,0,0,0.6023,1,0
18,dart,486,0.65661,1,1,0.58172,1,1,0.65712,1,1,0.6341,1,0,0.59691,1,1,0.6328,1,0,0.59213,1,1,0.56224,1,1,0.60856,1,1,0.57646,1,1
19,dart,702,0.55886,1,0,0.70301,1,0,0.65195,1,0,0.70225,1,0,0.73544,1,0,0.50656,1,0,0.70225,1,0,0.70301,1,0,0.61519,1,0,0.55287,1,0
20,dart,1013,0.60305,0,0,0.39346,1,0,0.38296,1,0,0.59218,0,0,0.66052,0,0,0.58513,0,0,0.66514,1,0,0.65986,1,0,0.36352,0,0,0.65367,1,0
21,dart,701,0.64198,0,0,0.65583,0,0,0.65048,0,0,0.63453,0,0,0.6587,0,0,0.64359,0,0,0.65048,0,0,0.6446,0,0,0.65048,0,0,0.65972,0,0
22,dart,917,0.64689,1,1,0.53313,1,1,0.55001,1,1,0.5908,1,1,0.55831,1,1,0.57871,0,0,0.5908,1,1,0.53149,1,1,0.53207,1,1,0.55986,1,1
24,dart,420,0.67844,1,0,0.65563,1,0,0.64938,1,0,0.63455,0,0,0.61693,1,0,0.63774,1,1,0.65275,1,0,0.61663,1,0,0.66136,1,0,0.56193,0,0
26,dart,565,0.53884,1,0,0.61273,1,0,0.62436,1,0,0.53884,1,0,0.54525,1,0,0.57807,1,0,0.60298,1,0,0.53884,1,0,0.61623,1,0,0.61273,1,0
27,dart,753,0.73801,1,0,0.62758,1,1,0.72714,0,0,0.73801,1,0,0.73801,1,0,0.73812,1,0,0.73801,1,0,0.72635,0,0,0.72714,0,0,0.72962,1,1
28,dart,373,0.51548,1,1,0.50375,1,0,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.50764,1,1,0.75068,1,1,0.48503,1,0,0.75068,1,1
29,dart,671,0.73936,1,1,0.5655,1,0,0.60152,1,1,0.73936,1,1,0.60152,1,1,0.57122,1,1,0.60152,1,1,0.60152,1,1,0.60152,1,1,0.73936,1,1
30,dart,329,0.58836,1,1,0.57064,0,0,0.52175,1,1,0.57064,1,1,0.49468,1,0,0.57064,1,1,0.66169,1,0,0.46454,1,1,0.55939,1,1,0.55939,1,1
31,dart,502,0.61004,1,1,0.64339,1,1,0.70922,1,1,0.6498,1,1,0.59382,1,1,0.65584,1,1,0.70934,1,1,0.70934,1,1,0.6498,1,1,0.6491,1,1
33,dart,616,0.62352,1,0,0.72984,1,0,0.68103,1,0,0.63382,1,0,0.67658,1,0,0.56529,1,0,0.39432,1,0,0.62516,0,0,0.42986,0,0,0.59837,0,0
34,dart,643,0.53551,1,1,0.53551,1,0,0.55471,1,0,0.52522,1,0,0.50479,1,0,0.516,1,0,0.54189,1,0,0.51132,1,0,0.5427,1,0,0.50434,1,0
35,dart,346,0.58503,1,1,0.58503,1,1,0.58503,1,1,0.58503,1,1,0.58294,1,1,0.58503,1,1,0.58294,1,1,0.58233,0,0,0.58503,1,1,0.58503,1,1
36,dart,448,0.62558,1,0,0.66806,1,0,0.62558,1,0,0.68253,1,0,0.69428,1,0,0.69935,1,0,0.72686,1,0,0.62832,1,0,0.70257,1,0,0.64885,1,0
37,dart,579,0.72986,1,0,0.72798,1,0,0.72604,1,0,0.70005,1,0,0.72798,1,0,0.73853,1,0,0.61309,1,0,0.69865,1,0,0.72798,1,0,0.74238,1,0
39,dart,664,0.71629,1,0,0.62101,1,0,0.58242,0,0,0.69366,0,0,0.68561,1,0,0.64447,0,0,0.70193,1,1,0.69644,1,0,0.66173,1,0,0.60825,1,0
40,dart,607,0.69848,1,1,0.66701,1,0,0.669,1,0,0.66974,1,1,0.42014,1,0,0.64237,0,0,0.69564,1,1,0.66637,1,0,0.66016,1,1,0.68614,1,0
41,dart,422,0.45443,1,0,0.42915,0,0,0.47975,0,0,0.4774,1,0,0.45524,1,0,0.43717,1,0,0.48261,1,0,0.46738,1,0,0.45328,1,0,0.46566,1,0
42,dart,235,0.62992,1,1,0.61273,1,0,0.67066,1,1,0.61273,1,1,0.58001,1,1,0.41842,1,0,0.66443,1,1,0.6081,1,1,0.67066,1,1,0.64333,1,1
