problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.70068,0,0,0.67284,0,0,0.65413,0,0,0.6507,0,0,0.67924,1,1,0.68376,0,0,0.69628,0,0,0.6796,0,0,0.69628,0,0,0.68993,0,0
1,dart,1184,0.64857,1,0,0.67958,1,0,0.62311,1,0,0.25,0,0,0.68465,1,0,0.67394,1,0,0.67868,1,0,0.69547,0,0,0.64882,1,1,0.63108,1,0
2,dart,301,0.64661,1,0,0.64661,1,0,0.54391,1,0,0.55936,1,0,0.61065,1,0,0.60754,1,0,0.56056,1,0,0.54391,1,0,0.64661,1,0,0.58019,1,0
3,dart,471,0.71043,1,1,0.69556,1,1,0.25,0,0,0.66603,1,1,0.71043,1,1,0.25,0,0,0.71043,1,1,0.66603,1,1,0.71043,1,1,0.69556,1,1
4,dart,611,0.67666,0,0,0.65358,0,0,0.5441,0,0,0.48978,0,0,0.5441,0,0,0.548,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.66815,0,0
5,dart,564,0.75378,1,1,0.64654,1,0,0.71769,1,1,0.769,0,0,0.78387,1,1,0.73696,0,0,0.75911,1,1,0.80614,1,1,0.77193,1,1,0.78546,1,1
6,dart,852,0.64359,0,0,0.66686,1,0,0.59887,1,0,0.67685,1,0,0.54881,1,0,0.60262,1,0,0.65867,1,0,0.67797,1,0,0.65626,1,0,0.56771,1,0
7,dart,547,0.57801,1,1,0.74185,1,1,0.57801,1,0,0.57801,1,0,0.583,1,1,0.61345,1,1,0.61345,1,1,0.61345,1,1,0.57801,1,0,0.61345,1,1
8,dart,598,0.70232,1,0,0.62779,0,0,0.68788,1,0,0.61487,1,0,0.67611,1,0,0.59965,1,0,0.70572,1,0,0.72975,1,0,0.6426,1,0,0.6962,1,0
9,dart,807,0.6689,1,0,0.68857,0,0,0.67756,1,1,0.67364,1,1,0.65949,1,1,0.67255,1,1,0.66705,1,1,0.67255,1,1,0.6415,0,0,0.71138,1,1
10,dart,798,0.59498,1,0,0.58386,1,0,0.56169,1,0,0.59284,1,0,0.59438,1,0,0.49686,1,0,0.61879,1,0,0.62336,1,0,0.62283,1,0,0.58573,0,0
11,dart,629,0.63261,0,0,0.63905,1,0,0.67004,1,0,0.63934,0,0,0.69052,1,0,0.67932,0,0,0.63062,1,0,0.63697,1,0,0.67294,1,0,0.66946,1,0
12,dart,534,0.71433,1,1,0.60215,1,1,0.70378,1,1,0.71433,1,1,0.71433,1,1,0.71433,1,1,0.69058,1,1,0.60593,1,0,0.67738,1,1,0.71433,1,1
13,dart,491,0.69112,1,1,0.74398,1,1,0.69041,1,1,0.69041,1,1,0.74398,1,1,0.74398,1,1,0.67681,1,1,0.74398,1,1,0.74398,1,1,0.69041,1,1
14,dart,381,0.54479,1,0,0.25,0,0,0.7552,1,1,0.25,0,0,0.25,0,0,0.69133,1,1,0.73099,1,1,0.63997,1,1,0.67504,1,1,0.70043,1,1
15,dart,542,0.51357,1,0,0.52632,1,0,0.47728,1,0,0.43367,1,0,0.57124,1,0,0.55696,1,0,0.42772,1,0,0.49612,1,0,0.45874,1,0,0.54447,1,0
16,dart,319,0.43886,1,0,0.56728,1,0,0.5082,1,0,0.58483,1,0,0.58979,1,0,0.50579,1,1,0.48207,1,0,0.49562,1,0,0.25,0,0,0.59537,1,0
17,dart,636,0.41733,0,0,0.38692,1,0,0.50595,1,0,0.34376,0,0,0.48388,1,0,0.45918,1,0,0.46464,0,0,0.42111,0,0,0.45445,1,0,0.41782,1,0
18,dart,486,0.59276,1,1,0.67338,1,1,0.59492,1,1,0.56158,1,1,0.67632,1,1,0.57558,1,1,0.6341,1,0,0.65841,1,1,0.60764,1,1,0.69417,1,1
19,dart,702,0.49498,1,0,0.51175,1,0,0.70225,1,0,0.45414,1,0,0.73849,1,0,0.69836,1,0,0.70363,1,0,0.64988,1,0,0.73104,1,0,0.56026,1,0
20,dart,1013,0.5815,0,0,0.6549,0,0,0.63457,0,0,0.54463,0,0,0.70644,1,0,0.65503,0,0,0.66109,1,0,0.3211,0,0,0.5175,0,0,0.65418,1,0
21,dart,701,0.25,0,0,0.65691,0,0,0.25,0,0,0.65511,0,0,0.64483,0,0,0.25,0,0,0.63984,0,0,0.25,0,0,0.65583,0,0,0.65275,1,1
