problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.6705,1,0,0.65864,1,0,0.64706,1,0,0.6705,1,0,0.67599,0,0,0.65621,1,0,0.67137,1,1,0.66432,1,1,0.66143,1,1,0.67161,1,0
1,dart,1184,0.30086,0,0,0.68756,0,0,0.6568,1,1,0.50322,0,0,0.31148,0,0,0.65158,1,0,0.70183,1,0,0.67192,1,0,0.6967,1,0,0.65195,1,0
2,dart,301,0.60754,1,0,0.56056,1,0,0.56056,1,0,0.60754,0,0,0.56056,1,0,0.56056,1,0,0.60754,0,0,0.71786,0,0,0.60754,0,0,0.59472,1,0
3,dart,471,0.68784,1,1,0.69556,1,1,0.69556,1,1,0.71043,1,1,0.67323,1,1,0.69556,1,1,0.71043,1,1,0.71043,1,1,0.69556,1,1,0.62268,1,1
4,dart,611,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.46271,0,0,0.5441,0,0,0.5441,0,0
5,dart,564,0.74163,1,1,0.78546,1,1,0.7959,1,1,0.78546,1,1,0.76139,1,1,0.7959,1,1,0.78546,1,1,0.78546,1,1,0.74472,1,1,0.7846,1,1
6,dart,852,0.36962,0,0,0.65243,1,0,0.55356,0,0,0.65867,1,0,0.3705,0,0,0.66342,1,0,0.6989,1,0,0.30422,0,0,0.58154,0,0,0.12932,0,0
7,dart,547,0.42945,0,0,0.52874,0,0,0.58151,1,0,0.59092,1,1,0.58151,1,1,0.5168,0,0,0.40435,0,0,0.59092,1,1,0.57801,1,0,0.44164,0,0
8,dart,598,0.64462,1,0,0.65823,1,0,0.6825,0,0,0.67729,0,0,0.40804,0,0,0.30562,0,0,0.68804,1,0,0.68804,1,0,0.67539,1,0,0.68316,0,0
9,dart,807,0.67885,1,1,0.67885,1,1,0.67885,1,1,0.67885,1,1,0.67885,1,1,0.67885,1,1,0.67885,1,1,0.63633,1,1,0.67885,1,1,0.64461,1,1
10,dart,798,0.60827,1,0,0.3481,0,0,0.44367,1,0,0.58441,1,0,0.60827,1,0,0.60827,1,0,0.48255,0,0,0.50268,0,0,0.45368,0,0,0.64463,1,0
11,dart,629,0.63339,0,0,0.4339,0,0,0.60086,1,0,0.21001,0,0,0.63482,1,0,0.59616,1,0,0.63339,0,0,0.53856,0,0,0.59344,0,0,0.56212,1,0
12,dart,534,0.70739,1,1,0.70739,1,1,0.46791,0,0,0.70739,1,1,0.67305,1,1,0.63389,1,1,0.67305,1,1,0.64265,1,1,0.65354,1,1,0.70739,1,1
13,dart,491,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1
14,dart,381,0.74795,1,0,0.73099,1,1,0.76941,1,1,0.74795,1,0,0.76763,1,1,0.76941,1,1,0.74795,1,0,0.76763,1,1,0.73099,1,1,0.76941,1,1
15,dart,542,0.55987,1,0,0.48251,1,0,0.38261,0,0,0.51999,1,0,0.35762,0,0,0.37999,0,0,0.31324,1,0,0.57161,1,1,0.41441,0,0,0.30158,0,0
16,dart,319,0.50369,1,0,0.49842,1,0,0.49842,1,0,0.49562,1,0,0.49013,1,0,0.51164,1,0,0.52409,1,0,0.49842,1,0,0.5016,1,0,0.57472,1,0
17,dart,636,0.27747,0,0,0.52405,0,0,0.30317,0,0,0.42042,1,0,0.33462,0,0,0.46937,1,0,0.39807,0,0,0.44846,0,0,0.35428,0,0,0.28213,0,0
18,dart,486,0.6969,1,1,0.55916,0,0,0.44575,0,0,0.59691,1,1,0.67632,1,1,0.46387,0,0,0.33038,0,0,0.59691,1,1,0.59691,1,1,0.34639,0,0
19,dart,702,0.49495,0,0,0.38141,0,0,0.42002,0,0,0.54346,0,0,0.42596,0,0,0.52203,0,0,0.27328,0,0,0.57851,0,0,0.52858,1,0,0.54026,1,0
