problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
syn_0003,dart,1078,0.5597,1,0,0.52655,0,0,0.58471,1,0,0.55916,1,0,0.63054,1,0,0.64465,0,0,0.69738,0,0,0.60934,1,0,0.75,1,0,0.68188,0,0
syn_0004,dart,546,0.57691,1,0,0.68444,1,0,0.64982,1,0,0.70046,1,0,0.59261,0,0,0.7038,1,0,0.60143,0,0,0.63139,1,0,0.66757,1,0,0.65126,1,0
syn_0006,dart,835,0.38599,1,0,0.35766,0,0,0.48002,1,0,0.472,0,0,0.50011,0,0,0.44987,0,0,0.54744,1,0,0.44378,0,0,0.48632,1,0,0.50031,0,0
syn_0010,dart,738,0.52096,0,0,0.65122,1,0,0.52043,0,0,0.48366,0,0,0.52676,1,0,0.60389,0,0,0.62001,1,0,0.48678,0,0,0.68111,1,0,0.28958,1,0
syn_0011,dart,1339,0.63001,0,0,0.63839,1,0,0.63731,1,0,0.57691,1,0,0.35934,0,0,0.59844,0,0,0.61769,0,0,0.49619,0,0,0.66769,0,0,0.61188,0,0
syn_0015,dart,514,0.56204,1,0,0.43188,0,0,0.50688,1,0,0.54008,1,0,0.25485,1,0,0.51251,1,0,0.43283,0,0,0.4614,1,0,0.58364,1,0,0.51083,0,0
syn_0018,dart,1117,0.33252,0,0,0.34762,0,0,0.40262,0,0,0.36778,0,0,0.40819,0,0,0.41542,1,0,0.34936,1,0,0.43821,1,0,0.35139,0,0,0.31878,0,0
syn_0019,dart,581,0.65622,0,0,0.58169,1,0,0.71367,0,0,0.61804,0,0,0.57046,1,1,0.61356,1,1,0.64958,1,0,0.57711,1,1,0.57711,1,1,0.71367,0,0
syn_0021,dart,686,0.62781,0,0,0.62452,0,0,0.64444,1,0,0.54476,0,0,0.60883,0,0,0.56036,1,0,0.64152,0,0,0.52372,1,0,0.55309,1,0,0.37194,1,0
syn_0026,dart,1113,0.34019,0,0,0.64034,1,0,0.34454,0,0,0.60572,0,0,0.53267,0,0,0.55765,0,0,0.47629,0,0,0.46592,1,0,0.50522,0,0,0.61779,1,0
syn_0030,dart,1094,0.67947,0,0,0.55872,0,0,0.41479,0,0,0.52638,0,0,0.50926,0,0,0.47646,0,0,0.69261,0,0,0.71096,0,0,0.67787,1,0,0.56692,1,0
syn_0034,dart,1359,0.64254,0,0,0.66047,0,0,0.61638,0,0,0.59631,0,0,0.6957,0,0,0.58537,1,0,0.65824,0,0,0.64036,0,0,0.67644,0,0,0.6044,1,0
syn_0043,dart,585,0.43702,0,0,0.45074,1,0,0.44804,1,0,0.47851,1,0,0.434,0,0,0.42483,0,0,0.42908,1,0,0.56419,1,0,0.49563,0,0,0.54509,1,0
syn_0060,dart,625,0.55086,0,0,0.69854,0,0,0.64877,1,0,0.68166,1,0,0.39165,0,0,0.57651,0,0,0.64031,1,0,0.66308,0,0,0.53224,0,0,0.62163,1,0
syn_0061,dart,504,0.42648,0,0,0.51371,0,0,0.50331,1,0,0.22568,0,0,0.38758,0,0,0.54931,1,0,0.40885,0,0,0.54261,1,0,0.49213,1,0,0.47505,1,0
syn_0063,dart,1006,0.62592,1,0,0.64076,1,0,0.56561,0,0,0.60303,1,0,0.57712,1,0,0.59292,0,0,0.59295,1,0,0.5439,1,0,0.57733,1,0,0.57775,1,0
syn_0067,dart,532,0.63871,1,0,0.62464,1,0,0.48494,1,0,0.44739,1,0,0.55691,1,0,0.43779,0,0,0.63713,1,0,0.51698,1,0,0.61538,1,0,0.63514,1,0
syn_0070,dart,626,0.5991,0,0,0.62737,1,0,0.47482,1,0,0.62143,0,0,0.59359,1,0,0.55735,1,0,0.55214,1,0,0.60187,1,0,0.54734,0,0,0.43885,1,0
syn_0071,dart,844,0.49212,0,0,0.64816,1,0,0.50706,1,0,0.57496,1,0,0.33977,1,0,0.61323,1,0,0.56313,1,0,0.58998,0,0,0.57155,1,0,0.60437,0,0
syn_0076,dart,805,0.40394,0,0,0.58839,0,0,0.4085,1,0,0.62925,1,0,0.56829,0,0,0.63088,0,0,0.63013,1,0,0.62669,0,0,0.40483,1,0,0.63864,0,0
syn_0082,dart,761,0.6393,0,0,0.59618,1,0,0.58986,1,0,0.66609,0,0,0.66441,1,0,0.4751,1,0,0.38507,0,0,0.71342,1,0,0.57499,1,0,0.6017,1,0
syn_0097,dart,798,0.53685,0,0,0.56922,1,0,0.63595,1,0,0.46629,0,0,0.57558,1,0,0.60528,1,0,0.61923,1,0,0.5901,0,0,0.64818,0,0,0.62263,0,0
syn_0107,dart,2293,0.66445,0,0,0.46107,1,0,0.68589,0,0,0.45979,1,0,0.67452,1,0,0.43515,0,0,0.44364,0,0,0.68501,0,0,0.47016,0,0,0.70175,1,0
syn_0109,dart,1951,0.38159,0,0,0.34791,0,0,0.39873,0,0,0.46851,1,0,0.60274,0,0,0.37465,0,0,0.43852,0,0,0.37925,0,0,0.43635,1,0,0.46754,0,0
syn_0118,dart,514,0.72289,0,0,0.75511,0,0,0.82047,1,0,0.68954,0,0,0.67685,1,0,0.70292,0,0,0.75576,1,0,0.6542,0,0,0.62178,1,0,0.47272,0,0
syn_0119,dart,1155,0.55389,0,0,0.58267,1,0,0.64173,0,0,0.72972,1,0,0.72795,1,0,0.63755,0,0,0.66391,1,0,0.70971,1,0,0.60138,0,0,0.72231,1,0
syn_0126,dart,1300,0.71208,1,0,0.63728,0,0,0.71607,1,0,0.72843,0,0,0.70509,0,0,0.6944,0,0,0.71349,0,0,0.71097,0,0,0.69448,1,0,0.57352,0,0
syn_0132,dart,750,0.58944,1,0,0.51051,0,0,0.56454,0,0,0.61322,1,0,0.24736,0,0,0.4023,0,0,0.54824,1,0,0.55899,1,0,0.53366,1,0,0.26425,0,0
syn_0135,dart,1609,0.70949,0,0,0.64557,0,0,0.69925,1,0,0.72399,0,0,0.70486,0,0,0.67765,0,0,0.70259,0,0,0.6941,0,0,0.6665,0,0,0.71911,0,0
syn_0137,dart,746,0.18774,1,0,0.37212,0,0,0.49295,0,0,0.57366,1,0,0.426,0,0,0.38719,0,0,0.58605,1,0,0.6047,1,0,0.60142,1,0,0.51765,0,0
syn_0138,dart,1243,0.64245,1,0,0.67915,1,0,0.65057,0,0,0.63501,0,0,0.3982,1,0,0.66489,0,0,0.68612,1,0,0.60846,0,0,0.57492,0,0,0.65142,1,0
syn_0143,dart,1242,0.69141,1,0,0.70302,1,0,0.63441,1,0,0.60948,1,0,0.6089,1,0,0.63586,0,0,0.72704,1,0,0.56315,1,0,0.69005,0,0,0.58181,0,0
syn_0145,dart,1497,0.65069,0,0,0.65427,1,0,0.69289,1,0,0.68597,1,0,0.61448,1,0,0.64116,1,0,0.68646,1,0,0.68981,1,0,0.65065,1,0,0.65356,1,0
syn_0151,dart,595,0.5316,1,0,0.53465,1,0,0.60855,1,0,0.54559,1,0,0.54417,0,0,0.58543,1,1,0.53586,1,0,0.56376,0,0,0.57504,1,1,0.59378,1,0
syn_0152,dart,1082,0.61053,1,0,0.58865,0,0,0.26853,0,0,0.6654,1,0,0.6132,0,0,0.63211,1,0,0.34375,0,0,0.67819,1,0,0.59942,0,0,0.65265,1,0
syn_0157,dart,617,0.45191,0,0,0.56291,1,0,0.57358,1,0,0.4698,1,0,0.44989,1,0,0.44871,0,0,0.54117,0,0,0.23945,0,0,0.55972,1,0,0.4756,1,0
syn_0166,dart,704,0.45505,1,0,0.51382,1,0,0.20654,1,0,0.6031,1,0,0.54277,1,0,0.5611,1,0,0.56892,1,0,0.53283,1,0,0.5384,1,0,0.56208,1,0
syn_0167,dart,604,0.58335,1,0,0.64399,1,0,0.61084,1,0,0.29978,0,0,0.62759,0,0,0.55431,0,0,0.66947,1,0,0.52098,1,0,0.48486,0,0,0.70738,1,0
syn_0173,dart,1498,0.68338,1,0,0.65826,1,0,0.59485,0,0,0.67282,1,0,0.68446,1,0,0.61125,1,0,0.66586,0,0,0.69705,1,0,0.51163,0,0,0.65347,0,0
syn_0177,dart,1164,0.71277,1,0,0.69514,0,0,0.70241,0,0,0.70088,0,0,0.63948,0,0,0.71481,0,0,0.69127,0,0,0.72038,0,0,0.72557,0,0,0.70948,0,0
syn_0181,dart,1118,0.35588,0,0,0.46169,0,0,0.56492,0,0,0.38996,0,0,0.58576,1,0,0.58639,0,0,0.61845,0,0,0.54709,0,0,0.46438,0,0,0.47817,0,0
syn_0184,dart,1150,0.67847,1,0,0.59423,0,0,0.62903,1,0,0.71548,0,0,0.6308,1,0,0.68184,1,0,0.6135,1,0,0.65094,0,0,0.64,1,0,0.68195,1,0
syn_0185,dart,567,0.48353,0,0,0.6662,1,0,0.5395,0,0,0.716,1,0,0.64626,1,0,0.66936,0,0,0.53891,0,0,0.58406,1,0,0.53693,0,0,0.65484,1,0
syn_0189,dart,1667,0.63964,1,0,0.67194,1,0,0.61718,0,0,0.60737,1,0,0.6559,0,0,0.55175,0,0,0.62708,0,0,0.59726,0,0,0.42595,0,0,0.45078,0,0
syn_0195,dart,1485,0.55082,0,0,0.59978,0,0,0.58181,0,0,0.51497,0,0,0.71038,0,0,0.5121,0,0,0.68796,0,0,0.59042,0,0,0.68731,1,0,0.67404,0,0
syn_0201,dart,1392,0.41558,0,0,0.4295,0,0,0.35216,0,0,0.44734,1,0,0.43029,0,0,0.16889,0,0,0.42228,0,0,0.43882,0,0,0.41555,1,0,0.43313,0,0
syn_0207,dart,1261,0.59846,1,0,0.59423,0,0,0.54586,0,0,0.71651,0,0,0.72767,1,0,0.72758,0,0,0.67719,1,0,0.40988,1,0,0.74982,0,0,0.64604,0,0
syn_0211,dart,1185,0.63966,0,0,0.69164,1,0,0.62647,0,0,0.6129,0,0,0.70729,0,0,0.68366,1,0,0.58905,0,0,0.65929,1,0,0.61679,1,0,0.47921,1,0
syn_0217,dart,897,0.3601,1,0,0.42255,0,0,0.43026,0,0,0.58573,0,0,0.2862,0,0,0.40407,0,0,0.51414,0,0,0.42562,0,0,0.4993,0,0,0.40748,0,0
syn_0223,dart,701,0.48512,0,0,0.54326,0,0,0.39019,0,0,0.5712,1,0,0.61661,0,0,0.38157,0,0,0.58276,0,0,0.44706,0,0,0.63841,0,0,0.64378,0,0
syn_0231,dart,1829,0.69465,0,0,0.6868,0,0,0.67315,0,0,0.67511,0,0,0.66691,0,0,0.6796,1,0,0.67721,0,0,0.61767,1,0,0.64642,0,0,0.66106,0,0
syn_0241,dart,1360,0.63513,0,0,0.61927,0,0,0.6688,1,0,0.65489,1,0,0.67234,0,0,0.64792,0,0,0.69839,1,0,0.6606,0,0,0.64564,1,0,0.6157,1,0
syn_0259,dart,489,0.45745,0,0,0.55533,1,0,0.49747,0,0,0.49933,0,0,0.48488,0,0,0.52045,0,0,0.42089,0,0,0.42292,0,0,0.57658,0,0,0.56789,0,0
syn_0261,dart,870,0.67935,1,0,0.68881,1,0,0.68203,0,0,0.69245,1,0,0.69801,0,0,0.74238,1,0,0.6497,0,0,0.71679,0,0,0.64876,0,0,0.62936,0,0
syn_0262,dart,1046,0.68503,1,0,0.69254,1,0,0.70483,1,0,0.60146,1,0,0.71399,1,0,0.61802,0,0,0.58699,0,0,0.65069,1,0,0.71878,0,0,0.67203,0,0
syn_0267,dart,1160,0.6578,1,0,0.57747,0,0,0.66704,0,0,0.66301,1,0,0.3833,0,0,0.63822,1,0,0.66445,0,0,0.58184,0,0,0.36047,0,0,0.61112,1,0
syn_0269,dart,903,0.6535,1,0,0.70033,1,0,0.58479,1,1,0.7277,1,0,0.67334,1,0,0.6052,1,0,0.65777,1,0,0.68744,1,0,0.59226,1,0,0.6588,1,0
syn_0278,dart,651,0.5641,0,0,0.55048,0,0,0.62016,1,0,0.58304,0,0,0.55515,0,0,0.67367,0,0,0.45373,0,0,0.61803,1,0,0.41089,0,0,0.29879,1,0
syn_0282,dart,1337,0.64585,0,0,0.67505,0,0,0.65418,1,0,0.60133,0,0,0.70304,0,0,0.6107,0,0,0.65615,0,0,0.69672,0,0,0.65889,0,0,0.6905,0,0
syn_0285,dart,911,0.64826,1,0,0.65165,1,0,0.60686,1,0,0.52105,0,0,0.64204,1,0,0.63233,1,0,0.61479,1,0,0.66591,1,0,0.64198,1,0,0.65985,1,0
syn_0291,dart,660,0.25523,1,0,0.46002,1,0,0.39303,0,0,0.14445,0,0,0.39807,0,0,0.23154,1,0,0.21245,1,0,0.25025,0,0,0.2831,0,0,0.497,1,0
syn_0292,dart,713,0.56844,0,0,0.62696,1,0,0.57564,1,0,0.43111,0,0,0.44903,0,0,0.48505,0,0,0.62909,1,0,0.46408,0,0,0.5106,1,0,0.56974,0,0
syn_0296,dart,542,0.64513,1,0,0.65637,0,0,0.64996,1,1,0.662,0,0,0.67998,0,0,0.65651,1,1,0.62602,0,0,0.68594,1,1,0.65376,0,0,0.70684,0,0
syn_0308,dart,911,0.63367,1,0,0.61104,1,0,0.6135,1,0,0.59422,1,0,0.54933,0,0,0.60112,1,0,0.59727,0,0,0.6518,0,0,0.5607,0,0,0.66351,0,0
syn_0314,dart,1146,0.6794,1,0,0.66181,1,0,0.67658,1,0,0.66283,1,0,0.67469,1,0,0.64898,1,0,0.63179,1,0,0.55685,0,0,0.64846,1,0,0.64163,1,0
syn_0319,dart,1427,0.72421,1,0,0.72158,0,0,0.69564,0,0,0.69574,1,0,0.71597,1,0,0.72445,1,0,0.71219,1,0,0.64629,0,0,0.72802,1,0,0.73295,0,0
syn_0320,dart,877,0.53845,0,0,0.63031,1,0,0.65051,1,0,0.68827,1,0,0.65416,0,0,0.64229,1,0,0.63957,1,0,0.67667,1,0,0.67369,1,0,0.64358,1,0
syn_0321,dart,606,0.66204,0,0,0.75579,1,0,0.53908,1,0,0.69679,1,0,0.44839,0,0,0.39672,0,0,0.64357,0,0,0.59226,1,0,0.46301,1,0,0.45119,0,0
syn_0330,dart,1138,0.66137,1,0,0.6219,1,0,0.51785,0,0,0.62136,0,0,0.63995,1,0,0.58325,0,0,0.66267,1,0,0.62136,1,0,0.59518,0,0,0.51495,0,0
syn_0331,dart,1332,0.57144,0,0,0.64553,0,0,0.54628,0,0,0.63972,0,0,0.70024,0,0,0.60401,0,0,0.64506,0,0,0.67537,1,0,0.69666,0,0,0.632,0,0
syn_0340,dart,485,0.27652,1,0,0.47453,1,0,0.60948,1,0,0.27927,1,0,0.20008,1,0,0.34908,1,0,0.30112,1,0,0.57326,1,0,0.26927,0,0,0.483,1,0
syn_0348,dart,1870,0.21583,0,0,0.24144,0,0,0.22397,0,0,0.36523,1,0,0.31234,0,0,0.38888,1,0,0.40993,1,0,0.42906,1,0,0.45214,0,0,0.4167,0,0
syn_0350,dart,925,0.64578,0,0,0.65574,1,0,0.62048,0,0,0.64,0,0,0.65404,0,0,0.70382,1,0,0.6127,1,0,0.63271,0,0,0.61739,0,0,0.65369,0,0
syn_0352,dart,613,0.71316,1,0,0.65793,1,0,0.56945,0,0,0.82293,0,0,0.74928,1,0,0.57622,1,0,0.78066,1,1,0.69584,1,0,0.68495,1,0,0.84153,1,0
syn_0353,dart,957,0.68213,1,1,0.68213,1,1,0.66721,1,1,0.68158,1,1,0.70489,1,0,0.69653,1,1,0.67176,1,1,0.62586,0,0,0.65196,0,0,0.65619,1,0
syn_0367,dart,735,0.50595,0,0,0.57356,0,0,0.71849,1,0,0.60627,0,0,0.42698,0,0,0.4869,0,0,0.56449,1,0,0.51759,1,0,0.49932,0,0,0.53128,0,0
syn_0376,dart,1044,0.54583,0,0,0.7032,0,0,0.62841,0,0,0.61883,0,0,0.64069,1,0,0.70443,0,0,0.69735,1,0,0.74013,1,0,0.66444,0,0,0.73775,0,0
syn_0378,dart,2195,0.35756,0,0,0.6871,1,0,0.71021,0,0,0.67718,1,0,0.67124,1,0,0.60069,0,0,0.647,0,0,0.57225,0,0,0.6779,1,0,0.61553,0,0
syn_0382,dart,1145,0.67393,0,0,0.69107,0,0,0.6788,0,0,0.64735,1,0,0.66495,0,0,0.64104,1,0,0.56669,0,0,0.54049,0,0,0.64358,0,0,0.70343,0,0
syn_0390,dart,650,0.63671,1,0,0.64377,1,1,0.64377,1,1,0.60347,1,0,0.63222,1,0,0.64233,1,0,0.62304,1,0,0.64233,1,0,0.65618,1,0,0.56641,0,0
syn_0402,dart,736,0.72568,1,0,0.64929,1,0,0.63462,0,0,0.6268,1,0,0.6232,0,0,0.61887,0,0,0.61446,0,0,0.66817,0,0,0.64868,0,0,0.66115,0,0
syn_0405,dart,633,0.56347,0,0,0.51001,0,0,0.58896,0,0,0.66342,0,0,0.50148,1,0,0.55446,1,0,0.61524,1,0,0.65567,0,0,0.32946,0,0,0.50497,0,0
syn_0414,dart,1543,0.69473,1,0,0.67583,1,0,0.65634,0,0,0.70797,0,0,0.69872,0,0,0.69085,1,0,0.70823,0,0,0.67128,1,0,0.70393,0,0,0.68557,1,0
