problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.47473,0,0,0.57533,0,0,0.29381,0,0,0.61048,0,0,0.41071,0,0
1,dart,327,0.44793,0,0,0.4659,0,0,0.56852,0,0,0.49061,0,0,0.50379,0,0
2,dart,90,0.32858,0,0,0.57154,0,0,0.28466,0,0,0.37526,0,0,0.45343,0,0
3,dart,262,0.35665,0,0,0.42674,0,0,0.50434,0,0,0.55944,0,0,0.44033,0,0
4,dart,147,0.63025,0,0,0.49644,0,0,0.49649,0,0,0.31121,0,0,0.36156,0,0
5,dart,117,0.38802,0,0,0.39106,0,0,0.03279,0,0,0.4906,0,0,0.15306,0,0
6,dart,69,0.34429,0,0,0.34732,0,0,0.44573,0,0,0.36936,0,0,0.33125,0,0
7,dart,152,0.39463,0,0,0.30207,0,0,0.47076,0,0,0.15979,0,0,0.41522,0,0
8,dart,197,0.40967,0,0,0.32923,0,0,0.50914,0,0,0.49867,0,0,0.39318,0,0
9,dart,963,0.62947,0,0,0.35044,0,0,0.42548,0,0,0.36232,0,0,0.61765,0,0
10,dart,91,0.30089,0,0,0.63581,0,0,0.37137,0,0,0.31773,0,0,0.38949,0,0
11,dart,271,0.43714,0,0,0.42397,0,0,0.4556,0,0,0.3186,0,0,0.45163,0,0
12,dart,275,0.66549,0,0,0.60668,0,0,0.59573,0,0,0.43774,0,0,0.44204,0,0
13,dart,229,0.45034,0,0,0.43884,0,0,0.38432,0,0,0.40494,0,0,0.58873,0,0
14,dart,250,0.35884,0,0,0.26521,0,0,0.05489,0,0,0.40287,0,0,0.29532,0,0
15,dart,252,0.4836,0,0,0.55959,0,0,0.36967,0,0,0.32742,0,0,0.45911,0,0
