problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.32205,0,0,0.33013,0,0,0.41373,0,0,0.50091,0,0,0.38116,0,0
1,dart,327,0.33112,0,0,0.54196,0,0,0.40798,0,0,0.38692,0,0,0.3842,0,0
2,dart,90,0.04479,0,0,0.03697,0,0,0.28526,0,0,0.50437,0,0,0.54787,0,0
3,dart,262,0.31919,0,0,0.43824,0,0,0.34526,0,0,0.32376,0,0,0.06202,0,0
4,dart,147,0.45458,0,0,0.61761,0,0,0.38732,0,0,0.10605,0,0,0.36526,0,0
5,dart,117,0.30938,0,0,0.28519,0,0,0.37874,0,0,0.38099,0,0,0.33221,0,0
6,dart,69,0.30156,0,0,0.50339,0,0,0.35464,0,0,0.38068,0,0,0.32163,0,0
7,dart,152,0.34418,0,0,0.36196,0,0,0.39152,0,0,0.35521,0,0,0.46964,0,0
8,dart,197,0.29268,0,0,0.2987,0,0,0.29242,0,0,0.31196,0,0,0.41761,0,0
9,dart,963,0.3525,0,0,0.32285,0,0,0.41548,0,0,0.44536,0,0,0.55775,0,0
10,dart,91,0.32266,0,0,0.36923,0,0,0.04328,0,0,0.31057,0,0,0.3054,0,0
11,dart,271,0.4757,0,0,0.30909,0,0,0.55994,0,0,0.34315,0,0,0.42253,0,0
12,dart,275,0.37693,0,0,0.54687,0,0,0.37958,0,0,0.61374,0,0,0.33245,0,0
13,dart,229,0.41488,0,0,0.29412,0,0,0.41433,0,0,0.33629,0,0,0.21863,0,0
14,dart,250,0.30566,0,0,0.30035,0,0,0.31422,0,0,0.10782,0,0,0.3608,0,0
15,dart,252,0.31674,0,0,0.08957,0,0,0.46059,0,0,0.52827,0,0,0.30876,0,0
16,dart,1164,0.31917,0,0,0.362,0,0,0.53042,0,0,0.396,0,0,0.41267,0,0
17,dart,88,0.11006,0,0,0.35861,0,0,0.54943,0,0,0.63795,0,0,0.10272,0,0
18,dart,123,0.05611,0,0,0.56329,0,0,0.34093,0,0,0.29819,0,0,0.58351,0,0
19,dart,71,0.27564,0,0,0.30223,0,0,0.30938,0,0,0.39956,0,0,0.32128,0,0
20,dart,88,0.51814,0,0,0.31594,0,0,0.55023,0,0,0.29346,0,0,0.35982,0,0
21,dart,88,0.29286,0,0,0.57894,0,0,0.43223,0,0,0.32394,0,0,0.42724,0,0
22,dart,78,0.28732,0,0,0.27379,0,0,0.34886,0,0,0.29101,0,0,0.33301,0,0
23,dart,220,0.34891,0,0,0.36147,0,0,0.45189,0,0,0.34529,0,0,0.53869,0,0
24,dart,132,0.40473,0,0,0.2966,0,0,0.48197,0,0,0.42721,0,0,0.29883,0,0
25,dart,559,0.73089,0,0,0.48072,0,0,0.55728,0,0,0.36224,0,0,0.70894,0,0
26,dart,67,0.30154,0,0,0.41363,0,0,0.30443,0,0,0.29562,0,0,0.4485,0,0
27,dart,988,0.56156,0,0,0.59387,0,0,0.62682,0,0,0.44408,0,0,0.33342,0,0
28,dart,78,0.28749,0,0,0.30789,0,0,0.28848,0,0,0.31664,0,0,0.33095,0,0
29,dart,402,0.50495,0,0,0.47285,0,0,0.42499,0,0,0.40572,0,0,0.49154,0,0
30,dart,88,0.30274,0,0,0.29363,0,0,0.60084,0,0,0.39879,0,0,0.4064,0,0
31,dart,85,0.30023,0,0,0.37003,0,0,0.34672,0,0,0.10605,0,0,0.38325,0,0
32,dart,255,0.33559,0,0,0.38856,0,0,0.59673,0,0,0.47323,0,0,0.38633,0,0
33,dart,246,0.34581,0,0,0.30135,0,0,0.25,0,0,0.5039,0,0,0.39956,0,0
34,dart,381,0.55784,0,0,0.34035,0,0,0.50548,0,0,0.42264,0,0,0.32418,0,0
35,dart,166,0.36039,0,0,0.12296,0,0,0.31307,0,0,0.3038,0,0,0.11052,0,0
36,dart,324,0.36149,0,0,0.09564,0,0,0.60349,0,0,0.36445,0,0,0.08245,0,0
37,dart,82,0.53617,0,0,0.42764,0,0,0.29851,0,0,0.32325,0,0,0.31274,0,0
38,dart,76,0.27906,0,0,0.37227,0,0,0.40277,0,0,0.31676,0,0,0.4032,0,0
