problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.40763,0,0,0.58994,0,0,0.34434,0,0,0.43131,0,0,0.33216,0,0,0.52418,0,0,0.35238,0,0,0.57627,0,0,0.32479,0,0,0.35951,0,0
1,dart,1184,0.3944,0,0,0.38044,0,0,0.37688,0,0,0.4842,0,0,0.34897,0,0,0.45244,0,0,0.5253,0,0,0.47341,0,0,0.52381,0,0,0.36213,0,0
2,dart,301,0.14022,0,0,0.39129,0,0,0.46768,0,0,0.49217,0,0,0.32669,0,0,0.31786,0,0,0.61166,0,0,0.65957,0,0,0.59957,0,0,0.47774,0,0
3,dart,471,0.23208,0,0,0.34582,0,0,0.3309,0,0,0.35284,0,0,0.47057,0,0,0.71758,0,0,0.53905,0,0,0.35177,0,0,0.40091,0,0,0.51327,0,0
4,dart,611,0.33619,0,0,0.51343,0,0,0.48353,0,0,0.32984,0,0,0.35996,0,0,0.29858,0,0,0.30359,0,0,0.33849,0,0,0.26481,0,0,0.29896,0,0
5,dart,564,0.35329,0,0,0.69654,0,0,0.61592,0,0,0.11229,0,0,0.45202,0,0,0.33238,0,0,0.47839,0,0,0.52509,0,0,0.53962,0,0,0.41117,0,0
6,dart,852,0.11106,0,0,0.70857,0,0,0.10202,0,0,0.42805,0,0,0.6026,0,0,0.42063,0,0,0.36022,0,0,0.34215,0,0,0.32482,0,0,0.16016,0,0
7,dart,547,0.44463,0,0,0.33886,0,0,0.70435,0,0,0.32084,0,0,0.44946,0,0,0.48377,0,0,0.33759,0,0,0.34153,0,0,0.2959,0,0,0.39476,0,0
8,dart,598,0.31873,0,0,0.17732,0,0,0.57364,0,0,0.43054,0,0,0.37887,0,0,0.5202,0,0,0.31762,0,0,0.36157,0,0,0.72617,0,0,0.52138,0,0
9,dart,807,0.47354,0,0,0.37196,0,0,0.67046,0,0,0.16574,0,0,0.37798,0,0,0.51286,0,0,0.41458,0,0,0.35565,0,0,0.68624,0,0,0.69416,0,0
10,dart,798,0.49252,0,0,0.1086,0,0,0.08227,0,0,0.58398,0,0,0.56418,0,0,0.50958,0,0,0.40915,0,0,0.37657,0,0,0.36543,0,0,0.50354,0,0
11,dart,629,0.6777,0,0,0.61912,0,0,0.33416,0,0,0.38373,0,0,0.67349,0,0,0.37498,0,0,0.55489,0,0,0.38307,0,0,0.27425,0,0,0.12797,0,0
12,dart,534,0.41244,0,0,0.37883,0,0,0.56603,0,0,0.25121,0,0,0.57955,0,0,0.37199,0,0,0.6897,0,0,0.37694,0,0,0.53716,0,0,0.33828,0,0
13,dart,491,0.37524,0,0,0.30819,0,0,0.32818,0,0,0.34753,0,0,0.37271,0,0,0.41485,0,0,0.45276,0,0,0.27519,0,0,0.30548,0,0,0.33304,0,0
14,dart,381,0.13764,0,0,0.33328,0,0,0.33411,0,0,0.42204,0,0,0.30192,0,0,0.47397,0,0,0.32744,0,0,0.31194,0,0,0.34238,0,0,0.06749,0,0
15,dart,542,0.42183,0,0,0.42607,0,0,0.49251,0,0,0.32308,0,0,0.56461,0,0,0.47195,0,0,0.26496,0,0,0.37367,0,0,0.35197,0,0,0.65135,0,0
16,dart,319,0.52851,0,0,0.62248,0,0,0.64603,0,0,0.36694,0,0,0.41213,0,0,0.32155,0,0,0.38396,0,0,0.4038,0,0,0.50288,0,0,0.44896,0,0
17,dart,636,0.68066,0,0,0.33894,0,0,0.36824,0,0,0.37709,0,0,0.37744,0,0,0.35357,0,0,0.6323,0,0,0.35907,0,0,0.69623,0,0,0.72844,0,0
