problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,628,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
1,dart,764,0.25,0,0,0.3125,0,0,0.25194,0,0,0.625,0,0,0.25194,0,0
2,dart,1502,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
3,dart,491,0.25,0,0,0.375,0,0,0.25,0,0,0.375,0,0,0.375,0,0
4,dart,773,0.375,0,0,0.375,0,0,0.375,0,0,0.40283,0,0,0.25,0,0
5,dart,1179,0.34818,0,0,0.375,0,0,0.25,0,0,0.29577,0,0,0.30737,0,0
6,dart,491,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
7,dart,505,0.25098,0,0,0.37979,0,0,0.37844,0,0,0.37978,0,0,0.38445,0,0
8,dart,1182,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
9,dart,1731,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
10,dart,712,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
11,dart,1231,0.375,0,0,0.375,0,0,0.375,0,0,0.39283,0,0,0.375,0,0
12,dart,623,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
13,dart,602,0.375,0,0,0.25,0,0,0.25,0,0,0.375,0,0,0.375,0,0
14,dart,522,0.25,0,0,0.34385,0,0,0.34056,0,0,0.375,0,0,0.26242,0,0
15,dart,1486,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.38105,0,0
16,dart,718,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
17,dart,1793,0.25,0,0,0.25,0,0,0.25,0,0,0.375,0,0,0.375,0,0
18,dart,3211,0.25,0,0,0.25,0,0,0.375,0,0,0.25,0,0,0.25,0,0
19,dart,1514,0.125,0,0,0.0,0,0,0.125,0,0,0.0,0,0,0.0,0,0
20,dart,1239,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
21,dart,1155,0.25,0,0,0.375,0,0,0.25,0,0,0.25,0,0,0.25,0,0
22,dart,1612,0.375,0,0,0.25,0,0,0.25,0,0,0.37592,0,0,0.25,0,0
23,dart,1086,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
24,dart,165,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.375,0,0
25,dart,516,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
26,dart,408,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
27,dart,1193,0.375,0,0,0.375,0,0,0.25,0,0,0.375,0,0,0.375,0,0
28,dart,1580,0.25,0,0,0.375,0,0,0.25,0,0,0.375,0,0,0.25,0,0
29,dart,1518,0.38448,0,0,0.39281,0,0,0.38448,0,0,0.375,0,0,0.38448,0,0
