problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,628,0.375,0,0,0.25437,0,0,0.375,0,0,0.25473,0,0,0.25173,0,0
1,dart,764,0.2644,0,0,0.25233,0,0,0.375,0,0,0.39901,0,0,0.2644,0,0
2,dart,1502,0.375,0,0,0.38816,0,0,0.375,0,0,0.375,0,0,0.375,0,0
3,dart,491,0.25,0,0,0.375,0,0,0.375,0,0,0.375,0,0,0.375,0,0
4,dart,773,0.375,0,0,0.375,0,0,0.375,0,0,0.375,0,0,0.26151,0,0
5,dart,1179,0.25,0,0,0.375,0,0,0.25,0,0,0.375,0,0,0.38724,0,0
6,dart,491,0.375,0,0,0.375,0,0,0.38044,0,0,0.375,0,0,0.25844,0,0
7,dart,505,0.25097,0,0,0.25481,0,0,0.33811,0,0,0.26136,0,0,0.25113,0,0
8,dart,1182,0.13145,0,0,0.12829,0,0,0.08333,0,0,0.14962,0,0,0.125,0,0
9,dart,1731,0.25,0,0,0.38176,0,0,0.31474,0,0,0.375,0,0,0.375,0,0
10,dart,712,0.30275,0,0,0.25,0,0,0.25097,0,0,0.37825,0,0,0.375,0,0
11,dart,1231,0.37855,0,0,0.375,0,0,0.375,0,0,0.375,0,0,0.45833,0,0
12,dart,623,0.375,0,0,0.375,0,0,0.375,0,0,0.25,0,0,0.25,0,0
13,dart,602,0.375,0,0,0.375,0,0,0.375,0,0,0.375,0,0,0.375,0,0
14,dart,522,0.38408,0,0,0.375,0,0,0.26186,0,0,0.375,0,0,0.25587,0,0
15,dart,1486,0.26718,0,0,0.26718,0,0,0.26718,0,0,0.3912,0,0,0.375,0,0
16,dart,718,0.26591,0,0,0.375,0,0,0.26627,0,0,0.375,0,0,0.375,0,0
17,dart,1793,0.5,0,0,0.3125,0,0,0.40639,0,0,0.625,0,0,0.34445,0,0
18,dart,3211,0.375,0,0,0.375,0,0,0.375,0,0,0.37661,0,0,0.375,0,0
19,dart,1514,0.25,0,0,0.125,0,0,0.01759,0,0,0.0401,0,0,0.125,0,0
20,dart,1239,0.375,0,0,0.375,0,0,0.25098,0,0,0.375,0,0,0.625,0,0
21,dart,1155,0.37875,0,0,0.37875,0,0,0.37875,0,0,0.37875,0,0,0.37875,0,0
22,dart,1612,0.3762,0,0,0.425,0,0,0.25,0,0,0.37704,0,0,0.375,0,0
23,dart,1086,0.375,0,0,0.375,0,0,0.375,0,0,0.375,0,0,0.375,0,0
24,dart,165,0.575,0,0,0.375,0,0,0.27248,0,0,0.375,0,0,0.375,0,0
25,dart,516,0.375,0,0,0.375,0,0,0.26578,0,0,0.375,0,0,0.375,0,0
26,dart,408,0.375,0,0,0.375,0,0,0.375,0,0,0.375,0,0,0.375,0,0
27,dart,1193,0.3757,0,0,0.3484,0,0,0.375,0,0,0.34862,0,0,0.375,0,0
28,dart,1580,0.25,0,0,0.375,0,0,0.375,0,0,0.25,0,0,0.39244,0,0
29,dart,1518,0.375,0,0,0.375,0,0,0.375,0,0,0.375,0,0,0.375,0,0
30,dart,1953,0.28335,0,0,0.25,0,0,0.375,0,0,0.45833,0,0,0.25,0,0
31,dart,1538,0.375,0,0,0.375,0,0,0.375,0,0,0.375,0,0,0.375,0,0
32,dart,1938,0.30759,0,0,0.38632,0,0,0.41775,0,0,0.27817,0,0,0.375,0,0
33,dart,1822,0.25,0,0,0.25,0,0,0.25,0,0,0.4145,0,0,0.375,0,0
34,dart,2127,0.25,0,0,0.267,0,0,0.375,0,0,0.375,0,0,0.25197,0,0
