problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.65023,0,0,0.37261,0,0,0.60917,0,0,0.48542,1,0,0.65429,1,1
1,dart,327,0.57105,1,1,0.69655,0,0,0.56117,1,1,0.70034,1,1,0.61282,1,1
2,dart,90,0.61798,0,0,0.66977,1,1,0.60586,0,0,0.63922,1,1,0.35579,1,1
3,dart,262,0.69612,0,0,0.70098,1,1,0.71764,1,1,0.52917,0,0,0.72705,1,1
4,dart,147,0.75813,0,0,0.59906,0,0,0.71046,1,1,0.62031,1,1,0.71399,1,1
5,dart,117,0.5946,1,1,0.67891,1,1,0.54614,0,0,0.63334,1,1,0.65309,1,1
6,dart,69,0.32874,0,0,0.75067,0,0,0.82483,0,0,0.32728,0,0,0.52289,0,0
7,dart,152,0.73617,1,1,0.73617,1,1,0.69603,1,1,0.70318,1,1,0.49632,0,0
8,dart,197,0.74106,1,1,0.65951,0,0,0.64434,1,1,0.30071,1,0,0.3698,1,1
9,dart,963,0.69038,1,1,0.64167,1,0,0.72014,1,1,0.65468,0,0,0.67922,1,1
10,dart,91,0.44716,0,0,0.69914,0,0,0.77814,0,0,0.46246,0,0,0.38643,0,0
11,dart,271,0.52465,0,0,0.67545,0,0,0.56923,0,0,0.68898,0,0,0.51768,0,0
12,dart,275,0.65359,1,1,0.56396,0,0,0.69123,0,0,0.61145,0,0,0.62088,0,0
13,dart,229,0.72766,0,0,0.61897,1,1,0.71194,1,1,0.63532,0,0,0.67161,1,1
14,dart,250,0.47072,0,0,0.49218,0,0,0.48528,0,0,0.7156,0,0,0.40146,1,1
15,dart,252,0.6107,0,0,0.61419,0,0,0.55263,1,1,0.68567,0,0,0.64793,0,0
16,dart,1164,0.62181,1,1,0.6659,1,1,0.65009,0,0,0.6756,0,0,0.62956,1,1
17,dart,88,0.71878,1,1,0.7152,0,0,0.71094,0,0,0.55815,0,0,0.51419,0,0
18,dart,123,0.37603,0,0,0.40281,0,0,0.68439,0,0,0.401,0,0,0.47009,1,1
19,dart,71,0.78876,0,0,0.47847,1,0,0.7233,1,1,0.78423,1,1,0.47595,0,0
20,dart,88,0.48271,0,0,0.46735,1,1,0.69518,1,1,0.56542,0,0,0.5771,0,0
21,dart,88,0.29442,0,0,0.47728,0,0,0.6947,1,1,0.3267,0,0,0.40771,1,1
22,dart,78,0.69791,1,1,0.77377,0,0,0.28364,0,0,0.78127,0,0,0.7592,1,1
23,dart,220,0.6086,0,0,0.6084,0,0,0.71165,1,1,0.75,0,0,0.6429,1,1
24,dart,132,0.75,0,0,0.63991,1,1,0.60314,1,1,0.62794,0,0,0.43362,0,0
25,dart,559,0.69048,0,0,0.63168,1,1,0.58909,0,0,0.58126,0,0,0.57635,1,1
26,dart,67,0.6102,0,0,0.47668,1,1,0.36046,0,0,0.59029,0,0,0.43711,1,1
27,dart,988,0.66327,0,0,0.66664,0,0,0.64615,0,0,0.67434,0,0,0.51705,0,0
28,dart,78,0.69109,0,0,0.36303,0,0,0.63631,0,0,0.72106,1,1,0.6871,1,1
29,dart,402,0.51668,1,1,0.55072,0,0,0.63293,1,1,0.47863,0,0,0.61376,1,1
30,dart,88,0.43319,1,1,0.7065,0,0,0.7065,0,0,0.54295,1,1,0.7065,0,0
31,dart,85,0.66847,1,1,0.80284,0,0,0.77462,1,1,0.73273,1,1,0.7146,0,0
32,dart,255,0.64493,0,0,0.56455,0,0,0.58354,1,0,0.53876,0,0,0.65992,0,0
33,dart,246,0.6903,0,0,0.61632,0,0,0.56658,0,0,0.6487,0,0,0.67287,1,1
34,dart,381,0.35133,1,0,0.74224,1,1,0.45801,0,0,0.42955,1,0,0.42608,1,0
35,dart,166,0.33618,0,0,0.38741,0,0,0.32331,0,0,0.62058,0,0,0.29529,0,0
36,dart,324,0.63615,0,0,0.44699,0,0,0.75217,0,0,0.75217,0,0,0.45112,1,1
37,dart,82,0.51131,0,0,0.77194,0,0,0.33452,0,0,0.79151,0,0,0.77194,0,0
38,dart,76,0.77879,0,0,0.77879,0,0,0.77879,0,0,0.80605,0,0,0.77879,0,0
39,dart,76,0.77879,0,0,0.6275,0,0,0.77879,0,0,0.61656,0,0,0.77879,0,0
40,dart,69,0.55785,0,0,0.57694,0,0,0.54464,0,0,0.42111,0,0,0.55785,0,0
41,dart,708,0.56622,0,0,0.58689,0,0,0.64474,0,0,0.70584,0,0,0.70356,0,0
42,dart,200,0.75,0,0,0.37227,0,0,0.73462,0,0,0.56966,0,0,0.75208,0,0
43,dart,942,0.56125,0,0,0.39651,0,0,0.63506,0,0,0.4029,0,0,0.52079,0,0
44,dart,287,0.60384,1,0,0.60681,0,0,0.70457,0,0,0.69339,1,0,0.72373,1,0
45,dart,965,0.68237,1,1,0.56795,0,0,0.51612,0,0,0.63017,0,0,0.70559,0,0
46,dart,104,0.04542,0,0,0.11624,0,0,0.11821,0,0,0.05582,0,0,0.03471,0,0
47,dart,345,0.32687,0,0,0.29862,0,0,0.2956,0,0,0.59835,0,0,0.31932,0,0
48,dart,2546,0.62814,0,0,0.6405,0,0,0.62339,0,0,0.6542,0,0,0.68328,0,0
49,dart,329,0.49397,0,0,0.72422,0,0,0.28581,1,0,0.3598,0,0,0.55968,1,1
50,dart,80,0.29104,0,0,0.32953,0,0,0.50259,1,0,0.34365,1,0,0.27789,0,0
51,dart,439,0.54363,1,0,0.65708,0,0,0.39377,0,0,0.50237,0,0,0.42611,0,0
52,dart,1353,0.56037,1,1,0.38167,0,0,0.67981,0,0,0.65625,0,0,0.36802,0,0
53,dart,219,0.72608,0,0,0.8144,1,0,0.79243,1,0,0.56639,0,0,0.70011,1,0
54,dart,237,0.47493,0,0,0.43796,0,0,0.67126,1,0,0.67961,1,0,0.70369,0,0
