problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.62594,1,1,0.36584,0,0,0.64457,1,1,0.36132,0,0,0.65429,1,1
1,dart,327,0.63142,1,1,0.75,0,0,0.69987,1,1,0.57689,1,1,0.61282,1,1
2,dart,90,0.34658,0,0,0.66268,1,1,0.53801,1,1,0.51114,1,1,0.43014,1,1
3,dart,262,0.66738,1,1,0.72988,0,0,0.61771,1,1,0.71935,0,0,0.72705,1,1
4,dart,147,0.40385,0,0,0.66984,1,1,0.68132,1,1,0.75686,1,1,0.71399,1,1
5,dart,117,0.75537,0,0,0.76512,0,0,0.62403,0,0,0.74436,1,1,0.7237,1,1
6,dart,69,0.76826,0,0,0.39591,1,0,0.76175,1,1,0.31631,1,1,0.52289,0,0
7,dart,152,0.31845,0,0,0.59668,0,0,0.69603,1,1,0.47339,1,1,0.49632,0,0
8,dart,197,0.49191,0,0,0.75684,1,1,0.50532,1,0,0.55094,0,0,0.35316,1,1
9,dart,963,0.66493,1,0,0.65435,1,1,0.60621,0,0,0.69713,0,0,0.67922,1,1
10,dart,91,0.86773,0,0,0.68742,0,0,0.50003,0,0,0.55117,0,0,0.47181,0,0
11,dart,271,0.44695,0,0,0.47592,0,0,0.41624,0,0,0.57527,0,0,0.51768,0,0
12,dart,275,0.59268,0,0,0.57518,0,0,0.64472,0,0,0.60738,0,0,0.65233,0,0
13,dart,229,0.46343,1,1,0.66013,0,0,0.6823,1,1,0.60573,0,0,0.72897,1,1
14,dart,250,0.54766,1,1,0.66266,0,0,0.59645,0,0,0.40046,0,0,0.41238,0,0
15,dart,252,0.60695,1,1,0.35233,0,0,0.66092,1,1,0.58665,0,0,0.67262,1,1
16,dart,1164,0.55275,1,1,0.66377,1,1,0.67455,1,1,0.64935,0,0,0.56883,1,1
17,dart,88,0.71878,1,1,0.73547,1,1,0.63537,0,0,0.74032,0,0,0.51419,0,0
18,dart,123,0.37246,1,0,0.66268,0,0,0.6283,1,1,0.46233,0,0,0.47962,1,1
19,dart,71,0.7121,1,1,0.59948,0,0,0.33949,0,0,0.31359,0,0,0.47595,0,0
20,dart,88,0.65275,1,1,0.51194,0,0,0.5204,0,0,0.62063,0,0,0.68548,1,1
21,dart,88,0.65066,0,0,0.57028,1,1,0.71688,1,1,0.64406,1,1,0.6295,1,1
22,dart,78,0.7459,1,1,0.48589,0,0,0.33217,1,0,0.55717,0,0,0.7592,1,1
23,dart,220,0.53829,0,0,0.71875,1,1,0.5301,1,1,0.60055,0,0,0.65171,1,1
24,dart,132,0.46654,0,0,0.37356,0,0,0.6044,1,1,0.52942,1,1,0.55358,1,1
25,dart,559,0.42489,0,0,0.51723,1,1,0.62407,0,0,0.53111,1,1,0.57635,1,1
26,dart,67,0.52269,1,1,0.59393,1,1,0.69954,1,1,0.59251,1,1,0.77979,1,1
27,dart,988,0.63479,0,0,0.71036,0,0,0.61896,0,0,0.65541,0,0,0.61085,0,0
28,dart,78,0.70919,1,1,0.71067,1,1,0.70919,1,1,0.37056,0,0,0.6871,1,1
29,dart,402,0.61593,0,0,0.62322,0,0,0.57886,1,1,0.61217,1,1,0.66565,1,1
30,dart,88,0.55858,0,0,0.54895,0,0,0.71229,1,1,0.52758,0,0,0.71229,1,1
31,dart,85,0.37586,0,0,0.5072,1,0,0.33693,1,1,0.59826,0,0,0.46026,1,1
32,dart,255,0.46616,0,0,0.55461,0,0,0.40641,0,0,0.70324,0,0,0.65992,0,0
33,dart,246,0.57708,1,1,0.63497,1,1,0.50829,1,1,0.65848,1,1,0.65032,1,1
34,dart,381,0.39141,1,0,0.73486,0,0,0.71843,1,1,0.43402,1,0,0.42608,1,0
35,dart,166,0.3034,1,1,0.36505,0,0,0.3864,0,0,0.31561,0,0,0.05045,0,0
36,dart,324,0.70933,1,0,0.34022,1,1,0.51748,1,0,0.40909,0,0,0.45112,1,1
