problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.61144,1,1,0.47213,0,0,0.66203,1,1,0.28387,1,0,0.67377,0,0
1,dart,327,0.61721,1,1,0.72237,1,1,0.61215,0,0,0.62295,0,0,0.61282,1,1
2,dart,90,0.62264,0,0,0.66444,1,1,0.57799,0,0,0.52333,1,1,0.66068,1,1
3,dart,262,0.60124,1,1,0.70746,1,1,0.71265,1,1,0.68112,1,1,0.68059,1,1
4,dart,147,0.57832,0,0,0.6224,1,1,0.72475,1,1,0.68661,1,1,0.55567,1,1
5,dart,117,0.76879,1,1,0.77482,0,0,0.74156,1,1,0.69959,0,0,0.7237,1,1
6,dart,69,0.79132,0,0,0.33751,0,0,0.32962,0,0,0.45171,0,0,0.52289,0,0
7,dart,152,0.53845,0,0,0.43921,1,1,0.03171,0,0,0.69603,1,1,0.49632,0,0
8,dart,197,0.3365,0,0,0.47962,0,0,0.55326,0,0,0.55701,1,1,0.39619,1,1
9,dart,963,0.71591,0,0,0.69839,1,1,0.67549,1,1,0.75,1,1,0.73626,0,0
10,dart,91,0.58265,1,0,0.55418,0,0,0.59761,0,0,0.57134,1,0,0.35195,0,0
11,dart,271,0.73167,0,0,0.46541,0,0,0.77719,0,0,0.68034,0,0,0.56397,0,0
12,dart,275,0.50004,0,0,0.58501,0,0,0.58523,0,0,0.60752,0,0,0.65233,0,0
13,dart,229,0.5145,0,0,0.75,0,0,0.70046,1,1,0.36824,0,0,0.72897,1,1
14,dart,250,0.71904,0,0,0.46661,1,1,0.67898,0,0,0.68711,0,0,0.47397,0,0
15,dart,252,0.55939,1,1,0.65094,0,0,0.61018,0,0,0.5761,0,0,0.67262,1,1
16,dart,1164,0.68842,1,1,0.64645,1,1,0.68275,0,0,0.62241,0,0,0.63148,1,1
17,dart,88,0.7399,1,1,0.70943,0,0,0.48283,0,0,0.7399,1,1,0.51419,0,0
18,dart,123,0.62012,0,0,0.34608,0,0,0.4676,0,0,0.47795,1,1,0.49343,0,0
19,dart,71,0.37181,0,0,0.40673,0,0,0.30234,0,0,0.79502,1,1,0.47595,0,0
20,dart,88,0.70063,1,1,0.34498,0,0,0.53713,0,0,0.52496,1,1,0.68548,1,1
21,dart,88,0.51285,0,0,0.4372,0,0,0.52056,0,0,0.63355,1,1,0.64145,1,1
22,dart,78,0.73945,1,1,0.59774,1,1,0.27749,0,0,0.32523,1,0,0.28102,1,0
23,dart,220,0.66407,0,0,0.69506,1,1,0.75,0,0,0.64862,0,0,0.65171,1,1
24,dart,132,0.57833,1,1,0.61105,1,1,0.55345,1,1,0.56705,1,1,0.63178,1,1
25,dart,559,0.71669,1,1,0.48722,0,0,0.63846,0,0,0.68653,1,1,0.57635,1,1
26,dart,67,0.66189,1,1,0.3794,0,0,0.5649,1,1,0.44576,0,0,0.39875,0,0
27,dart,988,0.6807,0,0,0.66352,0,0,0.65379,0,0,0.66788,0,0,0.62905,0,0
28,dart,78,0.41536,0,0,0.57519,0,0,0.70675,1,1,0.54367,1,1,0.6871,1,1
29,dart,402,0.6667,1,1,0.67179,1,1,0.6876,1,1,0.67509,1,1,0.67507,1,1
30,dart,88,0.71229,1,1,0.61683,1,1,0.68364,1,1,0.55522,1,1,0.80475,1,1
31,dart,85,0.43883,0,0,0.75006,0,0,0.27723,0,0,0.50414,1,1,0.80964,1,1
32,dart,255,0.60767,0,0,0.59863,0,0,0.70691,0,0,0.55739,0,0,0.65992,0,0
33,dart,246,0.65331,1,1,0.67178,1,1,0.58432,0,0,0.67142,1,1,0.64809,1,1
34,dart,381,0.73922,1,1,0.65869,0,0,0.5344,0,0,0.70804,0,0,0.42608,1,0
35,dart,166,0.48815,0,0,0.29038,0,0,0.2975,1,1,0.32785,0,0,0.35683,0,0
36,dart,324,0.31579,0,0,0.43922,1,1,0.45728,0,0,0.39243,0,0,0.38708,0,0
37,dart,82,0.79151,0,0,0.80321,0,0,0.76041,0,0,0.38662,1,1,0.77194,0,0
38,dart,76,0.35221,0,0,0.64413,0,0,0.62504,0,0,0.42193,0,0,0.77879,0,0
39,dart,76,0.80605,0,0,0.77879,0,0,0.60802,0,0,0.62354,0,0,0.77879,0,0
40,dart,69,0.54464,0,0,0.65057,0,0,0.41038,0,0,0.48526,0,0,0.54011,0,0
41,dart,708,0.57011,0,0,0.6875,0,0,0.61922,0,0,0.42558,0,0,0.71789,0,0
42,dart,200,0.53877,0,0,0.49078,0,0,0.68332,0,0,0.59049,0,0,0.75208,0,0
43,dart,942,0.44081,0,0,0.55937,0,0,0.58722,0,0,0.42268,0,0,0.57043,0,0
44,dart,287,0.6669,1,0,0.65023,1,0,0.62933,1,1,0.62279,1,0,0.72373,1,0
45,dart,965,0.63803,0,0,0.7183,0,0,0.7018,1,1,0.63006,1,1,0.70246,1,1
46,dart,104,0.18832,0,0,0.0597,1,0,0.08975,0,0,0.11983,0,0,0.05609,0,0
47,dart,345,0.34759,0,0,0.31373,0,0,0.47481,0,0,0.31014,0,0,0.31932,0,0
48,dart,2546,0.62793,0,0,0.67188,0,0,0.66988,0,0,0.61018,0,0,0.68026,0,0
49,dart,329,0.6007,1,1,0.49947,0,0,0.6639,1,1,0.46432,1,1,0.65749,1,1
50,dart,80,0.35426,0,0,0.28215,0,0,0.2725,1,0,0.34875,1,0,0.28628,0,0
51,dart,439,0.63324,0,0,0.50988,0,0,0.53132,1,0,0.60522,0,0,0.39903,0,0
52,dart,1353,0.47434,0,0,0.7,1,1,0.57004,1,1,0.46376,0,0,0.7465,0,0
53,dart,219,0.76522,0,0,0.59178,0,0,0.75945,1,0,0.34662,0,0,0.78768,0,0
54,dart,237,0.41684,0,0,0.52651,0,0,0.48395,0,0,0.58532,0,0,0.70178,1,0
55,dart,1486,0.59844,0,0,0.65479,1,0,0.64706,0,0,0.56429,0,0,0.60186,0,0
56,dart,1112,0.69142,0,0,0.61111,1,1,0.51845,0,0,0.63866,0,0,0.6043,0,0
57,dart,493,0.55297,0,0,0.39807,0,0,0.42743,0,0,0.08695,0,0,0.53073,0,0
58,dart,780,0.46743,0,0,0.68214,0,0,0.45834,0,0,0.63169,0,0,0.70213,0,0
59,dart,214,0.40905,0,0,0.66258,1,1,0.71234,1,1,0.44729,1,1,0.39647,1,1
60,dart,730,0.766,1,0,0.76872,0,0,0.8159,0,0,0.75824,1,0,0.73455,1,0
61,dart,485,0.54048,0,0,0.51292,1,0,0.75,0,0,0.66827,1,0,0.66506,1,0
62,dart,484,0.75,0,0,0.62295,1,1,0.51123,0,0,0.75,1,1,0.67167,1,1
63,dart,43,0.2679,0,0,0.35735,1,0,0.32079,0,0,0.34283,1,0,0.45022,0,0
64,dart,43,0.75273,0,0,0.32528,0,0,0.32162,0,0,0.29324,1,1,0.45022,0,0
65,dart,419,0.43315,1,0,0.73334,1,0,0.54894,1,0,0.49032,0,0,0.51258,1,0
66,dart,691,0.44345,0,0,0.29959,0,0,0.64546,1,0,0.50726,0,0,0.49623,0,0
67,dart,1238,0.62643,0,0,0.61034,0,0,0.5334,0,0,0.58316,0,0,0.6795,1,0
68,dart,1173,0.64927,1,0,0.67772,0,0,0.563,0,0,0.41753,0,0,0.61578,1,0
69,dart,1076,0.70826,1,1,0.71711,0,0,0.64001,0,0,0.63897,1,1,0.64918,1,1
70,dart,3076,0.66437,0,0,0.51019,0,0,0.48911,0,0,0.69283,0,0,0.68682,0,0
71,dart,435,0.6619,1,1,0.62902,1,1,0.70457,1,1,0.64771,1,0,0.56364,1,1
72,dart,874,0.6041,1,0,0.37795,0,0,0.44501,0,0,0.58103,0,0,0.63231,1,0
73,dart,2146,0.57832,0,0,0.58268,0,0,0.58654,1,0,0.60492,0,0,0.53486,1,0
74,dart,515,0.48392,1,0,0.56604,0,0,0.50776,1,0,0.36841,0,0,0.49878,1,0
75,dart,933,0.64273,0,0,0.63009,0,0,0.41109,0,0,0.62165,0,0,0.55653,0,0
76,dart,86,0.67477,0,0,0.84399,1,0,0.47512,1,0,0.49488,1,0,0.51425,0,0
77,dart,86,0.75775,1,0,0.75775,1,0,0.76756,1,0,0.70504,1,0,0.76756,1,0
78,dart,265,0.74421,0,0,0.74595,0,0,0.46919,0,0,0.7048,0,0,0.74315,0,0
79,dart,432,0.63801,0,0,0.64389,0,0,0.63423,0,0,0.26769,0,0,0.62637,0,0
80,dart,101,0.55346,0,0,0.61294,0,0,0.6495,0,0,0.57973,0,0,0.6495,0,0
81,dart,147,0.68191,0,0,0.70296,0,0,0.60372,0,0,0.70389,0,0,0.62473,0,0
82,dart,4338,0.33678,0,0,0.59397,0,0,0.69609,0,0,0.65509,0,0,0.59888,0,0
83,dart,5416,0.67694,0,0,0.37035,0,0,0.67388,0,0,0.66115,0,0,0.64569,0,0
84,dart,366,0.38624,0,0,0.41301,0,0,0.56257,0,0,0.41097,0,0,0.45237,0,0
85,dart,637,0.5895,0,0,0.10326,0,0,0.3689,0,0,0.61192,0,0,0.39034,0,0
86,dart,21,0.26949,0,0,0.26478,0,0,0.28894,0,0,0.28986,0,0,0.274,0,0
87,dart,121,0.14852,0,0,0.10184,0,0,0.3138,0,0,0.11459,0,0,0.1481,0,0
88,dart,305,0.36156,0,0,0.49163,0,0,0.47563,0,0,0.485,0,0,0.69266,0,0
89,dart,528,0.73149,1,1,0.6608,0,0,0.73439,1,1,0.73684,1,1,0.73534,1,1
90,dart,479,0.583,1,0,0.6732,0,0,0.64799,1,0,0.4073,0,0,0.58893,0,0
91,dart,365,0.41128,0,0,0.53649,0,0,0.41132,0,0,0.38601,0,0,0.40439,0,0
92,dart,148,0.68005,1,0,0.71932,1,0,0.56786,1,0,0.60037,0,0,0.54083,0,0
93,dart,182,0.3238,0,0,0.31575,0,0,0.40075,0,0,0.36977,0,0,0.31428,0,0
