problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.7341,1,0,0.73248,1,0,0.71741,1,1,0.71729,1,0,0.69295,1,0,0.71891,1,0,0.74669,1,1,0.73096,1,0,0.67429,1,0,0.73788,1,0
1,dart,1184,0.67027,1,0,0.601,1,0,0.63671,1,0,0.62238,1,0,0.34221,1,0,0.71434,1,0,0.63948,0,0,0.71135,1,0,0.67049,1,0,0.69895,0,0
2,dart,301,0.68924,1,0,0.65224,0,0,0.71055,1,1,0.67949,1,1,0.63123,1,1,0.69087,1,1,0.67949,1,0,0.696,1,0,0.69265,0,0,0.67184,0,0
3,dart,471,0.70239,1,0,0.69369,1,1,0.6847,1,1,0.69057,1,1,0.6941,1,0,0.7035,0,0,0.6548,1,0,0.68702,1,0,0.66382,1,0,0.66603,1,0
4,dart,611,0.47845,0,0,0.76278,0,0,0.57065,0,0,0.7637,0,0,0.72822,1,1,0.72166,1,1,0.5244,1,1,0.71359,1,1,0.74238,1,0,0.67803,0,0
5,dart,564,0.76365,1,1,0.67328,1,0,0.7846,1,1,0.76662,1,1,0.66899,0,0,0.7186,1,1,0.81242,1,1,0.75636,1,0,0.77663,1,1,0.77663,1,1
6,dart,852,0.69003,1,0,0.67249,1,0,0.64113,1,0,0.64786,1,0,0.61921,0,0,0.69213,1,0,0.63109,0,0,0.67425,1,0,0.66239,1,0,0.62607,1,0
7,dart,547,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.59913,1,1,0.74185,1,1,0.7374,1,1,0.73927,1,1,0.74185,1,1,0.74185,1,1,0.72732,1,1
8,dart,598,0.65475,1,0,0.49323,1,0,0.70202,1,0,0.67825,1,0,0.60552,1,0,0.68104,1,0,0.64002,1,0,0.72527,1,0,0.68757,1,0,0.70939,1,0
9,dart,807,0.63143,1,1,0.62598,1,1,0.66197,1,1,0.62767,1,1,0.71042,0,0,0.65124,0,0,0.63127,1,1,0.69829,1,1,0.66897,0,0,0.63127,1,1
10,dart,798,0.33741,0,0,0.58034,1,0,0.54091,1,0,0.7263,1,0,0.59411,1,0,0.63453,1,0,0.73913,0,0,0.74001,0,0,0.5742,0,0,0.38296,1,0
11,dart,629,0.67339,0,0,0.76907,1,1,0.68745,1,0,0.65274,1,1,0.70517,1,1,0.6604,1,0,0.68325,1,0,0.62799,1,1,0.64845,1,1,0.61402,0,0
12,dart,534,0.66206,1,0,0.53205,1,0,0.65928,1,0,0.6452,1,0,0.59912,0,0,0.63281,1,1,0.63754,1,1,0.48305,1,0,0.65405,1,0,0.62027,1,0
13,dart,491,0.52807,1,0,0.73556,1,1,0.67478,1,1,0.64303,1,1,0.72142,1,1,0.74398,1,1,0.67478,1,1,0.65292,1,1,0.73556,1,1,0.74398,1,1
14,dart,381,0.74416,1,1,0.75032,1,1,0.79563,1,1,0.7548,1,1,0.7624,1,1,0.77137,1,1,0.80705,1,1,0.72449,1,1,0.76737,1,1,0.77914,1,1
15,dart,542,0.55356,1,1,0.54783,1,0,0.58618,1,1,0.44107,1,0,0.60035,1,1,0.60681,1,1,0.53795,1,1,0.60248,1,1,0.55367,1,1,0.5667,1,1
16,dart,319,0.52334,0,0,0.53412,1,0,0.53862,1,0,0.5139,1,0,0.58481,1,0,0.54851,1,0,0.56197,1,0,0.43893,1,1,0.59666,1,0,0.52063,1,0
17,dart,636,0.54076,1,0,0.50258,1,0,0.47041,0,0,0.44304,1,0,0.45926,0,0,0.64406,1,0,0.54513,1,0,0.4851,0,0,0.50134,1,0,0.45838,0,0
18,dart,486,0.71693,1,1,0.74951,1,1,0.75977,1,1,0.74886,1,1,0.75866,1,0,0.75506,1,1,0.77324,1,1,0.68525,1,0,0.73602,1,1,0.74176,1,1
19,dart,702,0.69399,0,0,0.56804,0,0,0.5289,0,0,0.57074,1,0,0.71072,0,0,0.54893,1,0,0.62011,1,0,0.62855,0,0,0.54118,0,0,0.55189,0,0
20,dart,1013,0.65189,1,0,0.61086,0,0,0.58643,0,0,0.40865,0,0,0.65503,0,0,0.66156,0,0,0.40435,0,0,0.58678,1,0,0.65093,0,0,0.63334,1,0
21,dart,701,0.6366,1,1,0.7068,1,1,0.53477,0,0,0.62114,1,0,0.73105,1,1,0.70258,0,0,0.56242,0,0,0.77477,0,0,0.68533,1,1,0.56415,1,0
22,dart,917,0.61483,1,1,0.65197,1,1,0.64214,0,0,0.62953,0,0,0.65007,0,0,0.64505,0,0,0.62953,0,0,0.65007,0,0,0.65007,0,0,0.65197,1,1
24,dart,420,0.61601,1,1,0.62126,1,1,0.58542,1,1,0.67902,0,0,0.65439,1,1,0.64234,1,1,0.7035,1,1,0.65944,1,0,0.67746,0,0,0.6396,1,1
26,dart,565,0.67712,1,0,0.66524,1,0,0.66976,1,0,0.67639,1,0,0.62754,0,0,0.66597,1,0,0.70098,1,0,0.68688,1,0,0.61268,1,0,0.6788,1,0
27,dart,753,0.75,1,0,0.73264,0,0,0.57613,1,1,0.75,1,0,0.74119,1,1,0.75,1,0,0.71562,1,1,0.61239,0,0,0.58353,0,0,0.67127,0,0
28,dart,373,0.75068,1,1,0.75068,1,1,0.64732,1,1,0.75029,1,1,0.75068,1,1,0.52852,1,1,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.52872,1,1
29,dart,671,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1
30,dart,329,0.7495,1,1,0.58836,1,1,0.61358,0,0,0.58705,1,0,0.74427,1,0,0.77148,1,1,0.77148,1,1,0.58621,1,0,0.58621,1,0,0.7495,1,1
31,dart,502,0.68247,0,0,0.62641,0,0,0.63579,0,0,0.73741,1,1,0.72159,0,0,0.72058,1,1,0.72433,0,0,0.73722,1,1,0.6583,0,0,0.72832,0,0
33,dart,616,0.64861,1,0,0.62805,0,0,0.6169,0,0,0.68221,1,0,0.61392,0,0,0.5527,0,0,0.61166,1,0,0.68613,1,0,0.63579,0,0,0.6046,0,0
34,dart,643,0.60544,1,0,0.60546,0,0,0.61949,0,0,0.58413,1,0,0.58413,1,0,0.56319,1,0,0.5664,0,0,0.60396,1,0,0.5666,1,0,0.59232,0,0
35,dart,346,0.6511,1,1,0.74272,1,1,0.6688,0,0,0.65817,1,1,0.3347,0,0,0.74025,1,1,0.69336,1,1,0.72269,1,1,0.66957,0,0,0.62758,1,1
36,dart,448,0.63516,1,0,0.62735,1,0,0.61159,1,0,0.63631,1,0,0.66769,1,0,0.63611,1,0,0.59833,1,0,0.63504,0,0,0.72585,1,0,0.66142,1,0
37,dart,579,0.70361,0,0,0.69144,0,0,0.73441,1,0,0.67261,0,0,0.64092,1,0,0.75732,1,0,0.73191,1,0,0.68116,1,0,0.69082,1,0,0.72518,1,0
39,dart,664,0.66584,1,0,0.6034,0,0,0.60382,0,0,0.66136,1,0,0.6659,1,0,0.70036,0,0,0.70263,1,0,0.67931,1,0,0.69863,0,0,0.67751,1,1
40,dart,607,0.72339,1,0,0.66503,1,0,0.69392,1,0,0.65875,1,0,0.7056,1,1,0.75432,1,1,0.76773,0,0,0.67211,0,0,0.78753,1,1,0.58449,1,0
41,dart,422,0.43797,1,0,0.58448,1,0,0.66384,1,0,0.52322,0,0,0.47284,0,0,0.72509,1,1,0.46713,1,0,0.44305,1,0,0.51035,1,0,0.59252,1,0
42,dart,235,0.54921,0,0,0.47907,0,0,0.51354,1,0,0.59292,1,1,0.67066,1,1,0.57856,1,1,0.47633,1,1,0.50603,1,0,0.68198,1,1,0.58521,1,0
43,dart,528,0.73127,1,1,0.64171,0,0,0.69793,1,1,0.76654,1,1,0.66896,1,1,0.67337,1,1,0.79318,1,1,0.6803,1,0,0.76135,1,1,0.74001,1,0
44,dart,347,0.6841,1,1,0.66884,0,0,0.5784,0,0,0.63633,0,0,0.61632,0,0,0.70733,1,1,0.54655,1,1,0.60706,1,1,0.61459,1,1,0.60874,1,0
45,dart,292,0.71978,1,1,0.71978,1,1,0.73879,1,1,0.71978,1,1,0.71978,1,1,0.71978,1,1,0.72509,1,1,0.71978,1,1,0.74346,1,1,0.71978,1,1
46,dart,657,0.70204,1,0,0.62525,0,0,0.61602,1,0,0.68884,1,0,0.72534,1,0,0.7042,1,0,0.59695,1,0,0.63609,1,0,0.61185,1,0,0.68053,0,0
47,dart,429,0.7198,0,0,0.67474,0,0,0.74201,0,0,0.73247,0,0,0.75632,0,0,0.70273,0,0,0.47587,1,0,0.72696,0,0,0.76776,1,0,0.73529,0,0
48,dart,444,0.32735,0,0,0.44666,1,1,0.40223,1,1,0.6169,0,0,0.64876,1,1,0.65707,0,0,0.36017,1,1,0.4286,1,1,0.67156,1,1,0.61199,1,1
49,dart,381,0.54429,1,0,0.54803,1,0,0.54709,0,0,0.6906,1,0,0.52528,1,0,0.57777,0,0,0.48075,1,0,0.50269,1,0,0.63511,0,0,0.57892,0,0
51,dart,540,0.72517,1,1,0.72517,1,1,0.65858,1,1,0.71795,1,1,0.70756,1,0,0.71795,1,1,0.72194,1,1,0.71795,1,1,0.73259,1,0,0.73686,1,0
52,dart,479,0.62134,1,0,0.6231,1,0,0.60616,1,1,0.54979,0,0,0.63431,1,0,0.75011,1,0,0.58839,1,0,0.6227,1,0,0.39008,0,0,0.75021,1,0
53,dart,212,0.62677,0,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.70859,1,1,0.75458,1,1,0.75458,1,1,0.73581,1,1,0.75458,1,1,0.75458,1,1
54,dart,571,0.48909,0,0,0.72648,0,0,0.56802,1,0,0.53317,1,0,0.54206,0,0,0.72648,0,0,0.50445,1,0,0.5595,0,0,0.49292,0,0,0.44313,0,0
55,dart,474,0.70238,1,1,0.69774,1,0,0.53851,1,1,0.54071,1,1,0.70238,1,1,0.53851,1,1,0.72279,1,1,0.53851,1,1,0.72275,1,0,0.69844,1,1
56,dart,578,0.72007,1,1,0.66664,1,1,0.68994,1,1,0.678,1,0,0.73179,1,1,0.61024,1,1,0.65862,1,1,0.62357,1,1,0.7087,1,1,0.68732,1,1
57,dart,620,0.67638,1,0,0.68174,1,0,0.70738,1,1,0.6924,1,0,0.60647,1,0,0.70064,1,1,0.63029,1,0,0.66831,1,1,0.54848,1,0,0.64504,1,0
58,dart,425,0.76724,1,0,0.66013,1,0,0.6464,1,0,0.68911,1,0,0.69479,0,0,0.66715,1,0,0.66296,0,0,0.66777,1,0,0.70678,1,0,0.64516,1,0
59,dart,515,0.59871,1,1,0.63768,0,0,0.61322,1,1,0.61394,0,0,0.49212,0,0,0.62437,0,0,0.61542,0,0,0.63399,1,0,0.61322,1,1,0.62653,0,1
60,dart,312,0.7317,1,1,0.58881,1,1,0.60681,1,1,0.52697,0,0,0.55028,1,1,0.66062,1,1,0.58221,0,0,0.53409,1,1,0.57892,1,1,0.57883,1,1
61,dart,578,0.748,1,1,0.68197,1,1,0.74807,1,1,0.73106,1,1,0.67539,1,1,0.68652,1,1,0.75206,1,1,0.71449,1,1,0.72394,1,1,0.66713,0,0
62,dart,462,0.56558,0,0,0.6819,0,0,0.66613,1,0,0.58085,0,0,0.73397,1,0,0.69609,1,0,0.67737,0,0,0.53386,0,0,0.66684,0,0,0.56307,0,0
63,dart,563,0.57639,1,0,0.51409,0,0,0.49709,0,0,0.54961,1,1,0.54961,1,1,0.54399,1,0,0.51864,1,0,0.52763,1,0,0.56187,1,1,0.5809,1,0
64,dart,836,0.68544,1,0,0.57576,1,0,0.67672,1,0,0.63631,1,0,0.66641,1,0,0.50992,1,0,0.64468,1,0,0.50098,1,0,0.59178,1,0,0.63098,1,0
65,dart,614,0.65154,1,0,0.53166,0,0,0.63031,0,0,0.65409,1,0,0.6425,1,0,0.62897,1,0,0.56559,0,0,0.64842,1,0,0.64528,0,0,0.66788,0,0
66,dart,583,0.60942,1,0,0.64352,0,0,0.61168,1,0,0.61796,0,0,0.50946,1,0,0.65914,0,0,0.65949,1,0,0.65494,1,0,0.33946,1,0,0.63028,0,0
67,dart,519,0.56096,0,0,0.44771,0,0,0.65194,0,0,0.63278,0,0,0.48764,0,0,0.46413,0,0,0.64758,0,0,0.54483,0,0,0.4236,0,0,0.57743,0,0
68,dart,717,0.75001,1,0,0.61338,1,0,0.5976,1,0,0.64443,1,0,0.60629,1,0,0.59842,1,0,0.50267,0,0,0.63565,1,0,0.61901,1,0,0.63396,1,0
69,dart,555,0.5334,1,0,0.64671,1,0,0.20498,0,0,0.6786,1,0,0.7205,1,0,0.40827,0,0,0.70252,0,0,0.29366,0,0,0.73113,1,0,0.70297,1,0
