problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.59535,0,0,0.56518,0,0,0.49417,0,0,0.58417,0,0,0.68647,0,0
1,dart,327,0.48798,1,1,0.7109,1,1,0.58665,1,1,0.58143,1,1,0.61282,1,1
2,dart,90,0.31217,1,0,0.59432,1,1,0.4738,1,1,0.50583,0,0,0.43014,1,1
3,dart,262,0.68268,0,0,0.70098,1,1,0.56353,0,0,0.67332,1,1,0.72705,1,1
4,dart,147,0.52443,1,1,0.36851,0,0,0.58334,0,0,0.65742,1,1,0.55567,1,1
5,dart,117,0.65014,0,0,0.72148,1,1,0.56433,1,1,0.76362,1,1,0.7237,1,1
6,dart,69,0.58407,1,1,0.79738,0,0,0.84418,0,0,0.30808,0,0,0.52289,0,0
7,dart,152,0.28222,0,0,0.31095,1,0,0.69603,1,1,0.47174,1,0,0.49632,0,0
8,dart,197,0.40527,0,0,0.34002,1,1,0.54491,0,0,0.61506,1,1,0.39619,1,1
9,dart,963,0.68493,1,1,0.64266,1,1,0.58365,1,1,0.71781,1,1,0.73626,0,0
10,dart,91,0.75257,0,0,0.75257,0,0,0.59986,0,0,0.84643,0,0,0.47181,0,0
11,dart,271,0.55711,0,0,0.49555,0,0,0.60577,0,0,0.66753,0,0,0.51768,0,0
12,dart,275,0.65106,0,0,0.67285,1,1,0.61247,0,0,0.61793,0,0,0.65233,0,0
13,dart,229,0.69702,1,1,0.67897,1,1,0.54908,1,1,0.61073,0,0,0.72897,1,1
14,dart,250,0.47982,0,0,0.72737,0,0,0.33981,0,0,0.0525,0,0,0.40059,0,0
15,dart,252,0.39861,1,1,0.70536,0,0,0.69842,0,0,0.73499,1,1,0.67262,1,1
16,dart,1164,0.75,0,0,0.66451,0,0,0.7125,1,1,0.6756,1,1,0.62597,1,1
17,dart,88,0.7399,1,1,0.35573,1,0,0.72727,1,1,0.37001,0,0,0.51419,0,0
18,dart,123,0.68099,1,1,0.3193,0,0,0.68931,1,1,0.4127,0,0,0.47962,1,1
19,dart,71,0.35899,0,0,0.79502,1,1,0.34321,0,0,0.75527,1,1,0.47595,0,0
20,dart,88,0.49742,0,0,0.40778,0,0,0.56845,1,1,0.5437,0,0,0.68548,1,1
21,dart,88,0.52371,0,0,0.65966,1,1,0.37289,0,0,0.41411,1,1,0.64145,1,1
22,dart,78,0.78024,1,1,0.76853,1,1,0.80196,1,1,0.67501,1,1,0.7592,1,1
23,dart,220,0.66692,1,1,0.68747,1,1,0.65465,0,0,0.7191,0,0,0.65171,1,1
24,dart,132,0.46762,0,0,0.53602,1,1,0.68715,1,1,0.53786,0,0,0.5674,1,1
25,dart,559,0.4761,1,1,0.50193,0,0,0.58589,0,0,0.60714,1,1,0.57635,1,1
