problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.71715,1,1,0.43679,1,0,0.70028,1,1,0.59248,1,1,0.67749,0,0
1,dart,327,0.42115,0,0,0.56471,1,1,0.5875,0,0,0.22214,0,0,0.61282,1,1
2,dart,90,0.6144,0,0,0.66023,0,0,0.70174,0,0,0.33817,0,0,0.43014,1,1
3,dart,262,0.71496,1,1,0.68615,1,1,0.72652,1,1,0.49796,0,0,0.72705,1,1
4,dart,147,0.70365,1,1,0.46028,0,0,0.60899,0,0,0.54326,1,1,0.55567,1,1
5,dart,117,0.71875,1,1,0.64802,0,0,0.68051,0,0,0.71988,0,0,0.7237,1,1
6,dart,69,0.71432,0,0,0.85912,1,1,0.83229,1,1,0.77959,1,1,0.52289,0,0
7,dart,152,0.66513,1,1,0.40704,1,1,0.7241,1,1,0.46999,0,0,0.49632,0,0
8,dart,197,0.31998,0,0,0.53036,1,1,0.60583,1,1,0.64785,1,1,0.39619,1,1
9,dart,963,0.67726,1,1,0.68367,1,1,0.72478,1,1,0.70571,1,1,0.73649,1,0
10,dart,91,0.68553,0,0,0.39651,0,0,0.51952,0,0,0.59893,0,0,0.47181,0,0
11,dart,271,0.52368,0,0,0.58854,0,0,0.7907,0,0,0.77904,0,0,0.51768,0,0
12,dart,275,0.62247,0,0,0.51971,0,0,0.63583,0,0,0.65369,0,0,0.65233,0,0
13,dart,229,0.55126,1,1,0.61589,1,1,0.67029,1,1,0.56672,1,1,0.72897,1,1
14,dart,250,0.29153,0,0,0.44697,0,0,0.56483,0,0,0.73785,1,1,0.41238,0,0
15,dart,252,0.72047,0,0,0.6031,1,1,0.66923,1,1,0.70862,1,1,0.67262,1,1
16,dart,1164,0.64164,1,1,0.62033,1,1,0.5647,1,1,0.66648,0,0,0.56883,1,1
17,dart,88,0.41186,1,1,0.33539,1,1,0.32175,0,0,0.7399,1,1,0.51419,0,0
18,dart,123,0.33537,0,0,0.55688,0,0,0.62288,0,0,0.4933,0,0,0.47962,1,1
19,dart,71,0.33955,0,0,0.60306,1,0,0.63261,1,1,0.30422,0,0,0.47595,0,0
20,dart,88,0.36943,1,1,0.45816,1,1,0.41067,0,0,0.63971,1,1,0.68548,1,1
21,dart,88,0.73682,1,1,0.5781,0,0,0.3072,0,0,0.57863,1,1,0.64145,1,1
22,dart,78,0.76853,1,1,0.67104,1,1,0.74427,1,1,0.73327,1,1,0.7592,1,1
23,dart,220,0.60775,1,1,0.55718,1,1,0.71372,1,1,0.48979,1,1,0.65171,1,1
24,dart,132,0.54033,1,1,0.568,0,0,0.44587,0,0,0.57984,1,1,0.5674,1,1
25,dart,559,0.59295,1,1,0.7,1,1,0.52945,1,1,0.37084,0,0,0.57635,1,1
26,dart,67,0.66388,1,1,0.49178,0,0,0.6478,1,1,0.48009,1,1,0.61118,0,0
27,dart,988,0.27587,0,0,0.63057,0,0,0.58624,0,0,0.72059,0,0,0.61085,0,0
28,dart,78,0.63123,1,1,0.6969,0,0,0.51399,0,0,0.52667,0,0,0.6871,1,1
29,dart,402,0.75,0,0,0.71706,0,0,0.70209,0,0,0.59224,1,1,0.66565,1,1
