problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.7467,0,0,0.69552,1,0,0.67007,1,0,0.74669,1,1,0.73501,1,1,0.73248,1,0,0.71553,1,1,0.69552,1,0,0.74669,1,1,0.72828,1,0
1,dart,1184,0.69661,0,0,0.57184,0,0,0.68034,0,0,0.65659,1,0,0.63903,1,0,0.55981,0,0,0.67138,0,0,0.66627,0,0,0.65423,1,0,0.63877,0,0
2,dart,301,0.69265,0,0,0.63433,0,0,0.64126,0,0,0.5431,1,0,0.64112,0,0,0.7268,1,1,0.59268,0,0,0.62773,0,0,0.53941,0,0,0.696,1,0
3,dart,471,0.67373,1,0,0.67815,1,0,0.67855,1,1,0.66375,1,1,0.74346,1,0,0.61488,1,0,0.66218,1,0,0.66605,1,0,0.68298,1,0,0.71361,1,0
4,dart,611,0.68326,1,1,0.61065,1,1,0.6854,0,0,0.57468,0,0,0.53138,1,1,0.57311,0,0,0.56535,1,1,0.61525,0,0,0.75612,0,0,0.58077,0,0
5,dart,564,0.75947,0,0,0.77483,1,1,0.70964,0,0,0.74054,1,1,0.75399,1,1,0.75017,1,0,0.7846,1,1,0.80476,1,1,0.77663,1,1,0.73881,0,0
6,dart,852,0.70194,1,0,0.62469,1,0,0.61446,1,0,0.68057,1,0,0.6135,1,0,0.6118,1,0,0.6781,1,0,0.60854,1,0,0.62196,1,0,0.60674,1,0
7,dart,547,0.74185,1,1,0.56056,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.59913,1,1,0.7368,1,1,0.74185,1,1,0.73451,1,1,0.74185,1,1
8,dart,598,0.47713,0,0,0.63036,1,0,0.63414,0,0,0.67284,1,0,0.68301,1,0,0.6839,1,0,0.51193,1,0,0.68718,0,0,0.70392,1,0,0.68688,1,0
9,dart,807,0.6406,1,1,0.66419,1,1,0.65893,0,0,0.62787,0,0,0.63127,1,1,0.67509,1,1,0.69672,0,0,0.63127,1,1,0.63127,1,1,0.64232,1,0
10,dart,798,0.68771,0,0,0.59981,1,0,0.67982,1,0,0.56727,0,0,0.62934,1,0,0.55077,1,0,0.61421,0,0,0.55445,0,0,0.43547,0,0,0.61019,1,0
11,dart,629,0.66086,1,1,0.68505,1,0,0.67504,1,0,0.68001,1,0,0.68728,1,0,0.69294,1,0,0.66735,1,1,0.5581,0,0,0.71243,0,0,0.71644,1,0
12,dart,534,0.71099,1,1,0.66709,1,0,0.58147,0,0,0.66438,1,1,0.65638,1,0,0.62959,1,1,0.63415,1,0,0.67394,1,0,0.59252,0,0,0.66465,0,0
13,dart,491,0.74398,1,1,0.73556,1,1,0.73556,1,1,0.61213,1,1,0.58637,1,0,0.5649,1,1,0.66655,1,1,0.7821,1,1,0.74398,1,1,0.74398,1,1
14,dart,381,0.79018,1,0,0.72869,1,0,0.77522,1,1,0.75441,1,1,0.77137,1,1,0.73243,1,1,0.79101,1,1,0.79101,1,1,0.79101,1,1,0.79446,1,0
15,dart,542,0.55367,1,1,0.60248,1,1,0.57516,1,1,0.54161,1,0,0.55057,1,1,0.57232,1,1,0.60248,1,1,0.60248,1,1,0.60248,1,1,0.57687,1,1
16,dart,319,0.67373,1,0,0.54933,0,0,0.58481,1,0,0.5055,1,0,0.56386,1,0,0.5837,1,0,0.51215,1,0,0.42483,0,0,0.54564,1,0,0.59537,1,0
17,dart,636,0.62187,0,0,0.55776,1,0,0.4886,0,0,0.54442,1,0,0.50014,1,0,0.47677,1,0,0.49734,1,1,0.47543,1,0,0.50257,1,0,0.4609,0,0
18,dart,486,0.75099,1,1,0.74224,1,0,0.78239,1,1,0.78239,1,1,0.78239,1,1,0.75977,1,1,0.59652,1,1,0.69482,1,0,0.70901,1,0,0.78239,1,1
19,dart,702,0.58001,0,0,0.63236,1,0,0.56151,0,0,0.48861,1,0,0.65434,0,0,0.49698,1,0,0.48174,0,1,0.528,1,0,0.5871,0,0,0.56894,0,0
20,dart,1013,0.6192,1,0,0.68518,1,0,0.67511,1,0,0.67659,1,0,0.69682,1,0,0.5562,1,0,0.62702,0,0,0.61664,0,0,0.64863,0,0,0.64359,1,0
21,dart,701,0.67841,1,1,0.72471,1,1,0.6353,0,0,0.70782,1,1,0.6265,1,0,0.72767,1,1,0.73023,1,1,0.57882,0,0,0.64021,0,0,0.67119,1,0
22,dart,917,0.59743,1,1,0.5971,1,0,0.65007,0,0,0.65007,0,0,0.59743,1,1,0.57784,0,0,0.57074,0,0,0.56603,1,1,0.53872,1,1,0.65007,0,0
24,dart,420,0.62274,1,1,0.6796,1,1,0.64879,1,0,0.58501,0,0,0.65373,0,0,0.62546,1,1,0.66207,0,0,0.66928,1,0,0.68058,0,0,0.56111,1,0
26,dart,565,0.67712,1,0,0.67582,1,0,0.63565,1,0,0.63094,1,0,0.61789,0,0,0.67712,1,0,0.69676,1,0,0.68059,1,0,0.66597,1,0,0.62621,0,0
27,dart,753,0.62666,0,0,0.75,1,0,0.618,1,0,0.71219,1,1,0.75,1,0,0.75,1,0,0.38422,0,0,0.75,1,0,0.53719,1,0,0.584,1,0
28,dart,373,0.75029,1,1,0.47465,1,0,0.75063,1,1,0.75068,1,1,0.75068,1,1,0.75029,1,1,0.75068,1,1,0.51185,1,1,0.75068,1,1,0.75068,1,1
29,dart,671,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.57476,1,1,0.73936,1,1,0.73936,1,1
30,dart,329,0.59623,1,0,0.74892,1,0,0.70771,1,1,0.58923,1,1,0.75442,1,1,0.56007,1,1,0.6032,1,1,0.75442,1,1,0.58621,1,0,0.76532,1,0
31,dart,502,0.66185,0,0,0.70041,0,0,0.67687,1,1,0.65471,0,0,0.71976,0,0,0.67268,1,1,0.65237,0,0,0.68775,0,0,0.68735,0,0,0.64599,0,0
33,dart,616,0.60841,1,0,0.65132,0,0,0.69134,0,0,0.63786,0,0,0.71141,1,0,0.57947,0,0,0.68249,1,0,0.60067,0,0,0.62334,1,0,0.64004,1,0
34,dart,643,0.60075,1,0,0.55704,0,0,0.61136,1,1,0.60544,1,0,0.59616,1,0,0.60544,1,0,0.55845,1,0,0.59503,1,0,0.59503,1,0,0.59375,1,0
35,dart,346,0.59603,0,0,0.74529,0,0,0.70096,0,0,0.66149,0,0,0.63667,1,1,0.67505,1,1,0.65497,1,1,0.66681,0,0,0.70215,0,0,0.71544,1,1
36,dart,448,0.70194,1,0,0.63852,1,0,0.69738,1,0,0.70879,1,0,0.64713,1,0,0.63902,0,0,0.56097,1,0,0.63156,1,0,0.60291,1,0,0.65188,1,0
37,dart,579,0.70811,1,0,0.69315,1,0,0.66291,1,0,0.6912,1,0,0.69939,1,0,0.74656,1,0,0.67803,1,0,0.68006,1,0,0.68407,1,0,0.67695,1,0
39,dart,664,0.64014,0,0,0.6605,1,0,0.62747,1,0,0.68361,0,0,0.62584,1,0,0.66974,1,0,0.64048,0,0,0.62953,1,0,0.68742,1,0,0.708,0,0
