problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,628,0.3626,0,0,0.45222,0,0,0.44986,0,0,0.43212,0,0,0.34734,0,0
1,dart,764,0.31843,0,0,0.55195,0,0,0.45652,0,0,0.3557,0,0,0.5598,0,0
2,dart,1502,0.53818,0,0,0.36328,0,0,0.39411,0,0,0.36013,0,0,0.39656,0,0
3,dart,491,0.29358,0,0,0.33001,0,0,0.39723,0,0,0.44663,0,0,0.39817,0,0
4,dart,773,0.37906,0,0,0.3452,0,0,0.3452,0,0,0.30876,0,0,0.3452,0,0
5,dart,1179,0.44187,0,0,0.42823,0,0,0.63206,0,0,0.26236,0,0,0.31097,0,0
6,dart,491,0.50496,0,0,0.32202,0,0,0.35446,0,0,0.43799,0,0,0.42625,0,0
7,dart,505,0.34035,0,0,0.38165,0,0,0.32887,0,0,0.32301,0,0,0.39082,0,0
8,dart,1182,0.0672,0,0,0.17776,0,0,0.37746,0,0,0.17776,0,0,0.0607,0,0
9,dart,1731,0.36507,0,0,0.46215,0,0,0.37717,0,0,0.54378,0,0,0.42986,0,0
10,dart,712,0.34696,0,0,0.3117,0,0,0.34696,0,0,0.48587,0,0,0.30442,0,0
11,dart,1231,0.37454,0,0,0.3907,0,0,0.34491,0,0,0.36642,0,0,0.30147,0,0
12,dart,623,0.33583,0,0,0.39875,0,0,0.47418,0,0,0.30985,0,0,0.33355,0,0
13,dart,602,0.32191,0,0,0.1651,0,0,0.59385,0,0,0.37074,0,0,0.47111,0,0
14,dart,522,0.34536,0,0,0.50605,0,0,0.30205,0,0,0.32119,0,0,0.30575,0,0
15,dart,1486,0.64212,0,0,0.36043,0,0,0.58333,0,0,0.31501,0,0,0.3178,0,0
16,dart,718,0.50379,0,0,0.53683,0,0,0.55323,0,0,0.5676,0,0,0.35616,0,0
17,dart,1793,0.52106,0,0,0.32796,0,0,0.35521,0,0,0.30994,0,0,0.37258,0,0
18,dart,3211,0.44797,0,0,0.60335,0,0,0.54389,0,0,0.29008,0,0,0.33023,0,0
19,dart,1514,0.26601,0,0,0.04022,0,0,0.25057,0,0,0.3513,0,0,0.13818,0,0
20,dart,1239,0.43324,0,0,0.4147,0,0,0.52814,0,0,0.59535,0,0,0.53822,0,0
21,dart,1155,0.47097,0,0,0.35699,0,0,0.50532,0,0,0.51721,0,0,0.29423,0,0
22,dart,1612,0.51844,0,0,0.4665,0,0,0.49803,0,0,0.36007,0,0,0.49803,0,0
23,dart,1086,0.54743,0,0,0.48906,0,0,0.32439,0,0,0.43691,0,0,0.29983,0,0
24,dart,165,0.33389,0,0,0.33916,0,0,0.33657,0,0,0.44896,0,0,0.33389,0,0
25,dart,516,0.34066,0,0,0.35848,0,0,0.36143,0,0,0.3278,0,0,0.54645,0,0
