problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,628,0.6067,0,0,0.49798,0,0,0.59844,0,0,0.50444,0,0,0.56992,0,0
1,dart,764,0.55367,0,0,0.56339,0,0,0.69031,0,0,0.55847,0,0,0.63134,0,0
2,dart,1502,0.67797,0,0,0.62186,0,0,0.61991,0,0,0.64779,0,0,0.67519,0,0
3,dart,491,0.62216,0,0,0.45248,0,0,0.65133,0,0,0.18093,0,0,0.58897,0,0
4,dart,773,0.63721,0,0,0.5983,0,0,0.60817,0,0,0.56205,0,0,0.58496,0,0
5,dart,1179,0.63288,0,0,0.56313,0,0,0.60915,0,0,0.58449,0,0,0.5898,0,0
6,dart,491,0.58035,0,1,0.56743,0,0,0.37645,0,0,0.23961,0,0,0.62142,0,0
7,dart,505,0.62486,0,0,0.45979,0,0,0.53267,0,0,0.57967,0,0,0.30714,0,0
8,dart,1182,0.3842,0,0,0.38763,0,0,0.36166,0,0,0.28668,0,0,0.4108,0,0
9,dart,1731,0.63427,0,0,0.64796,0,0,0.4723,0,0,0.65419,0,0,0.67753,0,0
10,dart,712,0.44924,0,0,0.56807,0,0,0.42878,0,0,0.58763,0,0,0.55537,0,0
11,dart,1231,0.60207,0,0,0.48008,0,0,0.42248,0,0,0.64724,0,0,0.63878,0,0
12,dart,623,0.53895,0,0,0.63224,0,0,0.49179,0,0,0.58414,0,0,0.64461,0,0
13,dart,602,0.57618,0,0,0.52909,0,0,0.63641,0,0,0.60034,0,0,0.46239,0,0
14,dart,522,0.64324,0,0,0.67819,0,0,0.41205,0,0,0.63566,0,0,0.60703,0,0
15,dart,1486,0.54443,0,0,0.59067,0,0,0.5375,0,0,0.57162,0,0,0.64367,0,0
16,dart,718,0.48408,0,0,0.61578,0,0,0.46372,0,0,0.44836,0,0,0.62815,0,0
17,dart,1793,0.53926,0,0,0.57344,0,0,0.6377,0,0,0.60991,0,0,0.62167,0,0
18,dart,3211,0.62127,0,0,0.58991,0,0,0.53584,0,0,0.55692,0,0,0.58225,0,0
19,dart,1514,0.34947,0,0,0.41472,0,0,0.35431,0,0,0.42775,0,0,0.33778,0,0
20,dart,1239,0.63158,0,0,0.61612,0,0,0.64823,0,0,0.46665,0,0,0.65963,0,0
21,dart,1155,0.52754,0,0,0.6271,0,0,0.62944,0,0,0.47006,0,0,0.62757,0,0
22,dart,1612,0.66134,0,0,0.67286,0,0,0.60408,0,0,0.25052,0,0,0.45856,0,0
23,dart,1086,0.66791,0,0,0.60813,0,0,0.63932,0,0,0.56611,0,0,0.64809,0,0
24,dart,165,0.44836,0,0,0.36358,0,1,0.37503,0,0,0.46154,0,0,0.438,0,0
25,dart,516,0.59921,0,0,0.45899,0,0,0.52405,0,0,0.49194,0,0,0.51732,0,0
26,dart,408,0.42834,0,0,0.41392,0,1,0.42436,0,0,0.53058,0,0,0.57886,0,0
27,dart,1193,0.63359,0,0,0.54698,0,0,0.65145,0,0,0.58017,0,0,0.58894,0,0
28,dart,1580,0.61436,0,0,0.63872,0,0,0.555,0,0,0.65058,0,0,0.64241,0,0
29,dart,1518,0.53252,0,0,0.66413,0,0,0.50858,0,0,0.68268,0,0,0.64092,0,0
30,dart,1953,0.54247,0,0,0.49536,0,0,0.62672,0,0,0.65719,0,0,0.62182,0,0
31,dart,1538,0.63099,0,0,0.61316,0,0,0.50137,0,0,0.60884,0,0,0.64981,0,0
32,dart,1938,0.60459,0,0,0.4594,0,0,0.31685,0,0,0.63675,0,0,0.54454,0,0
33,dart,1822,0.55929,0,0,0.61544,0,0,0.66589,0,0,0.58031,0,0,0.60332,0,0
34,dart,2127,0.62505,0,0,0.60877,0,0,0.65372,0,0,0.65719,0,0,0.636,0,0
35,dart,1773,0.62685,0,0,0.5701,0,0,0.62206,0,0,0.56494,0,0,0.59241,0,0
36,dart,1979,0.6288,0,0,0.53657,0,0,0.61156,0,0,0.58823,0,0,0.63409,0,0
37,dart,2041,0.5725,0,0,0.60801,0,0,0.52975,0,0,0.61917,0,0,0.54567,0,0
38,dart,2299,0.68227,0,0,0.66443,0,0,0.64876,0,0,0.71429,0,0,0.6431,0,0
39,dart,408,0.53114,0,0,0.55744,0,0,0.50783,0,0,0.48182,0,0,0.53082,0,0
40,dart,593,0.62818,0,0,0.62438,0,0,0.64125,0,0,0.6442,0,0,0.65278,0,0
41,dart,888,0.60455,0,0,0.64118,0,0,0.53993,0,0,0.45719,0,0,0.56633,0,0
42,dart,615,0.68375,0,0,0.64929,0,0,0.61553,0,0,0.57808,0,0,0.46799,0,0
43,dart,1795,0.28728,0,0,0.39718,0,0,0.20203,0,0,0.37861,0,0,0.41263,0,0
44,dart,2408,0.57175,0,0,0.62715,0,0,0.58842,0,0,0.52392,0,0,0.39707,0,0
45,dart,1701,0.64275,0,0,0.67932,0,0,0.67256,0,0,0.65416,0,0,0.6629,0,0
46,dart,1409,0.64588,0,0,0.45538,0,0,0.47333,0,0,0.58902,0,0,0.56222,0,0
47,dart,664,0.46553,0,0,0.64779,0,0,0.47361,0,0,0.53227,0,0,0.61205,0,0
48,dart,868,0.50334,0,0,0.47334,0,0,0.47121,0,0,0.51816,0,0,0.43496,0,0
49,dart,1149,0.5099,0,0,0.50286,0,0,0.54116,0,0,0.60927,0,0,0.50118,0,0
50,dart,387,0.42767,0,0,0.54747,0,0,0.52094,0,0,0.44313,0,0,0.63018,0,0
51,dart,629,0.50492,0,0,0.4595,0,0,0.56535,0,0,0.45596,0,0,0.43718,0,0
52,dart,652,0.43288,0,0,0.43442,0,0,0.57524,0,0,0.6295,0,0,0.50089,0,0
53,dart,625,0.5882,0,0,0.47798,0,0,0.41402,0,0,0.67386,0,0,0.47811,0,0
54,dart,2277,0.63497,0,0,0.56,0,0,0.40075,0,0,0.55738,0,0,0.5801,0,0
55,dart,348,0.51819,0,0,0.5054,0,0,0.55886,0,0,0.48161,0,0,0.41265,0,0
56,dart,521,0.4463,0,0,0.55869,0,0,0.51379,0,0,0.55655,0,0,0.49878,0,0
57,dart,1185,0.59148,0,0,0.49627,0,0,0.44609,0,0,0.44994,0,0,0.63995,0,0
58,dart,754,0.42892,0,0,0.45577,0,0,0.40763,0,0,0.52269,0,0,0.48887,0,0
59,dart,383,0.50926,0,0,0.50833,0,0,0.45174,0,0,0.44607,0,0,0.41161,0,0
60,dart,338,0.38817,0,0,0.35528,0,0,0.31886,0,0,0.41146,0,0,0.49677,0,0
61,dart,1156,0.47568,0,0,0.59675,0,0,0.59737,0,0,0.2295,0,0,0.51933,0,0
62,dart,870,0.52492,0,0,0.52667,0,0,0.46071,0,0,0.29541,0,0,0.54512,0,0
63,dart,675,0.54392,0,0,0.48502,0,0,0.391,0,0,0.57801,0,0,0.4856,0,0
64,dart,594,0.41095,0,0,0.59287,0,0,0.21233,0,0,0.48769,0,0,0.45178,0,0
65,dart,1274,0.52962,0,0,0.51436,0,0,0.44369,0,0,0.54506,0,0,0.56052,0,0
66,dart,523,0.54427,0,0,0.51771,0,0,0.47336,0,0,0.46638,0,0,0.39548,0,0
