problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,628,0.3145,0,0,0.375,0,0,0.375,0,0,0.375,0,0,0.377,0,0
1,dart,764,0.375,0,0,0.25194,0,0,0.375,0,0,0.25,0,0,0.375,0,0
2,dart,1502,0.25,0,0,0.25,0,0,0.31439,0,0,0.375,0,0,0.25194,0,0
3,dart,491,0.375,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
4,dart,773,0.25098,0,0,0.25098,0,0,0.25754,0,0,0.25194,0,0,0.25098,0,0
5,dart,1179,0.25098,0,0,0.25098,0,0,0.25607,0,0,0.25098,0,0,0.26212,0,0
6,dart,491,0.2531,0,0,0.27077,0,0,0.25194,0,0,0.25298,0,0,0.31385,0,0
7,dart,505,0.27912,0,0,0.25345,0,0,0.375,0,0,0.25194,0,0,0.25098,0,0
8,dart,1182,0.0385,0,0,0.00292,0,0,0.125,0,0,0.00292,0,0,0.125,0,0
9,dart,1731,0.36946,0,0,0.25,0,0,0.375,0,0,0.37589,0,0,0.47917,0,0
10,dart,712,0.37875,0,0,0.37622,0,0,0.33333,0,0,0.37569,0,0,0.25334,0,0
11,dart,1231,0.375,0,0,0.375,0,0,0.375,0,0,0.2632,0,0,0.375,0,0
12,dart,623,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.37622,0,0
13,dart,602,0.375,0,0,0.375,0,0,0.25,0,0,0.25198,0,0,0.375,0,0
14,dart,522,0.25,0,0,0.25445,0,0,0.25,0,0,0.375,0,0,0.25098,0,0
15,dart,1486,0.3499,0,0,0.25098,0,0,0.25385,0,0,0.25098,0,0,0.39294,0,0
16,dart,718,0.25,0,0,0.25,0,0,0.37742,0,0,0.25,0,0,0.37742,0,0
17,dart,1793,0.25098,0,0,0.25198,0,0,0.25,0,0,0.375,0,0,0.375,0,0
18,dart,3211,0.40905,0,0,0.25,0,0,0.37013,0,0,0.25,0,0,0.25,0,0
19,dart,1514,0.0,0,0,0.0,0,0,0.0,0,0,0.15046,0,0,0.0,0,0
20,dart,1239,0.625,0,0,0.38715,0,0,0.25934,0,0,0.625,0,0,0.625,0,0
21,dart,1155,0.28116,0,0,0.375,0,0,0.625,0,0,0.375,0,0,0.25,0,0
22,dart,1612,0.33333,0,0,0.25,0,0,0.25298,0,0,0.38713,0,0,0.31895,0,0
23,dart,1086,0.375,0,0,0.375,0,0,0.25097,0,0,0.5,0,0,0.375,0,0
24,dart,165,0.25577,0,0,0.03164,0,0,0.25577,0,0,0.54167,0,0,0.375,0,0
25,dart,516,0.25,0,0,0.25194,0,0,0.31491,0,0,0.25,0,0,0.28793,0,0
26,dart,408,0.375,0,0,0.3776,0,0,0.375,0,0,0.37764,0,0,0.25198,0,0
27,dart,1193,0.35186,0,0,0.25,0,0,0.40444,0,0,0.25,0,0,0.25,0,0
28,dart,1580,0.25,0,0,0.25,0,0,0.39461,0,0,0.25,0,0,0.39191,0,0
29,dart,1518,0.375,0,0,0.375,0,0,0.25,0,0,0.375,0,0,0.25,0,0
30,dart,1953,0.29651,0,0,0.37804,0,0,0.25194,0,0,0.375,0,0,0.375,0,0
31,dart,1538,0.25,0,0,0.25492,0,0,0.25,0,0,0.25,0,0,0.25,0,0
32,dart,1938,0.25,0,0,0.25,0,0,0.25,0,0,0.25198,0,0,0.25,0,0
33,dart,1822,0.25098,0,0,0.375,0,0,0.30054,0,0,0.28914,0,0,0.25194,0,0
34,dart,2127,0.375,0,0,0.375,0,0,0.31062,0,0,0.375,0,0,0.375,0,0
35,dart,1773,0.25,0,0,0.35889,0,0,0.25098,0,0,0.25,0,0,0.25,0,0
36,dart,1979,0.38295,0,0,0.38507,0,0,0.36712,0,0,0.38295,0,0,0.25492,0,0
37,dart,2041,0.375,0,0,0.25,0,0,0.25,0,0,0.375,0,0,0.375,0,0
38,dart,2299,0.375,0,0,0.2707,0,0,0.25097,0,0,0.27939,0,0,0.25097,0,0
39,dart,408,0.38777,0,0,0.33676,0,0,0.45833,0,0,0.38777,0,0,0.375,0,0
40,dart,593,0.25098,0,0,0.25961,0,0,0.25098,0,0,0.25194,0,0,0.37646,0,0
41,dart,888,0.35549,0,0,0.25,0,0,0.29886,0,0,0.25,0,0,0.25,0,0
42,dart,615,0.25098,0,0,0.25,0,0,0.25098,0,0,0.39575,0,0,0.375,0,0
43,dart,1795,0.125,0,0,0.125,0,0,0.125,0,0,0.18367,0,0,0.125,0,0
44,dart,2408,0.38087,0,0,0.37712,0,0,0.28138,0,0,0.625,0,0,0.625,0,0
45,dart,1701,0.375,0,0,0.40152,0,0,0.375,0,0,0.375,0,0,0.26891,0,0
46,dart,1409,0.26533,0,0,0.32615,0,0,0.375,0,0,0.3,0,0,0.26533,0,0
47,dart,664,0.375,0,0,0.375,0,0,0.375,0,0,0.375,0,0,0.37762,0,0
48,dart,868,0.25198,0,0,0.25,0,0,0.25,0,0,0.25098,0,0,0.25298,0,0
49,dart,1149,0.25481,0,0,0.25194,0,0,0.25194,0,0,0.25098,0,0,0.2644,0,0
50,dart,387,0.3059,0,0,0.375,0,0,0.30169,0,0,0.375,0,0,0.28521,0,0
51,dart,629,0.25234,0,0,0.25212,0,0,0.25194,0,0,0.25982,0,0,0.375,0,0
52,dart,652,0.375,0,0,0.375,0,0,0.375,0,0,0.25098,0,0,0.25098,0,0
53,dart,625,0.375,0,0,0.39946,0,0,0.25194,0,0,0.39946,0,0,0.40619,0,0
54,dart,2277,0.25,0,0,0.51667,0,0,0.25,0,0,0.25,0,0,0.25,0,0
55,dart,348,0.375,0,0,0.25098,0,0,0.2596,0,0,0.25098,0,0,0.25098,0,0
56,dart,521,0.375,0,0,0.54286,0,0,0.25194,0,0,0.28329,0,0,0.38025,0,0
57,dart,1185,0.375,0,0,0.375,0,0,0.375,0,0,0.25,0,0,0.375,0,0
58,dart,754,0.38472,0,0,0.375,0,0,0.375,0,0,0.39286,0,0,0.25,0,0
59,dart,383,0.37635,0,0,0.37944,0,0,0.38378,0,0,0.27195,0,0,0.625,0,0
60,dart,338,0.375,0,0,0.375,0,0,0.375,0,0,0.28441,0,0,0.375,0,0
61,dart,1156,0.375,0,0,0.375,0,0,0.38759,0,0,0.26314,0,0,0.375,0,0
62,dart,870,0.39337,0,0,0.25596,0,0,0.34277,0,0,0.25,0,0,0.25,0,0
63,dart,675,0.25427,0,0,0.37661,0,0,0.25,0,0,0.30238,0,0,0.25,0,0
64,dart,594,0.25,0,0,0.375,0,0,0.375,0,0,0.42384,0,0,0.25,0,0
65,dart,1274,0.26929,0,0,0.40278,0,0,0.375,0,0,0.625,0,0,0.25,0,0
66,dart,523,0.33333,0,0,0.375,0,0,0.375,0,0,0.28078,0,0,0.375,0,0
67,dart,882,0.40089,0,0,0.375,0,0,0.33306,0,0,0.25,0,0,0.25,0,0
68,dart,1130,0.27189,0,0,0.25706,0,0,0.375,0,0,0.28167,0,0,0.30872,0,0
69,dart,1179,0.25098,0,0,0.25098,0,0,0.25,0,0,0.37547,0,0,0.625,0,0
70,dart,1058,0.30396,0,0,0.375,0,0,0.375,0,0,0.37825,0,0,0.375,0,0
71,dart,1381,0.375,0,0,0.375,0,0,0.25098,0,0,0.25,0,0,0.33499,0,0
72,dart,1241,0.274,0,0,0.3125,0,0,0.27184,0,0,0.28374,0,0,0.38236,0,0
73,dart,381,0.375,0,0,0.25505,0,0,0.351,0,0,0.3172,0,0,0.375,0,0
74,dart,166,0.40111,0,0,0.38625,0,0,0.50661,0,0,0.42647,0,0,0.25,0,0
75,dart,324,0.25642,0,0,0.29167,0,0,0.375,0,0,0.37569,0,0,0.33605,0,0
76,dart,82,0.375,0,0,0.25098,0,0,0.25098,0,0,0.25,0,0,0.25098,0,0
77,dart,76,0.41673,0,0,0.375,0,0,0.375,0,0,0.375,0,0,0.26319,0,0
78,dart,76,0.25098,0,0,0.375,0,0,0.25198,0,0,0.375,0,0,0.25099,0,0
79,dart,69,0.25342,0,0,0.30995,0,0,0.25512,0,0,0.25628,0,0,0.25098,0,0
80,dart,708,0.25,0,0,0.25,0,0,0.3125,0,0,0.25,0,0,0.39682,0,0
81,dart,200,0.2562,0,0,0.29267,0,0,0.375,0,0,0.25647,0,0,0.33526,0,0
82,dart,942,0.375,0,0,0.43389,0,0,0.25098,0,0,0.25194,0,0,0.375,0,0
83,dart,287,0.25098,0,0,0.25977,0,0,0.25323,0,0,0.32639,0,0,0.25098,0,0
84,dart,965,0.375,0,0,0.42215,0,0,0.25194,0,0,0.375,0,0,0.25218,0,0
85,dart,104,0.00689,0,0,0.00689,0,0,0.0,0,0,0.00689,0,0,0.0,0,0
86,dart,345,0.26725,0,0,0.26873,0,0,0.26958,0,0,0.30237,0,0,0.375,0,0
87,dart,2546,0.4065,0,0,0.4065,0,0,0.25394,0,0,0.25,0,0,0.36752,0,0
88,dart,329,0.25098,0,0,0.375,0,0,0.25098,0,0,0.25197,0,0,0.375,0,0
89,dart,80,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
90,dart,439,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
91,dart,1353,0.25936,0,0,0.25,0,0,0.25198,0,0,0.45152,0,0,0.25194,0,0
92,dart,219,0.25,0,0,0.37884,0,0,0.25198,0,0,0.25,0,0,0.25,0,0
93,dart,237,0.30868,0,0,0.25098,0,0,0.31387,0,0,0.25098,0,0,0.38049,0,0
94,dart,1486,0.375,0,0,0.25098,0,0,0.27931,0,0,0.25194,0,0,0.25194,0,0
95,dart,1112,0.25,0,0,0.375,0,0,0.2699,0,0,0.375,0,0,0.25,0,0
96,dart,493,0.43785,0,0,0.32545,0,0,0.25,0,0,0.25,0,0,0.37634,0,0
97,dart,780,0.375,0,0,0.25194,0,0,0.25724,0,0,0.375,0,0,0.37982,0,0
98,dart,214,0.375,0,0,0.25098,0,0,0.375,0,0,0.375,0,0,0.25194,0,0
99,dart,730,0.375,0,0,0.375,0,0,0.34142,0,0,0.375,0,0,0.25,0,0
100,dart,485,0.375,0,0,0.30278,0,0,0.38621,0,0,0.30473,0,0,0.46591,0,0
101,dart,484,0.26833,0,0,0.375,0,0,0.28836,0,0,0.375,0,0,0.06164,0,0
102,dart,43,0.37764,0,0,0.25098,0,0,0.37569,0,0,0.375,0,0,0.37764,0,0
103,dart,43,0.375,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.38403,0,0
104,dart,419,0.38176,0,0,0.25194,0,0,0.38044,0,0,0.375,0,0,0.375,0,0
105,dart,691,0.25098,0,0,0.25098,0,0,0.25194,0,0,0.31306,0,0,0.25194,0,0
106,dart,1238,0.33003,0,0,0.25205,0,0,0.38174,0,0,0.25203,0,0,0.38174,0,0
