problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.52783,0,0,0.33577,0,0,0.59009,0,0,0.581,0,0,0.51913,0,0
1,dart,327,0.53132,0,0,0.69661,0,0,0.66431,0,0,0.56283,0,0,0.59934,0,0
2,dart,90,0.5978,0,0,0.54957,0,0,0.5698,0,0,0.60136,0,0,0.31764,0,0
3,dart,262,0.32665,0,0,0.5517,0,0,0.67206,0,0,0.43481,0,0,0.47142,0,0
4,dart,147,0.46375,0,0,0.83781,0,0,0.44465,0,0,0.67993,0,0,0.72311,0,0
5,dart,117,0.38997,0,0,0.5352,0,0,0.62186,0,0,0.6079,0,0,0.60252,0,0
6,dart,69,0.34346,0,0,0.72446,0,0,0.59795,0,0,0.32368,0,0,0.30999,0,0
7,dart,152,0.70821,0,0,0.47003,0,0,0.70821,0,0,0.35924,0,0,0.30166,0,0
8,dart,197,0.59129,0,0,0.30926,0,0,0.35869,0,0,0.62936,0,0,0.28541,0,0
9,dart,963,0.70565,0,0,0.68949,0,0,0.60384,0,0,0.66989,0,0,0.6756,0,0
10,dart,91,0.29563,0,0,0.39472,0,0,0.52901,0,0,0.77378,0,0,0.30425,0,0
11,dart,271,0.39731,0,0,0.48097,0,0,0.69402,0,0,0.59143,0,0,0.41989,0,0
12,dart,275,0.54151,0,0,0.70113,0,0,0.63418,0,0,0.71869,0,0,0.70411,0,0
13,dart,229,0.49763,0,0,0.65047,0,0,0.63657,0,0,0.6002,0,0,0.45648,0,0
14,dart,250,0.37491,0,0,0.76424,0,0,0.45134,0,0,0.74235,0,0,0.39567,0,0
15,dart,252,0.71221,0,0,0.66536,0,0,0.69324,0,0,0.71033,0,0,0.69235,0,0
16,dart,1164,0.66693,0,0,0.57063,0,0,0.69398,0,0,0.54714,0,0,0.55501,0,0
17,dart,88,0.7399,0,0,0.73286,0,0,0.57562,0,0,0.71947,0,0,0.30554,0,0
18,dart,123,0.54121,0,0,0.4581,0,0,0.36168,0,0,0.52877,0,0,0.53823,0,0
19,dart,71,0.73729,0,0,0.74203,0,0,0.29979,0,0,0.63684,0,0,0.30453,0,0
20,dart,88,0.44218,0,0,0.56735,0,0,0.30892,0,0,0.50005,0,0,0.63454,0,0
21,dart,88,0.61298,0,0,0.34276,0,0,0.39869,0,0,0.3668,0,0,0.31377,0,0
22,dart,78,0.30497,0,0,0.70366,0,0,0.7592,0,0,0.72361,0,0,0.32169,0,0
23,dart,220,0.60303,0,0,0.31186,0,0,0.34836,0,0,0.53102,0,0,0.48262,0,0
24,dart,132,0.38143,0,0,0.44063,0,0,0.38752,0,0,0.46636,0,0,0.41059,0,0
25,dart,559,0.53234,0,0,0.50879,0,0,0.68057,0,0,0.60628,0,0,0.46268,0,0
26,dart,67,0.48737,0,0,0.61978,0,0,0.52122,0,0,0.49616,0,0,0.42554,0,0
27,dart,988,0.67562,0,0,0.61566,0,0,0.33103,0,0,0.53896,0,0,0.24737,0,0
28,dart,78,0.63395,0,0,0.58236,0,0,0.58038,0,0,0.62951,0,0,0.6871,0,0
29,dart,402,0.37882,0,0,0.4184,0,0,0.5409,0,0,0.65786,0,0,0.5888,0,0
30,dart,88,0.41324,0,0,0.38347,0,0,0.56407,0,0,0.46963,0,0,0.47526,0,0
31,dart,85,0.60093,0,0,0.36764,0,0,0.60093,0,0,0.65162,0,0,0.42706,0,0
32,dart,255,0.59672,0,0,0.46713,0,0,0.74258,0,0,0.75296,0,0,0.66292,0,0
33,dart,246,0.69978,0,0,0.68663,0,0,0.73404,0,0,0.44218,0,0,0.6901,0,0
