problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.47664,0,0,0.55262,0,0,0.5617,0,0,0.62781,0,0,0.67749,0,0
1,dart,327,0.45338,0,0,0.60487,1,0,0.71379,0,0,0.61065,1,1,0.61282,1,1
2,dart,90,0.59969,1,1,0.66692,1,1,0.66444,1,1,0.47673,1,1,0.43014,1,1
3,dart,262,0.71265,1,1,0.57688,1,1,0.69654,1,1,0.48832,0,0,0.72705,1,1
4,dart,147,0.7821,1,1,0.38915,0,0,0.43109,0,0,0.55411,0,0,0.55567,1,1
5,dart,117,0.77482,0,0,0.63146,1,1,0.74546,1,1,0.6012,1,1,0.7237,1,1
6,dart,69,0.46861,1,0,0.3114,0,0,0.35965,0,0,0.47966,1,0,0.52289,0,0
7,dart,152,0.29689,0,0,0.33919,0,0,0.3344,1,1,0.70662,0,0,0.49632,0,0
8,dart,197,0.66729,0,0,0.67692,1,1,0.66103,1,1,0.63306,1,1,0.35316,1,1
9,dart,963,0.67106,1,1,0.72124,1,1,0.64235,1,1,0.70235,1,1,0.67922,1,1
10,dart,91,0.43141,0,0,0.60629,1,0,0.7364,0,0,0.4806,0,0,0.36943,1,0
11,dart,271,0.52871,0,0,0.73344,0,0,0.50959,0,0,0.66958,0,0,0.51768,0,0
12,dart,275,0.61575,0,0,0.58545,0,0,0.60315,0,0,0.62555,0,0,0.65233,0,0
13,dart,229,0.4074,1,1,0.40834,0,0,0.62539,1,1,0.67334,1,1,0.72897,1,1
14,dart,250,0.68272,0,0,0.76595,0,0,0.64363,0,0,0.52978,0,0,0.47397,0,0
15,dart,252,0.7025,1,1,0.53621,1,1,0.66101,0,0,0.61245,1,1,0.67262,1,1
16,dart,1164,0.53931,1,1,0.57897,1,1,0.60362,0,0,0.5541,0,0,0.56883,1,1
17,dart,88,0.45139,1,1,0.67142,1,1,0.71324,1,1,0.48746,0,0,0.51419,0,0
18,dart,123,0.45761,0,0,0.37429,1,0,0.67158,1,1,0.49277,0,0,0.47962,1,1
19,dart,71,0.70006,1,1,0.67293,1,1,0.75877,1,1,0.55584,0,0,0.47595,0,0
