problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.74669,1,1,0.64573,1,0,0.73859,1,1,0.66568,1,0,0.73248,1,0,0.73017,1,0,0.72965,1,0,0.73248,1,0,0.5968,0,0,0.70817,0,0
1,dart,1184,0.59988,1,0,0.63889,1,0,0.60976,0,0,0.67841,1,0,0.54988,0,0,0.67386,1,0,0.44074,0,0,0.69499,0,0,0.68698,1,0,0.62546,0,0
2,dart,301,0.58627,0,0,0.7268,1,1,0.696,1,0,0.55358,1,0,0.67949,1,0,0.64451,1,0,0.69265,0,0,0.63861,0,0,0.68655,0,0,0.70654,0,0
3,dart,471,0.64518,1,1,0.66267,1,0,0.71195,1,0,0.67431,1,0,0.55469,1,0,0.58457,0,0,0.58207,1,0,0.65742,1,0,0.68414,1,1,0.72896,1,0
4,dart,611,0.55767,1,1,0.56414,1,1,0.64597,0,0,0.55073,1,1,0.52705,0,0,0.7221,1,1,0.56156,1,1,0.507,1,1,0.50286,1,1,0.49931,1,1
5,dart,564,0.72903,1,1,0.72713,1,0,0.64145,0,0,0.73661,1,1,0.76228,1,0,0.79984,1,1,0.7583,1,0,0.7348,1,1,0.6867,1,1,0.71112,0,0
6,dart,852,0.64261,1,0,0.39854,0,0,0.65299,1,0,0.62577,0,0,0.64212,1,0,0.58014,1,0,0.6868,0,0,0.6799,1,0,0.6198,1,0,0.58253,1,0
7,dart,547,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.61345,1,1,0.57337,1,1,0.74185,1,1,0.73046,1,1
8,dart,598,0.65039,0,0,0.69886,1,0,0.74074,1,0,0.70849,1,0,0.61661,0,0,0.54399,1,0,0.6419,1,0,0.70253,1,0,0.70783,1,0,0.64752,1,0
9,dart,807,0.69715,0,0,0.63542,1,1,0.65752,1,1,0.66401,1,1,0.65564,1,1,0.66197,1,1,0.70966,1,1,0.63173,1,1,0.63127,1,1,0.70882,1,1
10,dart,798,0.60004,1,0,0.54163,0,0,0.30583,1,0,0.34141,0,0,0.54868,1,0,0.59524,1,0,0.58583,1,0,0.65949,1,0,0.64672,1,0,0.56031,0,0
11,dart,629,0.71486,1,0,0.68215,1,0,0.66985,0,0,0.65197,1,1,0.69375,0,0,0.73889,1,0,0.67491,1,1,0.57732,1,1,0.69094,1,0,0.66359,1,0
12,dart,534,0.54549,1,0,0.63566,1,0,0.58307,1,0,0.67738,1,1,0.66529,1,0,0.47199,0,0,0.63951,0,0,0.67853,1,1,0.63684,1,1,0.63553,1,0
13,dart,491,0.74398,1,1,0.65292,1,1,0.73005,1,1,0.76934,1,1,0.74398,1,1,0.74398,1,1,0.72142,1,1,0.74398,1,1,0.6722,1,1,0.72239,1,1
14,dart,381,0.72529,1,1,0.68917,1,1,0.72529,1,1,0.76737,1,1,0.80705,1,1,0.77914,1,1,0.70323,1,1,0.79101,1,1,0.78759,1,0,0.67952,1,0
15,dart,542,0.60035,1,1,0.54954,1,1,0.56695,1,1,0.54562,1,1,0.49463,0,0,0.51996,1,0,0.60248,1,1,0.53138,1,0,0.57219,1,1,0.51475,0,0
16,dart,319,0.55616,1,0,0.50356,1,0,0.50014,0,0,0.41209,0,0,0.5669,1,0,0.5189,0,0,0.43396,1,0,0.40451,0,0,0.58075,0,0,0.55197,1,0
17,dart,636,0.48091,0,0,0.49832,1,0,0.48543,0,0,0.47573,0,0,0.36887,0,0,0.46268,1,0,0.46517,0,0,0.5118,1,0,0.50705,0,0,0.43281,1,0
18,dart,486,0.59916,1,1,0.60851,1,1,0.75523,1,0,0.75438,1,1,0.71859,1,1,0.69345,1,0,0.75997,1,1,0.60009,1,1,0.75183,1,1,0.61549,1,1
19,dart,702,0.41665,0,0,0.74904,0,0,0.55836,0,0,0.53449,0,0,0.51202,0,0,0.5875,0,0,0.54004,0,0,0.52468,1,0,0.67381,0,0,0.55738,1,0
20,dart,1013,0.66735,1,0,0.62118,1,0,0.66288,1,0,0.54851,0,0,0.67439,1,0,0.57468,0,0,0.67687,1,0,0.48613,0,0,0.66371,1,0,0.58374,0,0
21,dart,701,0.74185,1,1,0.76873,1,1,0.68682,1,1,0.72854,1,1,0.72082,1,1,0.70841,1,1,0.71049,1,1,0.72198,1,1,0.72797,1,1,0.75732,1,1
22,dart,917,0.56206,1,1,0.62513,0,0,0.65007,0,0,0.65007,0,0,0.63473,1,1,0.49878,1,0,0.65007,0,0,0.59743,1,1,0.5921,1,1,0.75002,1,1
24,dart,420,0.70189,0,0,0.61233,1,1,0.63167,0,0,0.68109,1,0,0.68252,1,1,0.59062,1,1,0.62387,1,0,0.63051,1,0,0.64768,0,0,0.6838,0,0
26,dart,565,0.61317,1,0,0.61897,1,0,0.59752,0,0,0.65331,1,0,0.64579,1,0,0.63652,1,0,0.64238,1,0,0.62628,0,0,0.6788,1,0,0.64579,1,0
27,dart,753,0.52879,0,0,0.59936,1,0,0.5308,0,0,0.51861,0,0,0.64146,0,0,0.58965,0,0,0.58031,1,0,0.75,1,0,0.50213,0,0,0.5425,0,0
28,dart,373,0.75068,1,1,0.75068,1,1,0.75063,1,1,0.75068,1,1,0.66163,1,1,0.57026,1,1,0.75068,1,1,0.64732,1,1,0.48573,1,0,0.53286,1,0
29,dart,671,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.58756,1,1,0.73936,1,1,0.57476,1,1,0.73936,1,1,0.73408,1,1,0.73936,1,1
30,dart,329,0.75929,1,0,0.77148,1,1,0.57688,1,1,0.7495,1,1,0.58621,1,0,0.77148,1,1,0.58923,1,1,0.75442,1,1,0.6032,1,1,0.58923,1,1
31,dart,502,0.73235,1,1,0.67512,0,0,0.67542,1,1,0.66243,0,0,0.66937,0,0,0.44002,0,0,0.66243,0,0,0.65776,1,1,0.61651,1,1,0.64891,0,0
33,dart,616,0.72653,1,0,0.75299,1,0,0.70633,0,0,0.63921,1,0,0.4421,1,0,0.64629,1,0,0.48502,0,0,0.37714,0,0,0.58869,1,0,0.69694,0,0
34,dart,643,0.61053,1,0,0.61031,1,0,0.59406,1,0,0.54812,1,0,0.56257,0,0,0.57022,1,0,0.62931,0,0,0.55313,0,0,0.518,1,0,0.73841,1,0
35,dart,346,0.7269,1,1,0.57975,0,0,0.60889,1,1,0.73018,1,1,0.73481,1,1,0.71941,1,0,0.73481,1,1,0.75204,1,1,0.58838,0,0,0.59628,1,1
36,dart,448,0.64549,1,0,0.63574,1,0,0.63854,1,0,0.61875,1,0,0.61681,0,0,0.59916,1,0,0.7043,1,0,0.70243,1,0,0.7043,1,0,0.69076,1,0
37,dart,579,0.7148,1,0,0.71956,1,0,0.69199,1,0,0.65408,0,0,0.75207,1,0,0.72186,1,0,0.73787,1,0,0.69931,1,0,0.70922,1,0,0.67162,1,0
39,dart,664,0.69288,0,0,0.72294,0,0,0.6974,0,0,0.70404,1,0,0.66686,1,0,0.67551,0,0,0.69079,0,0,0.69481,0,0,0.61651,1,0,0.60287,0,0
40,dart,607,0.74611,1,1,0.69751,1,1,0.64085,0,0,0.66823,1,1,0.73858,1,0,0.74788,0,0,0.70117,0,0,0.72703,1,0,0.76229,1,0,0.66416,1,1
41,dart,422,0.5082,0,0,0.56577,1,0,0.44838,1,0,0.75004,1,1,0.61213,1,0,0.53715,1,0,0.49004,1,0,0.72509,1,1,0.72509,1,1,0.67385,1,0
42,dart,235,0.45698,0,0,0.56684,1,0,0.54177,1,0,0.69716,1,1,0.62633,1,1,0.5895,0,0,0.42498,1,0,0.54178,0,0,0.60328,1,1,0.4963,1,0
43,dart,528,0.57428,1,1,0.79138,1,0,0.78843,1,1,0.66333,1,1,0.74965,1,1,0.79417,1,1,0.77812,1,0,0.63398,1,0,0.69356,1,0,0.53795,0,0
44,dart,347,0.4918,0,0,0.5002,0,0,0.6787,1,1,0.63795,0,0,0.66959,0,0,0.58766,1,1,0.65838,1,1,0.67439,1,1,0.57378,1,1,0.67947,0,0
45,dart,292,0.72509,1,1,0.73879,1,1,0.72509,1,1,0.72509,1,1,0.72509,1,1,0.72509,1,1,0.70534,1,1,0.71978,1,1,0.72509,1,1,0.72509,1,1
46,dart,657,0.70925,1,0,0.67576,1,0,0.66407,1,0,0.56258,0,0,0.71594,1,0,0.60768,0,0,0.61096,1,0,0.71508,1,0,0.67705,1,0,0.56989,1,0
47,dart,429,0.70296,0,0,0.72838,0,0,0.73784,0,0,0.67363,0,0,0.67186,0,0,0.73528,1,0,0.72496,0,0,0.64468,0,0,0.64981,0,0,0.77545,1,0
48,dart,444,0.67868,1,1,0.4112,1,1,0.6983,1,0,0.47868,0,0,0.72599,1,1,0.62724,1,1,0.6227,1,1,0.62916,0,0,0.60285,1,1,0.69313,1,1
49,dart,381,0.56383,0,0,0.49919,1,0,0.54051,1,0,0.52004,0,0,0.52904,1,0,0.55176,1,0,0.38693,0,0,0.53844,0,0,0.6014,0,0,0.41817,0,0
51,dart,540,0.72517,1,1,0.72517,1,1,0.70756,1,0,0.74352,1,1,0.71159,1,1,0.7633,1,1,0.67279,0,0,0.68839,1,1,0.75553,1,1,0.70269,1,0
52,dart,479,0.5595,0,0,0.75012,1,0,0.59074,1,0,0.59664,1,1,0.53428,1,0,0.56641,0,0,0.58117,0,0,0.73806,1,0,0.54143,0,0,0.63224,1,0
53,dart,212,0.75458,1,1,0.73092,1,1,0.62515,0,1,0.75458,1,1,0.48556,1,0,0.75458,1,1,0.62515,0,1,0.75458,1,1,0.75458,1,1,0.75458,1,1
54,dart,571,0.58474,0,0,0.50681,1,0,0.51191,1,0,0.4539,1,0,0.52528,1,0,0.36546,0,0,0.5323,0,0,0.49092,1,0,0.48576,1,0,0.47336,0,0
55,dart,474,0.52735,1,1,0.72279,1,1,0.52672,1,1,0.52264,1,1,0.53851,1,1,0.53851,1,1,0.49347,1,1,0.53851,1,1,0.53851,1,1,0.52264,1,1
56,dart,578,0.75207,1,1,0.7384,1,0,0.69354,1,1,0.58959,1,0,0.63331,0,0,0.64749,1,1,0.69643,1,1,0.7281,1,1,0.63317,1,1,0.73042,1,1
57,dart,620,0.666,1,0,0.68164,1,0,0.65082,0,0,0.69666,1,0,0.69683,1,0,0.67236,0,0,0.71586,0,0,0.69721,1,1,0.6335,1,0,0.68194,1,0
58,dart,425,0.64307,1,0,0.64584,1,0,0.68397,0,0,0.72675,1,0,0.54514,1,0,0.68689,1,0,0.66919,1,0,0.64937,0,0,0.68397,0,0,0.68089,1,0
59,dart,515,0.61898,0,0,0.64641,1,0,0.64422,0,0,0.63051,0,0,0.62887,0,0,0.62062,1,0,0.61012,1,0,0.65728,0,0,0.64304,0,0,0.63077,0,0
60,dart,312,0.75284,1,1,0.61602,1,1,0.71541,1,1,0.7317,1,1,0.54277,0,0,0.57883,1,1,0.57892,1,1,0.57892,1,1,0.71541,1,1,0.7317,1,1
61,dart,578,0.75432,1,1,0.68298,1,1,0.70111,0,0,0.68105,1,1,0.72997,1,1,0.69348,0,0,0.66973,1,1,0.73201,1,1,0.60644,0,0,0.70453,1,1
