problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.55485,1,1,0.71976,1,1,0.7502,1,1,0.71729,1,0,0.66943,1,0,0.73933,1,0,0.73909,1,1,0.67366,1,0,0.68297,1,0,0.74669,1,1
1,dart,1184,0.70602,0,0,0.71707,1,1,0.41432,0,0,0.69086,0,0,0.65552,0,0,0.70666,1,0,0.70143,1,0,0.68505,1,0,0.38791,0,0,0.68669,1,0
2,dart,301,0.47154,0,0,0.63861,0,0,0.58456,0,0,0.58416,0,0,0.59592,0,0,0.61483,0,0,0.73727,0,0,0.71493,1,1,0.66486,1,0,0.67762,1,1
3,dart,471,0.62155,1,0,0.66736,1,0,0.72199,1,0,0.6481,1,1,0.69115,1,0,0.54337,1,0,0.68181,1,0,0.70134,1,1,0.7107,1,0,0.61815,0,0
4,dart,611,0.74161,1,0,0.56483,1,1,0.61609,0,0,0.64287,1,1,0.56501,0,0,0.5188,1,1,0.7221,1,1,0.55665,1,1,0.49697,1,1,0.59668,0,0
5,dart,564,0.76781,1,1,0.81242,1,1,0.77663,1,1,0.7348,1,1,0.65802,1,0,0.76213,1,1,0.74941,0,0,0.81961,1,1,0.78627,1,1,0.81242,1,1
6,dart,852,0.69828,1,0,0.67615,0,0,0.67555,1,0,0.59407,1,0,0.69213,1,0,0.59116,0,0,0.67923,1,0,0.4398,0,0,0.64746,1,0,0.62566,1,0
7,dart,547,0.73927,1,1,0.57351,1,1,0.74185,1,1,0.58791,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.7368,1,1,0.74185,1,1
8,dart,598,0.72791,1,0,0.63423,1,0,0.70392,1,0,0.66791,0,0,0.6828,1,0,0.72703,1,0,0.58818,1,0,0.68374,1,0,0.54606,1,0,0.6684,1,0
9,dart,807,0.70712,0,0,0.71042,0,0,0.6253,1,0,0.65124,0,0,0.64551,0,0,0.65544,1,0,0.70882,1,1,0.62618,1,1,0.6237,1,1,0.70712,0,0
10,dart,798,0.61248,0,0,0.69784,0,0,0.73913,0,0,0.60197,0,0,0.68425,0,0,0.55387,0,0,0.62492,1,0,0.59263,1,0,0.57216,1,0,0.56601,1,0
11,dart,629,0.70894,1,1,0.61342,1,1,0.72754,1,1,0.70621,1,1,0.61922,1,1,0.70059,0,0,0.71997,1,0,0.61069,0,0,0.68353,1,1,0.66419,0,0
12,dart,534,0.6098,1,0,0.67738,1,1,0.71551,1,1,0.67738,1,1,0.51385,1,0,0.65515,1,0,0.66051,1,0,0.71901,1,1,0.59802,1,0,0.71433,1,1
13,dart,491,0.73556,1,1,0.74202,1,1,0.74398,1,1,0.73556,1,1,0.72142,1,1,0.74398,1,1,0.73618,1,1,0.73556,1,1,0.73556,1,1,0.73556,1,1
14,dart,381,0.82875,1,1,0.76737,1,1,0.73706,1,1,0.75558,1,1,0.79563,1,1,0.76737,1,1,0.72529,1,1,0.71246,0,0,0.73831,1,1,0.68288,1,1
15,dart,542,0.58225,1,1,0.52243,1,1,0.58156,1,1,0.60248,1,1,0.58237,1,0,0.55053,1,1,0.55367,1,1,0.49298,0,0,0.57964,1,1,0.4599,1,0
16,dart,319,0.5938,0,0,0.52169,1,0,0.53817,0,0,0.47999,0,0,0.56492,1,0,0.54226,1,0,0.57385,1,0,0.51659,1,0,0.5179,0,0,0.58481,1,0
17,dart,636,0.44065,1,0,0.51259,1,0,0.5792,0,0,0.49322,1,0,0.49154,1,0,0.44996,0,0,0.45398,0,0,0.54513,1,0,0.48922,1,0,0.49852,1,1
18,dart,486,0.74668,1,1,0.69882,1,0,0.75977,1,1,0.75748,1,1,0.72944,1,1,0.75449,1,1,0.71859,1,1,0.69327,1,0,0.75977,1,1,0.74886,1,1
19,dart,702,0.6617,0,0,0.73816,0,0,0.61574,1,0,0.45162,0,0,0.21873,0,0,0.36879,0,0,0.39779,0,0,0.6218,0,0,0.59816,0,0,0.36507,0,0
20,dart,1013,0.6242,1,0,0.6446,0,0,0.6098,1,0,0.53327,0,0,0.66537,1,0,0.61942,1,0,0.63803,1,0,0.64517,1,0,0.65625,1,0,0.59213,0,0
21,dart,701,0.71862,1,1,0.70856,1,1,0.70441,1,1,0.67115,1,1,0.74513,1,1,0.70315,0,0,0.69535,1,1,0.65826,0,0,0.67373,0,0,0.65201,1,0
22,dart,917,0.65007,0,0,0.53592,1,1,0.55934,1,1,0.57743,1,1,0.55934,1,1,0.55934,1,1,0.55786,1,1,0.65007,0,0,0.55986,1,1,0.65007,0,0
24,dart,420,0.59186,0,0,0.61203,1,0,0.68549,1,1,0.71156,1,1,0.63551,1,0,0.65169,0,0,0.70189,0,0,0.6328,0,0,0.66526,1,0,0.62504,1,1
26,dart,565,0.64947,1,0,0.66597,1,0,0.66597,1,0,0.63094,1,0,0.66597,1,0,0.66524,1,0,0.66524,1,0,0.66597,1,0,0.65879,1,0,0.63853,1,0
27,dart,753,0.75,1,0,0.71793,1,1,0.60031,1,0,0.75,1,0,0.75,1,0,0.75,1,0,0.73744,0,0,0.65133,1,1,0.75,1,0,0.60819,0,0
28,dart,373,0.75029,1,1,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.50078,1,0,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.75063,1,1
29,dart,671,0.73936,1,1,0.73408,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1
30,dart,329,0.74892,1,0,0.59773,1,1,0.55733,1,1,0.57027,1,1,0.6032,0,0,0.60534,1,1,0.7495,1,1,0.6032,1,1,0.75442,1,1,0.56881,1,1
31,dart,502,0.68456,1,0,0.60733,1,1,0.72793,0,0,0.68794,0,0,0.67271,0,0,0.68702,0,0,0.70732,1,1,0.73235,1,1,0.63892,0,0,0.31112,0,0
33,dart,616,0.46698,1,0,0.32149,0,0,0.59949,0,0,0.6212,0,0,0.65062,0,0,0.6014,0,0,0.52944,0,0,0.63948,1,0,0.60909,0,0,0.36562,0,0
34,dart,643,0.5952,1,0,0.63201,1,0,0.72473,0,0,0.57022,1,0,0.53733,0,0,0.59363,1,0,0.6189,1,0,0.52064,1,0,0.61494,1,0,0.55015,1,0
35,dart,346,0.64266,1,1,0.64602,1,1,0.61103,1,1,0.58714,1,1,0.73135,1,1,0.70215,0,0,0.73047,1,1,0.60281,0,0,0.73481,1,1,0.65421,1,1
36,dart,448,0.64503,1,0,0.64134,1,0,0.74083,1,0,0.69456,1,0,0.66266,1,0,0.70194,1,0,0.69332,1,0,0.69726,1,0,0.68922,1,0,0.66466,1,0
37,dart,579,0.71158,1,0,0.71782,1,0,0.62896,0,0,0.64232,0,0,0.6711,0,0,0.72985,1,0,0.70606,1,0,0.71556,1,0,0.69676,1,0,0.67578,1,0
39,dart,664,0.67098,1,0,0.72359,0,0,0.62243,0,0,0.66829,1,0,0.69629,1,0,0.66439,0,0,0.65048,1,0,0.60411,1,0,0.64993,1,0,0.63044,1,0
40,dart,607,0.73519,1,1,0.71873,1,0,0.62749,0,0,0.74583,1,1,0.71411,1,1,0.77714,0,0,0.57442,0,0,0.58118,0,0,0.74328,0,0,0.41682,1,0
41,dart,422,0.72509,1,1,0.64235,1,0,0.45801,0,0,0.51477,1,0,0.56198,1,0,0.47109,1,0,0.75004,1,1,0.51592,1,0,0.72509,1,1,0.58247,1,0
42,dart,235,0.44713,1,0,0.56429,1,1,0.51385,1,1,0.23784,1,0,0.33804,1,0,0.63823,1,1,0.55768,1,0,0.53744,1,0,0.59112,1,0,0.59975,0,0
43,dart,528,0.76741,1,1,0.79318,1,1,0.65524,1,1,0.62685,1,0,0.65383,0,0,0.73572,1,0,0.64851,1,0,0.76895,1,1,0.64856,1,0,0.77352,1,1
44,dart,347,0.5004,0,0,0.5405,0,0,0.55865,1,1,0.67524,1,1,0.7012,1,1,0.65247,1,0,0.72608,1,1,0.72939,1,1,0.7195,0,0,0.61288,1,1
45,dart,292,0.71978,1,1,0.71978,1,1,0.71978,1,1,0.71978,1,1,0.71978,1,1,0.73879,1,1,0.6903,1,1,0.71978,1,1,0.71978,1,1,0.72509,1,1
46,dart,657,0.69908,1,0,0.64063,1,0,0.71207,1,0,0.66779,0,0,0.61801,1,0,0.71777,1,0,0.65662,0,0,0.68153,1,0,0.70203,1,0,0.6371,1,0
47,dart,429,0.70154,0,0,0.71723,0,0,0.70296,0,0,0.73246,0,0,0.69687,0,0,0.62787,0,0,0.71987,0,0,0.76026,0,0,0.67074,0,0,0.73461,0,0
48,dart,444,0.70537,1,1,0.65224,1,1,0.68773,1,1,0.67156,1,1,0.40253,1,1,0.67576,1,1,0.56297,1,0,0.37374,0,0,0.29885,1,0,0.30068,1,0
49,dart,381,0.50572,1,0,0.58073,0,0,0.5259,1,0,0.59173,0,0,0.52606,1,0,0.4709,0,0,0.56895,1,0,0.47143,1,0,0.56854,1,0,0.53158,1,0
51,dart,540,0.72517,1,1,0.72517,1,1,0.7369,1,1,0.72517,1,1,0.70954,1,0,0.71587,1,1,0.72517,1,1,0.71185,1,0,0.72517,1,1,0.72005,1,0
52,dart,479,0.6243,0,0,0.61152,1,0,0.66433,1,0,0.48276,1,0,0.52532,1,0,0.58591,1,0,0.75011,1,0,0.64806,1,0,0.75012,1,0,0.61988,1,0
53,dart,212,0.75458,1,1,0.75458,1,1,0.59314,1,0,0.65919,0,0,0.75458,1,1,0.75458,1,1,0.62515,0,1,0.68523,0,0,0.73092,1,1,0.75458,1,1
54,dart,571,0.5269,0,0,0.48628,1,0,0.45376,0,0,0.44721,1,0,0.51407,1,0,0.48156,1,0,0.52183,1,0,0.51504,1,0,0.52021,0,0,0.50861,1,0
55,dart,474,0.51188,1,1,0.52264,1,1,0.53851,1,1,0.70238,1,1,0.53851,1,1,0.52264,1,1,0.53851,1,1,0.52264,1,1,0.54166,1,1,0.70657,1,1
56,dart,578,0.71614,1,1,0.69402,1,1,0.68835,1,1,0.7466,1,1,0.61423,0,0,0.68543,1,1,0.66874,0,0,0.61046,0,0,0.64984,0,0,0.68766,1,0
57,dart,620,0.69121,1,0,0.58569,1,1,0.66902,1,0,0.69242,1,0,0.65716,0,0,0.39324,0,0,0.61212,1,0,0.67948,1,0,0.64513,1,0,0.70937,1,1
58,dart,425,0.64492,1,0,0.69615,1,0,0.71754,1,0,0.68596,0,0,0.65149,1,0,0.62091,1,0,0.72248,1,0,0.64228,0,0,0.65196,1,0,0.65002,1,0
59,dart,515,0.66886,0,0,0.61572,0,0,0.63519,0,0,0.63238,1,0,0.64646,0,0,0.66498,0,0,0.67734,0,0,0.61935,0,0,0.5946,1,1,0.60077,0,0
60,dart,312,0.57892,1,1,0.769,1,1,0.64009,1,1,0.73914,1,1,0.75536,1,1,0.77756,1,1,0.57892,1,1,0.61553,1,0,0.57883,1,1,0.57892,1,1
61,dart,578,0.70888,1,1,0.68628,0,0,0.74178,1,1,0.7121,1,1,0.72558,1,1,0.71872,1,1,0.71775,1,0,0.71812,1,1,0.72307,1,0,0.7475,1,1
62,dart,462,0.64719,0,0,0.53868,0,0,0.61877,0,0,0.65344,1,0,0.53418,0,0,0.63231,1,0,0.69609,1,0,0.56606,0,0,0.68458,0,0,0.61607,1,0
63,dart,563,0.68937,1,0,0.49839,1,0,0.54161,1,1,0.52715,1,0,0.54411,1,0,0.54843,1,1,0.5289,1,0,0.55211,1,1,0.53956,1,0,0.49839,1,0
64,dart,836,0.49184,1,0,0.49645,1,0,0.69568,1,0,0.63438,1,0,0.62967,0,0,0.65985,1,0,0.63098,1,0,0.62223,1,0,0.6137,0,0,0.62638,1,0
65,dart,614,0.51332,0,0,0.6204,0,0,0.61106,0,0,0.53408,0,0,0.55308,0,0,0.70126,1,0,0.64564,0,0,0.52673,1,0,0.64195,1,0,0.6074,1,0
66,dart,583,0.58831,1,0,0.68262,0,0,0.67478,0,0,0.61106,1,0,0.64155,0,0,0.59015,1,0,0.64437,0,0,0.53853,1,0,0.40342,0,0,0.6333,1,0
67,dart,519,0.52446,0,0,0.65248,0,0,0.62726,0,0,0.65481,1,0,0.56835,1,0,0.47363,0,0,0.50352,0,0,0.42383,0,0,0.53291,0,0,0.5805,0,0
68,dart,717,0.60038,1,0,0.61487,0,0,0.60939,1,0,0.52702,0,0,0.56913,1,0,0.57099,1,0,0.53799,1,0,0.60079,1,0,0.54205,1,0,0.53112,1,0
69,dart,555,0.66372,0,0,0.70216,1,0,0.63453,0,0,0.52957,0,0,0.7104,1,0,0.37123,1,0,0.63456,1,0,0.6648,0,0,0.31111,1,0,0.65109,0,0
70,dart,861,0.61096,0,0,0.57716,0,0,0.35306,1,0,0.39801,1,1,0.5959,1,0,0.58358,0,0,0.59488,1,0,0.64013,1,0,0.62847,0,0,0.63914,1,0
71,dart,433,0.72279,0,0,0.70544,0,0,0.74921,0,0,0.76057,0,0,0.78184,0,0,0.62798,0,0,0.769,0,0,0.68991,1,0,0.71197,0,0,0.76348,0,0
72,dart,511,0.67148,1,0,0.68836,1,0,0.63288,1,0,0.66393,0,0,0.48771,0,0,0.66216,1,0,0.49982,0,0,0.63968,0,0,0.64492,1,0,0.61327,0,0
73,dart,424,0.52076,0,0,0.46196,0,0,0.59891,1,0,0.4826,0,0,0.46553,0,0,0.50695,0,0,0.56898,1,0,0.52326,0,0,0.58105,1,0,0.6707,0,0
74,dart,607,0.57294,1,0,0.54005,0,0,0.62116,1,0,0.6093,0,0,0.63589,1,0,0.55742,1,0,0.60764,1,0,0.59793,1,0,0.42307,0,0,0.52026,0,0
75,dart,777,0.62999,0,0,0.50902,0,0,0.63443,0,0,0.65014,1,0,0.67499,0,0,0.66445,1,0,0.69521,0,0,0.6497,1,0,0.6808,0,0,0.58943,1,0
76,dart,488,0.57303,1,0,0.66542,1,0,0.6446,0,0,0.52727,1,0,0.53891,1,0,0.54423,0,0,0.63489,0,0,0.56409,0,0,0.58956,1,0,0.5636,1,0
77,dart,418,0.52935,0,0,0.31825,0,0,0.51148,0,0,0.56488,0,0,0.47679,1,1,0.48194,0,0,0.55194,0,0,0.55313,0,0,0.59249,0,0,0.48541,1,0
78,dart,527,0.5714,1,0,0.67955,1,0,0.50019,0,0,0.62093,0,0,0.59282,0,0,0.35561,0,0,0.63515,0,0,0.34562,0,0,0.59336,0,0,0.50858,1,0
79,dart,462,0.48833,0,0,0.51609,1,0,0.48297,1,0,0.55543,0,0,0.7312,1,1,0.48445,0,0,0.41202,1,1,0.70516,0,0,0.47737,0,0,0.50853,0,0
80,dart,542,0.64501,1,0,0.54496,0,0,0.63566,1,0,0.58355,0,0,0.63449,0,0,0.45926,0,0,0.45635,0,0,0.75,1,0,0.50972,0,0,0.64419,1,0
