problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.5732,1,0,0.72777,1,0,0.62896,1,0,0.71924,0,0,0.6821,1,0,0.65618,1,0,0.67227,0,0,0.69044,1,0,0.71729,1,0,0.70191,1,0
1,dart,1184,0.65001,1,0,0.70154,1,0,0.70327,1,0,0.71302,1,0,0.63805,1,0,0.58864,0,0,0.66755,1,1,0.63711,1,0,0.61851,0,0,0.64566,1,0
2,dart,301,0.67426,0,0,0.67762,1,1,0.67975,1,1,0.69265,0,0,0.64112,0,0,0.61392,1,0,0.7268,1,1,0.67984,0,0,0.63982,0,0,0.67887,1,0
3,dart,471,0.61893,1,0,0.62835,1,0,0.74207,1,0,0.70494,1,0,0.67594,1,0,0.64341,0,0,0.67791,1,0,0.58966,1,0,0.6184,1,1,0.71527,1,0
4,dart,611,0.55466,0,0,0.68128,1,1,0.51438,1,1,0.54299,1,1,0.55618,1,1,0.46949,0,0,0.58673,1,1,0.62038,1,1,0.69944,0,0,0.63836,1,1
5,dart,564,0.7959,1,1,0.69117,1,0,0.67749,1,0,0.7846,1,1,0.80867,1,1,0.79264,0,0,0.76326,1,1,0.75202,1,1,0.74531,1,1,0.82579,1,1
6,dart,852,0.62173,1,0,0.69251,1,0,0.54796,0,0,0.63633,1,0,0.63129,1,0,0.6037,1,0,0.64685,1,0,0.66623,1,0,0.52732,0,0,0.64264,0,0
7,dart,547,0.74185,1,1,0.74185,1,1,0.59913,1,1,0.74185,1,1,0.74185,1,1,0.58591,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1
8,dart,598,0.63047,1,0,0.67145,1,0,0.70717,1,0,0.6637,1,0,0.39161,0,0,0.68639,1,0,0.65488,1,0,0.67058,1,0,0.62905,1,0,0.63753,1,0
9,dart,807,0.66705,1,1,0.66771,1,1,0.70232,0,0,0.62767,1,1,0.64551,0,0,0.63127,1,1,0.65115,0,0,0.64317,1,1,0.66172,0,0,0.6277,1,1
10,dart,798,0.63251,1,0,0.60685,0,0,0.51989,0,0,0.41162,0,0,0.64313,1,0,0.54023,0,0,0.53748,0,0,0.6034,1,0,0.5401,0,0,0.71836,0,0
11,dart,629,0.60578,1,1,0.69054,0,0,0.52288,1,0,0.58794,1,0,0.619,1,1,0.63551,0,0,0.68133,1,0,0.66487,1,1,0.70454,1,1,0.63057,0,0
12,dart,534,0.6221,1,0,0.65928,1,0,0.62507,1,0,0.59989,0,0,0.66209,1,0,0.64843,1,0,0.6452,1,0,0.51741,1,0,0.62998,1,0,0.59586,0,0
13,dart,491,0.73556,1,1,0.61939,1,1,0.63151,1,0,0.73556,1,1,0.72142,1,1,0.66582,1,1,0.74398,1,1,0.6722,1,1,0.74398,1,1,0.73005,1,1
14,dart,381,0.71393,1,1,0.76737,1,1,0.76737,1,1,0.69155,1,1,0.7624,1,1,0.64774,1,1,0.7074,1,1,0.76737,1,1,0.66749,0,0,0.67742,1,1
15,dart,542,0.49646,0,0,0.54954,1,1,0.49778,1,0,0.53861,0,0,0.53384,1,0,0.52315,0,0,0.5886,1,0,0.60822,1,1,0.56343,1,1,0.54504,1,1
16,dart,319,0.53378,1,0,0.509,1,0,0.41641,1,0,0.41899,0,0,0.51262,0,0,0.45362,1,0,0.56828,1,0,0.50322,1,0,0.48898,0,0,0.56197,1,0
17,dart,636,0.57373,1,0,0.50121,1,0,0.47593,0,0,0.61495,0,0,0.50795,1,0,0.52026,1,0,0.48874,1,0,0.52111,1,0,0.52611,1,0,0.59451,1,0
18,dart,486,0.61922,1,1,0.74886,1,1,0.69345,1,0,0.64062,1,1,0.72944,1,1,0.69461,1,0,0.70156,1,0,0.73866,1,1,0.74886,1,1,0.6232,1,1
19,dart,702,0.45261,1,0,0.6968,1,0,0.46855,0,0,0.59122,0,0,0.56417,1,0,0.51712,0,0,0.47554,0,0,0.65738,0,0,0.48736,1,0,0.4898,1,0
20,dart,1013,0.66272,1,0,0.57614,0,0,0.63196,0,0,0.66816,1,0,0.56854,0,0,0.40499,1,0,0.65375,0,0,0.63368,1,0,0.61247,0,0,0.62069,0,0
21,dart,701,0.72884,1,1,0.71808,1,1,0.72805,1,1,0.68272,0,0,0.47122,0,0,0.71087,1,1,0.71503,0,0,0.74721,1,1,0.6909,1,1,0.7122,1,1
22,dart,917,0.65007,0,0,0.62513,0,0,0.55934,1,1,0.65007,0,0,0.65007,0,0,0.65007,0,0,0.59743,1,1,0.73788,1,1,0.65007,0,0,0.65007,0,0
24,dart,420,0.66084,1,1,0.51726,1,0,0.64633,1,1,0.60869,1,0,0.69046,1,1,0.64384,1,1,0.6722,1,1,0.6483,1,1,0.61579,1,1,0.66211,0,0
26,dart,565,0.67712,1,0,0.67712,1,0,0.60211,0,0,0.67712,1,0,0.72527,1,0,0.62637,1,0,0.67712,1,0,0.68688,1,0,0.66597,1,0,0.67712,1,0
27,dart,753,0.75,1,0,0.74119,1,1,0.68074,0,0,0.72993,0,0,0.75,1,0,0.67127,0,0,0.75,1,0,0.75,1,0,0.75,1,0,0.60904,1,1
28,dart,373,0.51622,1,1,0.47438,1,1,0.39595,0,0,0.49553,1,1,0.75068,1,1,0.52094,1,1,0.75068,1,1,0.63757,1,1,0.75029,1,1,0.75068,1,1
29,dart,671,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73408,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1
30,dart,329,0.58621,1,0,0.75442,1,1,0.58836,1,1,0.55592,0,1,0.56068,1,1,0.58836,1,1,0.58923,1,1,0.58836,1,1,0.58923,1,1,0.58836,1,1
31,dart,502,0.69663,0,0,0.66825,0,0,0.72159,0,0,0.70478,0,0,0.71322,0,0,0.70141,0,0,0.71496,0,0,0.70728,0,0,0.68778,0,0,0.6947,0,0
33,dart,616,0.75003,1,0,0.71584,1,0,0.63829,0,0,0.55117,0,0,0.60423,0,0,0.61536,0,0,0.41236,0,0,0.57747,0,0,0.61128,0,0,0.64165,1,0
34,dart,643,0.61031,1,0,0.71288,1,0,0.60544,1,0,0.64258,0,0,0.62076,1,0,0.60793,1,0,0.61562,1,0,0.60707,1,0,0.63291,1,0,0.58413,1,0
35,dart,346,0.58916,0,0,0.67592,0,0,0.73484,0,0,0.4635,0,0,0.60282,1,1,0.73047,1,1,0.61449,1,1,0.56751,1,1,0.72501,1,1,0.27238,0,0
36,dart,448,0.69652,1,0,0.72168,1,0,0.67404,1,0,0.69683,1,0,0.54112,1,0,0.70705,1,0,0.70526,1,0,0.66523,1,0,0.64805,1,0,0.5482,1,0
37,dart,579,0.6806,0,0,0.72254,1,0,0.68437,0,0,0.69268,1,0,0.7105,1,0,0.74809,0,0,0.67695,1,0,0.73305,1,0,0.65756,0,0,0.67829,1,0
39,dart,664,0.6464,1,0,0.59915,1,0,0.7266,0,0,0.72422,0,0,0.71328,0,0,0.68669,0,0,0.65589,0,0,0.68728,1,0,0.67102,1,0,0.67348,0,0
40,dart,607,0.75766,1,1,0.75198,1,0,0.71392,1,1,0.75879,1,1,0.77152,1,1,0.7837,1,1,0.46163,0,0,0.74611,1,1,0.61363,0,0,0.74456,1,0
41,dart,422,0.49775,0,0,0.64235,1,0,0.59291,0,0,0.45854,0,0,0.49548,1,0,0.55046,1,1,0.53265,1,0,0.4652,0,0,0.50164,1,1,0.44883,0,0
42,dart,235,0.57361,1,0,0.55792,1,0,0.61776,1,1,0.5136,0,0,0.56128,0,0,0.53806,0,0,0.66179,1,1,0.55075,1,0,0.43835,1,0,0.63959,1,1
43,dart,528,0.76979,1,1,0.74941,1,0,0.77321,1,0,0.66255,1,0,0.77375,1,1,0.59361,1,0,0.64354,1,0,0.64678,1,0,0.76741,1,1,0.77196,1,0
44,dart,347,0.56603,0,0,0.72466,1,1,0.64841,0,0,0.57743,1,1,0.72998,1,1,0.7249,1,1,0.60487,0,0,0.65462,0,0,0.58193,1,1,0.5356,1,1
45,dart,292,0.67664,1,1,0.72509,1,1,0.71606,1,1,0.72509,1,1,0.71978,1,1,0.73879,1,1,0.71978,1,1,0.72509,1,1,0.72509,1,1,0.71978,1,1
46,dart,657,0.60781,1,0,0.65875,1,0,0.6717,1,0,0.68518,1,0,0.64811,0,0,0.66226,1,0,0.69416,1,0,0.67787,1,0,0.64618,1,0,0.58351,1,0
47,dart,429,0.76808,1,0,0.58161,0,0,0.71466,1,0,0.70661,0,0,0.72177,1,0,0.71315,0,0,0.71908,0,0,0.71554,1,0,0.69032,0,0,0.69496,0,0
