problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.74144,1,0,0.69295,1,0,0.73248,1,0,0.665,1,0,0.67333,1,0,0.74669,1,1,0.6985,1,0,0.7502,1,1,0.73788,1,0,0.64976,1,0
1,dart,1184,0.67828,1,0,0.60364,0,0,0.7125,0,0,0.65945,0,0,0.67113,0,0,0.71591,0,0,0.64429,1,1,0.65582,1,0,0.6803,1,0,0.68833,1,0
2,dart,301,0.696,1,0,0.55763,1,0,0.49248,0,0,0.63831,1,1,0.67949,1,1,0.52165,1,1,0.67949,1,1,0.66308,1,1,0.64131,0,0,0.67949,1,1
3,dart,471,0.7202,1,0,0.62181,1,0,0.67495,1,0,0.6748,0,0,0.67747,1,0,0.67909,1,0,0.53606,1,0,0.67883,1,1,0.6657,0,0,0.67941,1,0
4,dart,611,0.53371,1,1,0.5327,0,0,0.53657,1,1,0.60424,1,1,0.57349,1,0,0.75812,0,0,0.69083,1,1,0.56566,1,1,0.54219,0,0,0.60964,0,0
5,dart,564,0.77967,1,1,0.74451,1,1,0.77146,1,1,0.70896,1,1,0.75461,1,0,0.81242,1,1,0.75293,1,1,0.74282,1,1,0.74929,0,0,0.77414,1,1
6,dart,852,0.60472,0,0,0.69213,1,0,0.64223,1,0,0.67915,1,0,0.67923,1,0,0.50774,0,0,0.60672,0,0,0.64311,0,0,0.67419,1,0,0.68883,1,0
7,dart,547,0.61345,1,1,0.59913,1,1,0.74185,1,1,0.74185,1,1,0.58591,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.61345,1,1,0.74185,1,1
8,dart,598,0.68781,1,0,0.62554,0,0,0.72703,1,0,0.72527,1,0,0.64348,1,0,0.72527,1,0,0.48548,1,0,0.70783,1,0,0.67005,1,0,0.72791,1,0
9,dart,807,0.66806,1,1,0.72,1,1,0.66197,1,1,0.66705,1,1,0.67573,0,0,0.66197,1,1,0.68641,1,1,0.68592,0,0,0.66197,1,1,0.65564,1,1
10,dart,798,0.60923,0,0,0.70137,1,0,0.59111,1,0,0.57165,1,0,0.62484,0,0,0.71101,0,0,0.61129,1,0,0.36422,1,0,0.57221,1,0,0.67904,1,0
11,dart,629,0.6565,0,0,0.65389,0,0,0.58562,0,0,0.69752,0,0,0.70391,1,1,0.62409,0,0,0.53565,1,0,0.61306,1,1,0.63989,0,0,0.66346,0,0
12,dart,534,0.63415,1,0,0.60708,1,0,0.55283,1,0,0.60819,1,0,0.71049,1,1,0.65153,1,0,0.64694,0,0,0.61989,0,0,0.70749,1,1,0.69531,1,1
13,dart,491,0.65292,1,1,0.74398,1,1,0.74202,1,1,0.64485,1,1,0.72142,1,1,0.66582,1,1,0.58826,0,0,0.62511,1,1,0.72142,1,1,0.67194,0,0
14,dart,381,0.79129,1,1,0.7614,0,0,0.76305,1,1,0.75032,1,1,0.66617,1,1,0.64998,1,0,0.76737,1,1,0.75543,1,1,0.78344,1,1,0.77914,1,1
15,dart,542,0.54086,1,1,0.49919,1,1,0.60248,1,1,0.60248,1,1,0.60681,1,1,0.55662,1,1,0.60248,1,1,0.46085,1,0,0.57516,1,1,0.57232,1,1
16,dart,319,0.49321,0,0,0.56312,1,0,0.56945,1,0,0.46735,0,0,0.68339,1,0,0.57465,1,0,0.48962,0,0,0.43899,1,0,0.48651,0,0,0.5198,1,0
17,dart,636,0.5222,0,0,0.33589,0,0,0.53438,1,0,0.51116,1,0,0.54897,1,0,0.44711,0,0,0.49035,1,0,0.46427,1,1,0.54663,1,0,0.69102,0,0
18,dart,486,0.74886,1,1,0.76389,1,1,0.74506,1,1,0.62554,1,1,0.71998,1,1,0.78239,1,1,0.63484,0,0,0.75706,1,1,0.63121,1,1,0.7396,1,1
