problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.43678,0,0,0.42458,0,0,0.5756,0,0,0.43722,1,0,0.48144,0,0
1,dart,327,0.68732,0,0,0.63253,0,0,0.69827,1,0,0.71147,1,1,0.72497,1,1
2,dart,90,0.40397,1,1,0.43072,0,0,0.52766,0,0,0.53386,0,0,0.41232,0,0
3,dart,262,0.63819,1,1,0.71069,1,1,0.58025,1,1,0.37716,0,0,0.55065,1,1
4,dart,147,0.55148,0,0,0.77857,1,1,0.76316,0,0,0.6842,0,0,0.76681,1,1
5,dart,117,0.43618,0,0,0.58288,1,1,0.58126,1,0,0.57977,1,1,0.48193,0,0
6,dart,69,0.88278,1,1,0.41636,1,0,0.81636,1,1,0.83592,0,0,0.52289,0,0
7,dart,152,0.36734,0,0,0.51644,0,0,0.69603,1,1,0.7241,1,1,0.32373,0,0
8,dart,197,0.40699,0,0,0.63102,1,1,0.55198,1,0,0.59657,0,0,0.37247,0,0
9,dart,963,0.70141,1,1,0.68681,0,0,0.7312,1,0,0.71528,1,1,0.70552,0,0
10,dart,91,0.8983,1,0,0.87918,0,0,0.69748,1,1,0.92293,0,0,0.30084,0,0
11,dart,271,0.53006,0,0,0.48719,0,0,0.72097,0,0,0.48988,0,0,0.60198,0,0
12,dart,275,0.55818,0,0,0.51263,0,0,0.68771,1,1,0.6064,0,0,0.55217,1,0
13,dart,229,0.61615,0,0,0.55077,1,1,0.33437,0,0,0.64514,1,1,0.46784,1,1
14,dart,250,0.79306,1,1,0.68122,1,0,0.74995,1,1,0.71846,1,1,0.40317,0,0
15,dart,252,0.64745,1,1,0.57857,0,0,0.72453,1,1,0.28626,0,0,0.48843,0,0
16,dart,1164,0.53287,0,0,0.55943,1,1,0.59881,0,0,0.6615,0,0,0.54914,1,1
17,dart,88,0.3335,0,0,0.74504,1,1,0.76729,1,1,0.74823,1,1,0.39712,0,0
18,dart,123,0.3971,1,0,0.42575,0,0,0.35547,0,0,0.36195,0,0,0.51391,1,1
19,dart,71,0.48333,1,1,0.37361,1,0,0.81636,1,1,0.65987,0,0,0.30354,0,0
20,dart,88,0.61642,0,0,0.54819,1,1,0.51676,0,0,0.53871,1,1,0.25398,0,0
21,dart,88,0.37414,0,0,0.68729,1,1,0.47751,0,0,0.43791,1,1,0.4653,0,0
22,dart,78,0.64965,1,1,0.76262,1,1,0.64965,1,1,0.50359,1,1,0.31041,0,0
23,dart,220,0.44528,0,0,0.72938,0,0,0.48598,0,0,0.49636,0,0,0.69361,0,0
