problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.69552,1,0,0.73501,1,1,0.70696,0,0,0.72965,1,0,0.69529,1,0,0.70677,1,1,0.73096,1,0,0.63695,1,0,0.712,0,0,0.61643,1,0
1,dart,1184,0.66692,1,0,0.68256,1,0,0.6887,0,0,0.6775,1,0,0.6586,1,0,0.69867,1,0,0.64696,1,0,0.64289,1,0,0.67891,1,0,0.63452,1,0
2,dart,301,0.68655,0,0,0.67949,1,1,0.67627,1,0,0.71493,1,1,0.65239,1,0,0.61908,0,0,0.52413,1,1,0.67627,1,0,0.56005,0,0,0.51995,1,1
3,dart,471,0.71655,1,0,0.69694,1,1,0.61785,1,0,0.69881,1,1,0.69324,1,0,0.70242,1,0,0.6973,1,1,0.63387,1,0,0.61841,1,0,0.7107,1,0
4,dart,611,0.71257,1,0,0.5559,1,1,0.60738,1,1,0.54537,0,0,0.56364,1,1,0.52936,1,1,0.58169,1,0,0.73059,1,1,0.55994,1,1,0.53067,1,1
5,dart,564,0.7959,1,1,0.7846,1,1,0.7846,1,1,0.78504,1,1,0.77432,1,1,0.77454,1,1,0.80213,1,1,0.78842,1,1,0.77432,1,1,0.7846,1,1
6,dart,852,0.7034,1,0,0.69324,1,0,0.69324,1,0,0.56393,0,0,0.63844,1,0,0.65794,1,0,0.71327,1,0,0.53845,0,0,0.68683,1,0,0.67584,1,0
7,dart,547,0.74185,1,1,0.6811,0,1,0.6811,0,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.61345,1,1
8,dart,598,0.62917,0,0,0.59766,1,0,0.56262,1,0,0.55919,1,0,0.72527,1,0,0.70849,1,0,0.67208,1,0,0.61541,1,0,0.67005,1,0,0.66757,1,0
9,dart,807,0.61531,1,1,0.62598,1,1,0.70511,1,0,0.64148,1,1,0.6206,1,1,0.63143,1,1,0.66197,1,1,0.63077,1,1,0.61803,0,0,0.66705,1,1
10,dart,798,0.56951,0,0,0.57614,1,0,0.6052,1,0,0.72666,0,0,0.59541,1,0,0.68471,0,0,0.59841,1,0,0.60291,1,0,0.6167,1,0,0.59558,0,0
11,dart,629,0.71615,1,1,0.70351,1,1,0.69084,0,0,0.6903,1,1,0.69397,1,1,0.75661,1,1,0.67471,0,0,0.54495,1,0,0.64431,1,1,0.72837,1,0
12,dart,534,0.65251,1,0,0.60517,0,0,0.64561,1,0,0.70378,1,1,0.70243,1,1,0.59946,1,1,0.72167,1,0,0.62654,0,0,0.70896,1,1,0.65928,1,0
13,dart,491,0.74398,1,1,0.76934,1,1,0.74398,1,1,0.72273,1,1,0.65292,1,1,0.73556,1,1,0.7821,1,1,0.74398,1,1,0.74398,1,1,0.73556,1,1
14,dart,381,0.76737,1,1,0.76737,1,1,0.76737,1,1,0.76737,1,1,0.78344,1,1,0.76737,1,1,0.76737,1,1,0.76737,1,1,0.76737,1,1,0.76737,1,1
15,dart,542,0.58156,1,1,0.59047,1,1,0.5886,1,1,0.57166,1,0,0.5692,1,1,0.58987,1,1,0.75347,1,1,0.71196,1,1,0.54604,0,0,0.60248,1,1
16,dart,319,0.76251,1,0,0.7384,0,0,0.59537,1,0,0.59537,1,0,0.74227,1,0,0.52766,1,0,0.58139,1,0,0.55753,1,0,0.59537,1,0,0.59537,1,0
17,dart,636,0.46217,0,0,0.57033,1,0,0.41924,0,0,0.67474,0,0,0.47616,0,0,0.51578,1,0,0.47009,0,0,0.58108,0,0,0.50077,0,0,0.46053,1,0
18,dart,486,0.75977,1,1,0.78239,1,1,0.78239,1,1,0.78239,1,1,0.78239,1,1,0.78441,1,1,0.78239,1,1,0.75977,1,1,0.78239,1,1,0.69273,1,0
19,dart,702,0.53761,1,0,0.55127,1,0,0.5385,0,0,0.52073,0,0,0.55093,0,0,0.77262,1,0,0.52218,0,0,0.57211,0,0,0.5372,0,0,0.52905,1,0
20,dart,1013,0.5261,0,0,0.61621,0,0,0.6365,0,0,0.6282,0,0,0.58767,0,0,0.49513,0,0,0.62076,1,0,0.6616,0,0,0.55421,0,0,0.55132,0,0
21,dart,701,0.71517,1,1,0.77936,1,1,0.73108,1,1,0.70904,1,1,0.72478,1,1,0.72136,1,1,0.74286,1,1,0.72316,1,0,0.71613,1,1,0.69436,0,0
22,dart,917,0.65677,0,0,0.65007,0,0,0.51002,1,1,0.59808,1,1,0.65007,0,0,0.75002,1,1,0.75002,1,1,0.57752,1,0,0.65007,0,0,0.5971,1,0
24,dart,420,0.61579,1,1,0.62123,1,1,0.73326,1,1,0.74134,1,1,0.74217,1,1,0.67982,1,1,0.60932,0,0,0.64089,1,1,0.71977,1,1,0.65927,1,1
