problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass
0,dart,243,0.32864,0,0,0.34989,0,0
1,dart,327,0.71096,0,0,0.62076,0,0
2,dart,90,0.5443,0,0,0.50964,0,0
3,dart,262,0.4794,0,0,0.70098,1,1
4,dart,147,0.59179,1,1,0.72197,1,1
5,dart,117,0.42173,0,0,0.52173,0,0
6,dart,69,0.41141,1,1,0.84603,1,1
7,dart,152,0.51037,1,1,0.45904,1,1
8,dart,197,0.32479,0,0,0.5929,1,1
9,dart,963,0.62006,0,0,0.7125,1,1
10,dart,91,0.61023,0,0,0.43711,0,0
11,dart,271,0.59386,0,0,0.58268,0,0
12,dart,275,0.41161,1,0,0.48487,0,0
13,dart,229,0.51432,1,1,0.47904,0,0
14,dart,250,0.62216,0,0,0.52079,0,0
15,dart,252,0.50286,0,0,0.67158,1,1
16,dart,1164,0.58215,1,1,0.57988,0,0
17,dart,88,0.29021,0,0,0.78152,1,1
18,dart,123,0.36395,1,1,0.63827,1,1
19,dart,71,0.60991,1,1,0.2914,0,0
20,dart,88,0.34651,0,0,0.34708,0,0
21,dart,88,0.56979,1,1,0.54646,1,1
22,dart,78,0.34,1,0,0.50539,1,1
23,dart,220,0.07037,0,0,0.6291,1,1
24,dart,132,0.33994,0,0,0.42406,0,0
25,dart,559,0.48589,0,0,0.60686,1,1
26,dart,67,0.76951,1,1,0.37801,1,1
27,dart,988,0.65027,0,0,0.5935,1,1
28,dart,78,0.53708,1,1,0.66418,1,0
29,dart,402,0.6177,1,1,0.12716,0,0
30,dart,88,0.58891,1,1,0.63375,1,1
31,dart,85,0.4447,1,1,0.71535,1,1
32,dart,255,0.68878,0,0,0.47704,0,0
33,dart,246,0.5458,1,0,0.65435,0,0
34,dart,381,0.42508,0,0,0.67345,0,0
35,dart,166,0.38337,1,1,0.31899,0,0
36,dart,324,0.49082,0,0,0.30658,0,0
37,dart,82,0.31176,0,0,0.44767,0,0
38,dart,76,0.82414,0,0,0.65017,0,0
39,dart,76,0.60957,0,0,0.44437,0,0
40,dart,69,0.32555,0,0,0.40491,0,0
41,dart,708,0.65004,0,0,0.58459,0,0
