problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.75119,1,1,0.64119,1,1,0.65614,1,0,0.75454,1,1,0.75119,1,1,0.73788,1,0,0.75119,1,1,0.7515,1,1,0.68503,1,1,0.69311,1,0
1,dart,1184,0.68824,0,0,0.70966,1,0,0.72097,0,0,0.69291,0,0,0.68945,1,0,0.70584,1,0,0.68514,1,0,0.69342,1,0,0.64985,1,0,0.70608,1,0
2,dart,301,0.696,1,0,0.60892,0,1,0.67184,0,0,0.58812,1,1,0.49752,0,0,0.56755,0,0,0.51627,1,1,0.67949,1,1,0.649,1,0,0.45029,0,0
3,dart,471,0.74403,1,1,0.65633,1,0,0.65231,1,1,0.5944,0,0,0.74403,1,1,0.6869,1,0,0.68181,1,1,0.69349,1,0,0.61445,1,0,0.64745,1,0
4,dart,611,0.55347,1,1,0.53782,0,0,0.55066,1,1,0.61321,1,1,0.52617,0,0,0.75,0,0,0.6388,0,0,0.53921,1,1,0.5547,1,0,0.5608,0,0
5,dart,564,0.76822,1,1,0.77432,1,1,0.80213,1,1,0.72445,0,0,0.83152,1,0,0.8245,1,1,0.80793,1,0,0.75781,1,1,0.7959,1,1,0.80213,1,1
6,dart,852,0.71327,1,0,0.68588,1,0,0.56609,0,0,0.66742,1,0,0.47339,0,0,0.70301,1,0,0.68917,1,0,0.63212,0,0,0.69357,1,0,0.75,0,0
7,dart,547,0.58591,1,1,0.74185,1,1,0.59913,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.61345,1,1,0.63553,0,0,0.74185,1,1
8,dart,598,0.66919,1,0,0.66179,1,0,0.63615,1,0,0.58122,0,0,0.64172,1,0,0.68639,1,0,0.61053,0,0,0.68705,1,0,0.59197,1,0,0.59458,0,0
9,dart,807,0.65124,0,0,0.61781,1,0,0.63111,1,0,0.65124,0,0,0.63058,1,1,0.65124,0,0,0.62767,1,1,0.61125,1,0,0.64551,0,0,0.66695,1,0
10,dart,798,0.60291,1,0,0.60501,1,0,0.57099,1,0,0.60291,1,0,0.64275,1,0,0.65339,0,0,0.61923,1,0,0.57442,1,0,0.73913,0,0,0.6473,1,0
11,dart,629,0.715,1,1,0.64369,1,0,0.7096,0,0,0.68879,1,1,0.75992,0,0,0.71925,1,1,0.69776,0,0,0.72159,1,1,0.72531,1,0,0.65487,1,0
12,dart,534,0.65087,1,1,0.69828,0,0,0.63414,0,0,0.6112,1,0,0.65151,1,0,0.65777,1,1,0.65655,0,0,0.60202,1,0,0.5917,0,0,0.62998,1,0
13,dart,491,0.7821,1,1,0.64485,1,1,0.74398,1,1,0.74398,1,1,0.74398,1,1,0.74398,1,1,0.66582,1,1,0.73556,1,1,0.74398,1,1,0.74398,1,1
14,dart,381,0.78344,1,1,0.76608,1,1,0.67574,1,0,0.75565,1,1,0.73243,1,1,0.79802,1,0,0.77883,1,1,0.75001,0,0,0.78344,1,1,0.79101,1,1
