problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass,cand_11_codebleu,cand_11_compile,cand_11_pass,cand_12_codebleu,cand_12_compile,cand_12_pass,cand_13_codebleu,cand_13_compile,cand_13_pass,cand_14_codebleu,cand_14_compile,cand_14_pass,cand_15_codebleu,cand_15_compile,cand_15_pass,cand_16_codebleu,cand_16_compile,cand_16_pass,cand_17_codebleu,cand_17_compile,cand_17_pass,cand_18_codebleu,cand_18_compile,cand_18_pass,cand_19_codebleu,cand_19_compile,cand_19_pass,cand_20_codebleu,cand_20_compile,cand_20_pass,cand_21_codebleu,cand_21_compile,cand_21_pass,cand_22_codebleu,cand_22_compile,cand_22_pass,cand_23_codebleu,cand_23_compile,cand_23_pass,cand_24_codebleu,cand_24_compile,cand_24_pass,cand_25_codebleu,cand_25_compile,cand_25_pass
0,dart,628,0.33571,0,0,0.34524,0,0,0.3,0,0,0.33251,0,0,0.28824,0,0,0.33939,0,0,0.25833,0,0,0.28059,0,0,0.2841,0,0,0.34762,0,0,0.36294,0,0,0.34955,0,0,0.34112,0,0,0.31842,0,0,0.32347,0,0,0.30345,0,0,0.29424,0,0,0.34028,0,0,0.34251,0,0,0.31514,0,0,0.26786,0,0,0.35417,0,0,0.25,0,0,0.36239,0,0,0.34823,0,0
1,dart,764,0.26923,0,0,0.31736,0,0,0.27652,0,0,0.3,0,0,0.26923,0,0,0.28587,0,0,0.33982,0,0,0.31471,0,0,0.29471,0,0,0.325,0,0,0.32885,0,0,0.34028,0,0,0.31082,0,0,0.32428,0,0,0.36614,0,0,0.27903,0,0,0.29519,0,0,0.30792,0,0,0.31,0,0,0.27873,0,0,0.26562,0,0,0.32174,0,0,0.3038,0,0,0.34344,0,0,0.2859,0,0
2,dart,1502,0.29654,0,0,0.27786,0,0,0.35556,0,0,0.3303,0,0,0.27277,0,0,0.3625,0,0,0.33226,0,0,0.31316,0,0,0.34375,0,0,0.32143,0,0,0.29257,0,0,0.33448,0,0,0.32976,0,0,0.29722,0,0,0.3,0,0,0.30781,0,0,0.32465,0,0,0.33882,0,0,0.35,0,0,0.38021,0,0,0.25962,0,0,0.28676,0,0,0.27273,0,0,0.31974,0,0,0.3431,0,0
3,dart,491,0.2619,0,0,0.26562,0,0,0.29362,0,0,0.32998,0,0,0.33757,0,0,0.2761,0,0,0.26042,0,0,0.2779,0,0,0.2619,0,0,0.33702,0,0,0.27227,0,0,0.26389,0,0,0.32095,0,0,0.29502,0,0,0.32437,0,0,0.25758,0,0,0.29279,0,0,0.25902,0,0,0.27462,0,0,0.32813,0,0,0.32219,0,0,0.27574,0,0,0.26827,0,0,0.27949,0,0,0.26471,0,0
4,dart,773,0.3125,0,0,0.27778,0,0,0.3,0,0,0.26087,0,0,0.28333,0,0,0.2619,0,0,0.3,0,0,0.26786,0,0,0.4375,0,0,0.28229,0,0,0.325,0,0,0.27083,0,0,0.3,0,0,0.28042,0,0,0.35256,0,0,0.33261,0,0,0.31696,0,0,0.26,0,0,0.3125,0,0,0.28704,0,0,0.26042,0,0,0.30571,0,0,0.37946,0,0,0.34127,0,0,0.27129,0,0
5,dart,1179,0.33333,0,0,0.32778,0,0,0.35263,0,0,0.30051,0,0,0.28056,0,0,0.06753,0,0,0.34167,0,0,0.4,0,0,0.31071,0,0,0.32639,0,0,0.38942,0,0,0.34545,0,0,0.32721,0,0,0.28589,0,0,0.32721,0,0,0.33523,0,0,0.3631,0,0,0.315,0,0,0.37179,0,0,0.3625,0,0,0.38571,0,0,0.30495,0,0,0.28709,0,0,0.35096,0,0,0.43571,0,0
6,dart,491,0.2786,0,0,0.26136,0,0,0.28698,0,0,0.26562,0,0,0.26667,0,0,0.26389,0,0,0.3631,0,0,0.26316,0,0,0.3125,0,0,0.26471,0,0,0.33036,0,0,0.275,0,0,0.3125,0,0,0.3125,0,0,0.28457,0,0,0.3125,0,0,0.27273,0,0,0.29316,0,0,0.275,0,0,0.32387,0,0,0.26087,0,0,0.27328,0,0,0.32273,0,0,0.32002,0,0,0.35,0,0
7,dart,505,0.2733,0,0,0.35803,0,0,0.3125,0,0,0.29059,0,0,0.28125,0,0,0.39583,0,0,0.33983,0,0,0.35431,0,0,0.26087,0,0,0.4125,0,0,0.26087,0,0,0.3234,0,0,0.2619,0,0,0.32523,0,0,0.37505,0,0,0.31582,0,0,0.40283,0,0,0.36936,0,0,0.33591,0,0,0.2709,0,0,0.26923,0,0,0.375,0,0,0.26389,0,0,0.29249,0,0,0.26667,0,0
8,dart,1182,0.19048,0,0,0.11087,0,0,0.12,0,0,0.1,0,0,0.03846,0,0,0.07692,0,0,0.125,0,0,0.04125,0,0,0.14167,0,0,0.04167,0,0,0.11563,0,0,0.14688,0,0,0.12813,0,0,0.05617,0,0,0.1369,0,0,0.03409,0,0,0.1039,0,0,0.125,0,0,0.04412,0,0,0.06818,0,0,0.14167,0,0,0.13409,0,0,0.04688,0,0,0.06832,0,0,0.0,0,0
9,dart,1731,0.33929,0,0,0.29423,0,0,0.39881,0,0,0.33947,0,0,0.29257,0,0,0.28333,0,0,0.26562,0,0,0.30625,0,0,0.26786,0,0,0.27083,0,0,0.26389,0,0,0.28333,0,0,0.26471,0,0,0.32813,0,0,0.36111,0,0,0.45833,0,0,0.26562,0,0,0.29356,0,0,0.32917,0,0,0.32639,0,0,0.26923,0,0,0.2877,0,0,0.32941,0,0,0.32566,0,0,0.28125,0,0
