problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,628,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
1,dart,764,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.375,0,0
2,dart,1502,0.25,0,0,0.25,0,0,0.25,0,0,0.4597,0,0,0.25,0,0
3,dart,491,0.25,0,0,0.25,0,0,0.37636,0,0,0.25,0,0,0.25,0,0
4,dart,773,0.38119,0,0,0.27971,0,0,0.38607,0,0,0.26996,0,0,0.375,0,0
5,dart,1179,0.29269,0,0,0.42846,0,0,0.25194,0,0,0.375,0,0,0.375,0,0
6,dart,491,0.375,0,0,0.25,0,0,0.25,0,0,0.25846,0,0,0.25,0,0
7,dart,505,0.375,0,0,0.25336,0,0,0.38934,0,0,0.3125,0,0,0.25097,0,0
8,dart,1182,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.125,0,0
9,dart,1731,0.38486,0,0,0.39195,0,0,0.375,0,0,0.375,0,0,0.25287,0,0
10,dart,712,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
11,dart,1231,0.25,0,0,0.25,0,0,0.625,0,0,0.25,0,0,0.25,0,0
12,dart,623,0.375,0,0,0.26123,0,0,0.4334,0,0,0.375,0,0,0.37955,0,0
13,dart,602,0.25,0,0,0.38245,0,0,0.25,0,0,0.38245,0,0,0.25,0,0
14,dart,522,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
15,dart,1486,0.25,0,0,0.375,0,0,0.25,0,0,0.25,0,0,0.25,0,0
16,dart,718,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
17,dart,1793,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
18,dart,3211,0.38477,0,0,0.25,0,0,0.3829,0,0,0.3829,0,0,0.25,0,0
19,dart,1514,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
20,dart,1239,0.385,0,0,0.375,0,0,0.38865,0,0,0.38304,0,0,0.385,0,0
21,dart,1155,0.25,0,0,0.3784,0,0,0.25,0,0,0.25,0,0,0.25,0,0
22,dart,1612,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
23,dart,1086,0.25,0,0,0.375,0,0,0.25,0,0,0.25,0,0,0.25,0,0
24,dart,165,0.25,0,0,0.375,0,0,0.25,0,0,0.25,0,0,0.25,0,0
25,dart,516,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
26,dart,408,0.375,0,0,0.375,0,0,0.375,0,0,0.25097,0,0,0.33333,0,0
27,dart,1193,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
28,dart,1580,0.25,0,0,0.25,0,0,0.25,0,0,0.375,0,0,0.25,0,0
29,dart,1518,0.375,0,0,0.39515,0,0,0.38871,0,0,0.4012,0,0,0.45833,0,0
30,dart,1953,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.375,0,0
31,dart,1538,0.39467,0,0,0.25731,0,0,0.3783,0,0,0.36401,0,0,0.28285,0,0
32,dart,1938,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
33,dart,1822,0.37928,0,0,0.25,0,0,0.41644,0,0,0.26405,0,0,0.27179,0,0
34,dart,2127,0.37937,0,0,0.28058,0,0,0.375,0,0,0.3824,0,0,0.25,0,0
35,dart,1773,0.3812,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
36,dart,1979,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
37,dart,2041,0.38479,0,0,0.375,0,0,0.375,0,0,0.4375,0,0,0.26437,0,0
38,dart,2299,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
39,dart,408,0.25,0,0,0.25,0,0,0.37741,0,0,0.25,0,0,0.25,0,0
40,dart,593,0.38185,0,0,0.25,0,0,0.25,0,0,0.25194,0,0,0.25,0,0
41,dart,888,0.40202,0,0,0.37867,0,0,0.375,0,0,0.3834,0,0,0.38582,0,0
42,dart,615,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
43,dart,1795,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.125,0,0
44,dart,2408,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
45,dart,1701,0.375,0,0,0.375,0,0,0.4299,0,0,0.4299,0,0,0.38777,0,0
46,dart,1409,0.31382,0,0,0.39295,0,0,0.39485,0,0,0.28891,0,0,0.26606,0,0
47,dart,664,0.37972,0,0,0.38436,0,0,0.37764,0,0,0.25598,0,0,0.375,0,0
48,dart,868,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
49,dart,1149,0.25,0,0,0.38044,0,0,0.25,0,0,0.25,0,0,0.25,0,0
50,dart,387,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
51,dart,629,0.25,0,0,0.25,0,0,0.375,0,0,0.25,0,0,0.375,0,0
52,dart,652,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
53,dart,625,0.26147,0,0,0.375,0,0,0.25,0,0,0.375,0,0,0.25,0,0
54,dart,2277,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
55,dart,348,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
56,dart,521,0.25,0,0,0.375,0,0,0.25114,0,0,0.26891,0,0,0.27254,0,0
57,dart,1185,0.25,0,0,0.375,0,0,0.25,0,0,0.25,0,0,0.375,0,0
58,dart,754,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
59,dart,383,0.26996,0,0,0.25,0,0,0.375,0,0,0.26881,0,0,0.25194,0,0
60,dart,338,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
61,dart,1156,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.3792,0,0
62,dart,870,0.39583,0,0,0.37635,0,0,0.31683,0,0,0.375,0,0,0.4125,0,0
63,dart,675,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
64,dart,594,0.37837,0,0,0.38559,0,0,0.37954,0,0,0.38284,0,0,0.25448,0,0
65,dart,1274,0.5,0,0,0.375,0,0,0.375,0,0,0.525,0,0,0.2671,0,0
66,dart,523,0.2584,0,0,0.25,0,0,0.25544,0,0,0.33359,0,0,0.26079,0,0
67,dart,882,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
68,dart,1130,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.37843,0,0
69,dart,1179,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
70,dart,1058,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
71,dart,1381,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
72,dart,1241,0.375,0,0,0.25,0,0,0.25,0,0,0.43207,0,0,0.375,0,0
73,dart,381,0.25,0,0,0.375,0,0,0.25,0,0,0.25,0,0,0.25,0,0
74,dart,166,0.28961,0,0,0.42043,0,0,0.25,0,0,0.25595,0,0,0.5,0,0
75,dart,324,0.27192,0,0,0.375,0,0,0.25,0,0,0.375,0,0,0.26316,0,0
76,dart,82,0.33649,0,0,0.25287,0,0,0.25269,0,0,0.37891,0,0,0.25097,0,0
77,dart,76,0.29804,0,0,0.375,0,0,0.38981,0,0,0.25,0,0,0.2839,0,0
78,dart,76,0.37764,0,0,0.26937,0,0,0.37764,0,0,0.375,0,0,0.37764,0,0
79,dart,69,0.25338,0,0,0.375,0,0,0.375,0,0,0.375,0,0,0.375,0,0
80,dart,708,0.25287,0,0,0.45833,0,0,0.31575,0,0,0.28853,0,0,0.39458,0,0
81,dart,200,0.30346,0,0,0.25354,0,0,0.27071,0,0,0.27886,0,0,0.375,0,0
82,dart,942,0.25,0,0,0.25,0,0,0.38706,0,0,0.25,0,0,0.375,0,0
83,dart,287,0.27394,0,0,0.2667,0,0,0.27577,0,0,0.33456,0,0,0.32207,0,0
84,dart,965,0.3125,0,0,0.375,0,0,0.39666,0,0,0.39913,0,0,0.31784,0,0
85,dart,104,0.25,0,0,0.25458,0,0,0.1374,0,0,0.25,0,0,0.25,0,0
86,dart,345,0.39269,0,0,0.33802,0,0,0.25,0,0,0.375,0,0,0.2644,0,0
87,dart,2546,0.25775,0,0,0.38993,0,0,0.40822,0,0,0.38335,0,0,0.2692,0,0
88,dart,329,0.375,0,0,0.375,0,0,0.375,0,0,0.4252,0,0,0.33333,0,0
89,dart,80,0.375,0,0,0.25,0,0,0.25,0,0,0.375,0,0,0.25,0,0
90,dart,439,0.25,0,0,0.37764,0,0,0.37764,0,0,0.25,0,0,0.25,0,0
91,dart,1353,0.41881,0,0,0.26388,0,0,0.29773,0,0,0.32317,0,0,0.30458,0,0
92,dart,219,0.44621,0,0,0.375,0,0,0.26708,0,0,0.27034,0,0,0.26676,0,0
93,dart,237,0.38579,0,0,0.38579,0,0,0.37929,0,0,0.25,0,0,0.38579,0,0
94,dart,1486,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
95,dart,1112,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
96,dart,493,0.25185,0,0,0.28201,0,0,0.3125,0,0,0.37761,0,0,0.25287,0,0
97,dart,780,0.26471,0,0,0.25287,0,0,0.26028,0,0,0.29611,0,0,0.375,0,0
98,dart,214,0.40484,0,0,0.26621,0,0,0.37636,0,0,0.25,0,0,0.25,0,0
99,dart,730,0.27961,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
100,dart,485,0.38163,0,0,0.3815,0,0,0.25194,0,0,0.3125,0,0,0.25,0,0
101,dart,484,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
102,dart,43,0.25,0,0,0.37764,0,0,0.37636,0,0,0.375,0,0,0.37636,0,0
103,dart,43,0.25,0,0,0.375,0,0,0.25,0,0,0.25,0,0,0.25399,0,0
104,dart,419,0.30179,0,0,0.3125,0,0,0.375,0,0,0.375,0,0,0.3125,0,0
105,dart,691,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
106,dart,1238,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.375,0,0
107,dart,1173,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.29735,0,0
108,dart,1076,0.29068,0,0,0.29546,0,0,0.33262,0,0,0.28725,0,0,0.375,0,0
109,dart,3076,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
110,dart,435,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
111,dart,874,0.625,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0
112,dart,2146,0.375,0,0,0.375,0,0,0.29283,0,0,0.25,0,0,0.25,0,0
113,dart,515,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.38174,0,0
114,dart,933,0.375,0,0,0.375,0,0,0.375,0,0,0.25287,0,0,0.40865,0,0
115,dart,86,0.37741,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25342,0,0
116,dart,86,0.375,0,0,0.27083,0,0,0.3779,0,0,0.375,0,0,0.375,0,0
117,dart,265,0.375,0,0,0.25194,0,0,0.26409,0,0,0.2616,0,0,0.38779,0,0
118,dart,432,0.34783,0,0,0.37758,0,0,0.25194,0,0,0.3126,0,0,0.27449,0,0
119,dart,101,0.25606,0,0,0.37972,0,0,0.30555,0,0,0.37741,0,0,0.26236,0,0
120,dart,147,0.37896,0,0,0.38487,0,0,0.38804,0,0,0.25194,0,0,0.38539,0,0
121,dart,4338,0.26762,0,0,0.375,0,0,0.38675,0,0,0.42475,0,0,0.37885,0,0
122,dart,5416,0.40858,0,0,0.44617,0,0,0.375,0,0,0.52877,0,0,0.38522,0,0
123,dart,366,0.375,0,0,0.37742,0,0,0.375,0,0,0.45833,0,0,0.375,0,0
