problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass
0,dart,687,0.7,0,0,0.43796,0,0
1,dart,1184,0.54246,0,0,0.63067,0,0
2,dart,301,0.70905,0,0,0.7315,0,0
3,dart,471,0.63661,0,0,0.66456,0,0
4,dart,611,0.43631,0,0,0.63134,1,1
5,dart,564,0.74488,0,0,0.44842,0,0
6,dart,852,0.70357,0,0,0.62696,0,0
7,dart,547,0.74185,1,1,0.66976,0,1
8,dart,598,0.60158,0,0,0.74938,1,0
9,dart,807,0.50821,1,1,0.68839,0,0
10,dart,798,0.71158,0,0,0.73376,1,0
11,dart,629,0.75001,1,0,0.37864,1,1
12,dart,534,0.38317,0,0,0.59564,1,0
13,dart,491,0.55398,0,0,0.52961,1,1
14,dart,381,0.76105,0,0,0.72028,0,1
15,dart,542,0.47923,0,0,0.78307,1,1
16,dart,319,0.49979,0,1,0.31465,0,0
17,dart,636,0.39749,0,0,0.55647,1,0
18,dart,486,0.7497,1,1,0.65595,1,0
19,dart,702,0.4063,0,0,0.56811,0,0
20,dart,1013,0.56013,0,0,0.68594,0,0
21,dart,701,0.75035,1,1,0.70364,1,1
22,dart,917,0.70029,0,0,0.41534,0,0
24,dart,420,0.64188,1,1,0.61337,0,0
26,dart,565,0.6468,0,0,0.69345,0,0
27,dart,753,0.68169,0,0,0.61085,0,0
28,dart,373,0.70486,0,0,0.63493,0,1
29,dart,671,0.67106,0,1,0.64627,0,1
30,dart,329,0.75442,1,1,0.71825,0,1
31,dart,502,0.52567,1,1,0.63234,0,0
33,dart,616,0.64103,0,0,0.40045,0,0
34,dart,643,0.60395,0,0,0.4928,0,0
35,dart,346,0.66927,1,1,0.62247,0,1
36,dart,448,0.63719,0,0,0.58506,0,0
37,dart,579,0.44645,0,0,0.73498,0,0
39,dart,664,0.64046,0,0,0.59827,0,0
40,dart,607,0.70537,0,0,0.66192,0,1
41,dart,422,0.59581,0,0,0.64569,0,0
42,dart,235,0.63961,0,0,0.38812,0,0
43,dart,528,0.65847,1,1,0.53344,0,0
44,dart,347,0.47962,0,0,0.59511,0,0
45,dart,292,0.68688,0,1,0.70311,0,1
46,dart,657,0.21039,0,0,0.69954,0,0
47,dart,429,0.74267,0,0,0.674,0,0
48,dart,444,0.71021,0,0,0.63095,0,0
49,dart,381,0.36935,0,0,0.54269,0,0
51,dart,540,0.71587,1,1,0.69303,0,1
52,dart,479,0.71722,1,1,0.72415,0,0
53,dart,212,0.44094,0,0,0.75,1,0
54,dart,571,0.63124,1,0,0.54714,0,0
55,dart,474,0.68587,0,0,0.60756,0,0
56,dart,578,0.6125,1,0,0.73607,1,1
57,dart,620,0.65525,0,0,0.66254,0,0
58,dart,425,0.65209,0,0,0.71501,0,0
59,dart,515,0.64699,0,0,0.6458,0,0
60,dart,312,0.69426,0,1,0.58877,0,0
61,dart,578,0.32274,0,1,0.75962,1,1
62,dart,462,0.7475,0,0,0.20341,0,0
63,dart,563,0.50783,1,0,0.55806,1,0
64,dart,836,0.75041,1,0,0.54018,1,0
65,dart,614,0.49278,0,0,0.75004,1,0
66,dart,583,0.60276,0,0,0.65229,0,0
67,dart,519,0.40619,0,0,0.55148,0,0
68,dart,717,0.58419,0,0,0.63095,0,0
69,dart,555,0.66363,0,0,0.52555,0,0
