problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.53209,0,0,0.61661,1,1,0.61761,0,0,0.45803,0,0,0.48003,1,1
1,dart,327,0.70391,0,0,0.7229,0,0,0.72389,0,0,0.67896,0,0,0.63951,0,0
2,dart,90,0.39875,0,0,0.51988,0,0,0.69455,1,1,0.52772,1,1,0.45091,1,1
3,dart,262,0.63919,1,1,0.58546,0,0,0.60241,1,1,0.41403,1,1,0.70098,1,1
4,dart,147,0.57393,0,0,0.52644,0,0,0.60477,1,1,0.6521,0,0,0.60385,0,0
5,dart,117,0.73045,1,1,0.65201,0,0,0.62216,1,1,0.56501,1,1,0.31133,0,0
6,dart,69,0.782,1,1,0.71366,0,0,0.313,0,0,0.68765,0,0,0.08102,0,0
7,dart,152,0.69603,1,1,0.33687,0,0,0.60428,1,1,0.69603,1,1,0.05388,0,0
8,dart,197,0.55408,0,0,0.66289,1,1,0.43475,0,0,0.5988,1,1,0.32321,0,0
9,dart,963,0.62234,0,0,0.68121,1,1,0.733,0,0,0.65621,1,1,0.65781,1,1
10,dart,91,0.39396,0,0,0.53289,0,0,0.44634,0,0,0.50953,0,0,0.28824,0,0
11,dart,271,0.41733,0,0,0.60255,0,0,0.58839,0,0,0.51269,0,0,0.53035,0,0
12,dart,275,0.60907,0,0,0.69099,1,1,0.58959,0,0,0.6752,0,0,0.64851,0,0
13,dart,229,0.66406,1,1,0.63436,1,1,0.45212,0,0,0.68259,1,1,0.67192,0,0
14,dart,250,0.71573,1,1,0.33312,0,0,0.63198,0,0,0.73708,1,1,0.1403,0,0
15,dart,252,0.73236,1,1,0.72538,1,1,0.62869,0,0,0.71616,0,0,0.73604,1,1
16,dart,1164,0.63739,0,0,0.59715,0,0,0.6393,0,0,0.5973,0,0,0.5455,0,0
17,dart,88,0.74823,1,1,0.66727,0,0,0.74823,1,1,0.48575,0,0,0.29808,0,0
18,dart,123,0.47086,1,1,0.29233,0,0,0.41779,0,0,0.51364,1,1,0.41316,0,0
19,dart,71,0.41782,0,0,0.71157,1,1,0.28702,0,0,0.28206,0,0,0.3123,0,0
20,dart,88,0.6947,1,1,0.38055,1,1,0.79022,0,0,0.70086,0,0,0.02807,0,0
21,dart,88,0.43759,0,0,0.49628,0,0,0.36305,1,1,0.57382,0,0,0.41549,0,0
22,dart,78,0.774,1,1,0.69851,1,1,0.75304,1,1,0.35309,0,0,0.31613,0,0
23,dart,220,0.56399,1,1,0.73544,1,1,0.61659,1,0,0.66257,1,1,0.37976,1,0
24,dart,132,0.5774,1,1,0.47008,1,1,0.69127,1,1,0.66143,1,1,0.58271,1,1
25,dart,559,0.72323,0,0,0.67015,1,1,0.53617,0,0,0.51462,0,0,0.65457,1,1
26,dart,67,0.63596,0,0,0.71804,1,1,0.59918,0,0,0.56973,0,0,0.33975,0,0
27,dart,988,0.69023,0,0,0.59719,1,1,0.74375,1,1,0.6224,0,0,0.69489,0,0
28,dart,78,0.72618,0,0,0.56432,0,0,0.78765,1,0,0.62388,0,0,0.39131,1,1
29,dart,402,0.63876,1,1,0.57539,1,1,0.57031,1,1,0.69234,1,0,0.67572,1,1
30,dart,88,0.75583,1,1,0.78147,1,1,0.73893,1,1,0.76589,1,1,0.67511,1,1
31,dart,85,0.35573,0,0,0.69599,1,1,0.61341,1,1,0.52185,1,1,0.71201,1,1
32,dart,255,0.36207,0,0,0.70928,0,0,0.69812,0,0,0.67454,0,0,0.30781,0,0
33,dart,246,0.64626,0,0,0.43594,0,0,0.71707,1,1,0.65955,1,1,0.71268,1,1
34,dart,381,0.72131,0,0,0.65719,0,0,0.64978,0,0,0.6379,0,0,0.43193,0,0
35,dart,166,0.34658,0,0,0.39353,0,0,0.36176,0,0,0.29824,0,0,0.03234,0,0
36,dart,324,0.68268,1,0,0.75017,1,0,0.42097,0,0,0.5881,0,0,0.34241,0,0
37,dart,82,0.42838,0,0,0.72359,1,1,0.32227,0,0,0.59904,1,0,0.29008,0,0
38,dart,76,0.74653,0,0,0.76351,0,0,0.77879,0,0,0.36699,0,0,0.60058,0,0
39,dart,76,0.61222,0,0,0.77879,0,0,0.80605,0,0,0.77879,0,0,0.77879,0,0
40,dart,69,0.54134,0,0,0.55785,0,0,0.57694,0,0,0.57694,0,0,0.52911,0,0
41,dart,708,0.71172,0,0,0.67275,0,0,0.70136,0,0,0.71433,0,0,0.6953,0,0
42,dart,200,0.61596,0,0,0.62629,0,0,0.63026,0,0,0.72785,0,0,0.54924,0,0
43,dart,942,0.43476,1,0,0.48343,0,0,0.50208,0,0,0.50141,1,1,0.49951,0,0
44,dart,287,0.56407,0,0,0.61773,0,0,0.66609,1,0,0.59518,0,0,0.5832,1,0
45,dart,965,0.70906,1,1,0.6541,1,1,0.71917,1,1,0.68563,0,0,0.65357,0,0
46,dart,104,0.16993,1,0,0.18037,1,0,0.14692,1,0,0.03494,0,0,0.16907,0,0
47,dart,345,0.6408,0,0,0.6254,0,0,0.58054,0,0,0.58069,0,0,0.58298,0,0
48,dart,2546,0.70592,0,0,0.64923,0,0,0.69065,0,0,0.68038,0,0,0.65224,0,0
49,dart,329,0.56485,0,0,0.72791,1,1,0.44507,0,0,0.45107,0,0,0.64301,1,1
50,dart,80,0.31279,0,0,0.72548,0,0,0.6781,0,0,0.39465,1,1,0.31227,0,0
51,dart,439,0.51096,0,0,0.4356,0,0,0.5664,0,0,0.51032,0,0,0.04798,0,0
52,dart,1353,0.5025,0,0,0.71329,1,1,0.7125,1,1,0.5632,0,0,0.60609,1,1
53,dart,219,0.78521,1,0,0.49809,0,0,0.54327,0,0,0.82633,1,0,0.58038,0,0
54,dart,237,0.53407,0,0,0.69013,0,0,0.63948,1,0,0.70272,0,0,0.62141,0,0
55,dart,1486,0.64438,0,0,0.65723,0,0,0.65373,0,0,0.58243,0,0,0.66184,0,0
56,dart,1112,0.67825,0,0,0.58818,1,1,0.55874,0,0,0.65488,0,0,0.66105,0,0
57,dart,493,0.5209,0,0,0.50231,0,0,0.38817,1,0,0.58929,1,0,0.61149,1,0
58,dart,780,0.49448,1,1,0.60918,1,1,0.67553,0,0,0.6875,1,1,0.7125,1,1
59,dart,214,0.63754,1,1,0.4588,1,1,0.3513,0,0,0.65668,1,1,0.6416,0,0
60,dart,730,0.71081,0,0,0.75003,0,0,0.76527,0,0,0.73152,1,0,0.76529,0,0
61,dart,485,0.54151,0,0,0.63248,1,0,0.63182,0,0,0.64479,0,0,0.65613,1,0
62,dart,484,0.47812,1,1,0.6477,1,1,0.60597,1,1,0.75,1,1,0.6708,1,1
63,dart,43,0.31887,0,0,0.30795,1,1,0.26943,1,0,0.40125,0,0,0.06382,0,0
64,dart,43,0.39966,0,0,0.1965,1,0,0.36123,1,1,0.49594,0,0,0.0311,0,0
65,dart,419,0.51696,0,0,0.71056,1,0,0.48352,0,0,0.52985,1,0,0.58578,1,0
66,dart,691,0.52674,1,0,0.42869,0,0,0.46758,0,0,0.61276,1,0,0.6875,1,0
67,dart,1238,0.61719,0,0,0.65204,1,0,0.62497,0,0,0.64579,0,0,0.63277,0,0
68,dart,1173,0.66834,0,0,0.52012,0,0,0.58452,0,0,0.70729,1,0,0.61015,0,0
69,dart,1076,0.59466,1,1,0.61272,0,0,0.6152,1,1,0.52417,1,1,0.68542,0,0
70,dart,3076,0.71154,0,0,0.69332,0,0,0.69017,0,0,0.54586,0,0,0.65274,0,0
71,dart,435,0.71251,1,1,0.70833,1,1,0.57058,1,1,0.49396,1,1,0.48223,1,1
72,dart,874,0.55487,0,0,0.5382,0,0,0.59186,1,0,0.65,1,0,0.58398,0,0
73,dart,2146,0.56681,0,0,0.57727,1,0,0.5685,0,0,0.65625,1,0,0.57727,1,0
74,dart,515,0.34092,0,0,0.59805,0,0,0.57683,1,0,0.57617,0,0,0.59529,0,0
75,dart,933,0.62612,0,0,0.66856,0,0,0.55479,0,0,0.51653,0,0,0.53699,0,0
76,dart,86,0.41645,0,0,0.48394,1,0,0.58164,0,0,0.53371,0,0,0.28496,0,0
77,dart,86,0.36022,0,0,0.53225,0,0,0.62814,0,0,0.7516,0,0,0.32075,0,0
78,dart,265,0.73517,0,0,0.44983,0,0,0.57644,0,0,0.55355,0,0,0.71817,0,0
79,dart,432,0.53365,0,0,0.48918,0,0,0.60517,0,0,0.66887,0,0,0.60124,0,0
80,dart,101,0.57973,0,0,0.40216,0,0,0.47367,0,0,0.44531,0,0,0.39763,0,0
81,dart,147,0.32244,0,0,0.34958,0,0,0.54907,0,0,0.60417,0,0,0.65923,0,0
82,dart,4338,0.63987,0,0,0.65476,0,0,0.69167,0,0,0.67107,0,0,0.67295,1,1
83,dart,5416,0.58796,1,0,0.65814,0,0,0.60231,0,0,0.6491,0,0,0.61151,0,0
84,dart,366,0.55567,0,0,0.36099,0,0,0.34915,0,0,0.54838,0,0,0.44024,0,0
85,dart,637,0.60833,0,0,0.5399,0,0,0.54177,0,0,0.37239,0,0,0.60152,0,0
86,dart,21,0.4022,1,0,0.28899,0,0,0.2913,0,0,0.36031,0,0,0.29854,0,0
87,dart,121,0.09914,0,0,0.0872,0,0,0.02207,0,0,0.13521,0,0,0.03458,0,0
88,dart,305,0.48849,0,0,0.62213,1,1,0.6066,0,0,0.53454,0,0,0.63403,0,0
89,dart,528,0.73278,1,1,0.71154,1,1,0.52289,0,0,0.69031,1,1,0.43577,0,0
90,dart,479,0.61181,0,0,0.64632,0,0,0.51731,0,0,0.55264,0,0,0.59538,0,0
91,dart,365,0.74333,0,0,0.39297,0,0,0.74022,0,0,0.67131,0,0,0.5145,0,0
92,dart,148,0.37191,0,0,0.52165,0,0,0.59345,0,0,0.70792,1,0,0.25778,0,0
93,dart,182,0.37462,1,0,0.40667,0,0,0.52469,0,0,0.46225,1,0,0.42862,0,0
94,dart,685,0.55614,0,0,0.6276,0,0,0.66777,0,0,0.56722,1,0,0.56336,0,0
95,dart,1878,0.73077,0,0,0.50183,1,0,0.7125,1,1,0.72115,1,1,0.73868,1,1
96,dart,366,0.53178,0,0,0.70445,0,0,0.71051,0,0,0.58157,1,1,0.61981,0,0
97,dart,358,0.76647,0,0,0.69609,0,0,0.73122,0,0,0.64312,0,0,0.65335,1,0
98,dart,99,0.43703,0,0,0.43806,1,0,0.78529,0,0,0.79691,0,0,0.43063,0,0
99,dart,1024,0.69128,0,0,0.62744,0,0,0.28205,0,0,0.75,0,0,0.65397,0,0
100,dart,632,0.51447,0,0,0.59588,1,1,0.49188,0,0,0.52977,1,1,0.57466,0,0
101,dart,131,0.29566,0,0,0.76344,0,0,0.30268,0,0,0.28113,0,0,0.4452,0,0
102,dart,216,0.64643,0,0,0.28405,0,0,0.509,0,0,0.63772,0,0,0.29111,0,0
103,dart,59,0.61408,1,1,0.39509,1,1,0.7134,1,1,0.26752,0,0,0.26429,0,0
104,dart,159,0.521,1,1,0.49378,0,0,0.42618,0,0,0.45324,0,0,0.54273,0,0
105,dart,196,0.76683,0,0,0.79974,0,0,0.83094,0,0,0.64993,0,0,0.57533,0,0
106,dart,703,0.67203,0,0,0.73143,0,0,0.65121,0,0,0.45181,0,0,0.71322,0,0
107,dart,354,0.4469,0,0,0.70839,0,0,0.67262,1,0,0.59978,1,1,0.49245,0,0
108,dart,224,0.67064,1,0,0.73218,0,0,0.71431,0,0,0.56831,1,0,0.63195,0,0
109,dart,727,0.63662,1,0,0.6528,0,0,0.69345,1,0,0.58101,0,0,0.58835,0,0
110,dart,663,0.69644,1,1,0.59077,0,0,0.56315,1,0,0.49285,0,0,0.57031,1,0
111,dart,1019,0.52573,0,0,0.72,0,0,0.60304,1,0,0.64194,1,1,0.70486,0,0
112,dart,109,0.864,0,0,0.74231,0,0,0.38811,0,0,0.59918,0,0,0.49372,0,0
113,dart,270,0.67309,1,0,0.67145,1,0,0.63556,1,0,0.72453,0,0,0.73304,1,0
114,dart,296,0.65467,1,0,0.51748,0,0,0.58328,0,0,0.46651,0,0,0.51977,0,0
115,dart,374,0.5774,0,0,0.66414,0,0,0.60597,0,0,0.70559,0,0,0.65051,0,0
116,dart,323,0.59624,1,0,0.64871,1,0,0.66704,0,0,0.64534,0,0,0.62614,0,0
117,dart,194,0.49614,1,0,0.47751,0,0,0.42711,0,0,0.68019,0,0,0.4815,1,0
118,dart,426,0.71571,0,0,0.70457,1,0,0.66325,1,0,0.73866,1,0,0.73867,1,0
119,dart,434,0.63935,0,0,0.6701,1,0,0.57379,0,0,0.64036,0,0,0.61119,0,0
120,dart,865,0.6215,0,0,0.61476,0,0,0.61132,0,0,0.70139,0,0,0.60192,0,0
121,dart,263,0.52188,0,0,0.38741,1,1,0.68423,1,1,0.68164,0,0,0.38382,0,0
