problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.70834,1,1,0.45252,0,0,0.62643,1,1,0.71942,1,1,0.45767,0,0
1,dart,327,0.64844,0,0,0.64958,0,0,0.67549,0,0,0.62929,0,0,0.63233,0,0
2,dart,90,0.71401,1,1,0.43016,0,0,0.64546,1,1,0.69455,1,1,0.65333,1,1
3,dart,262,0.56654,1,1,0.55359,1,1,0.6263,1,1,0.66845,1,1,0.6718,1,1
4,dart,147,0.66789,0,0,0.57277,0,0,0.36097,0,0,0.77011,0,0,0.76261,1,1
5,dart,117,0.64846,1,1,0.75747,1,1,0.66034,1,0,0.66699,0,0,0.4313,0,0
6,dart,69,0.56409,0,0,0.67233,0,0,0.52228,0,0,0.34668,0,0,0.35177,0,0
7,dart,152,0.448,0,0,0.35423,0,0,0.69603,1,1,0.72032,1,1,0.28188,0,0
8,dart,197,0.74524,1,1,0.55721,0,0,0.38069,0,0,0.4254,0,0,0.29857,0,0
9,dart,963,0.68565,0,0,0.63045,0,0,0.725,1,1,0.73649,1,0,0.74243,1,1
10,dart,91,0.34464,0,0,0.55921,0,0,0.71519,0,0,0.54675,0,0,0.3446,0,0
11,dart,271,0.62568,0,0,0.75511,0,0,0.71793,0,0,0.68384,0,0,0.74494,0,0
12,dart,275,0.47135,0,0,0.69118,1,1,0.68771,1,1,0.52572,0,0,0.63796,1,1
13,dart,229,0.72983,1,1,0.61187,1,1,0.61423,1,1,0.70833,1,1,0.60955,0,0
14,dart,250,0.57665,0,0,0.68686,0,0,0.66706,0,0,0.60199,0,0,0.32279,0,0
15,dart,252,0.67939,0,0,0.45123,0,0,0.70357,1,1,0.56007,1,1,0.64478,0,0
16,dart,1164,0.64916,0,0,0.63861,1,1,0.63718,0,0,0.56956,0,0,0.67067,1,1
17,dart,88,0.40731,1,1,0.7399,1,1,0.7399,1,1,0.74823,1,1,0.27113,0,0
18,dart,123,0.34241,1,0,0.39917,0,0,0.55197,1,1,0.39943,1,1,0.46954,0,0
19,dart,71,0.7618,0,0,0.73473,1,1,0.84603,1,1,0.44318,0,0,0.30375,0,0
20,dart,88,0.57148,0,0,0.68305,1,1,0.72078,1,1,0.41058,1,1,0.36329,0,0
21,dart,88,0.50502,0,0,0.50259,0,0,0.47824,0,0,0.46179,0,0,0.70941,1,1
22,dart,78,0.66394,1,1,0.7083,0,0,0.35796,1,1,0.74427,1,1,0.09003,0,0
23,dart,220,0.68798,1,1,0.48067,1,1,0.62616,1,1,0.59502,0,0,0.67993,1,1
24,dart,132,0.69671,1,1,0.71744,1,1,0.63191,1,1,0.66957,1,1,0.62498,1,1
25,dart,559,0.65071,1,1,0.498,0,0,0.49875,0,0,0.52722,0,0,0.65201,1,1
26,dart,67,0.68077,1,1,0.4584,1,1,0.70124,1,1,0.7065,1,1,0.06916,0,0
27,dart,988,0.5764,0,0,0.71667,0,0,0.69202,0,0,0.55939,0,0,0.4578,0,0
28,dart,78,0.37383,0,0,0.60242,1,1,0.46195,1,1,0.67459,1,0,0.49861,0,0
29,dart,402,0.5367,1,0,0.57139,1,0,0.61056,0,0,0.66788,1,1,0.71252,1,1
30,dart,88,0.86014,1,1,0.79169,1,1,0.76886,1,1,0.7943,1,1,0.71377,1,1
31,dart,85,0.65666,1,1,0.58445,1,1,0.75307,1,1,0.37903,0,0,0.46418,1,1
32,dart,255,0.59346,0,0,0.55554,0,0,0.46411,0,0,0.39308,0,0,0.69493,0,0
33,dart,246,0.59888,0,0,0.62631,1,1,0.62491,1,0,0.58712,0,0,0.71937,0,0
34,dart,381,0.62103,1,1,0.76819,0,0,0.72066,0,0,0.73853,1,1,0.51924,0,0
35,dart,166,0.36037,0,0,0.48478,0,0,0.32596,0,0,0.43841,0,0,0.46696,0,0
36,dart,324,0.75017,1,0,0.32363,0,0,0.47471,0,0,0.37985,1,0,0.55364,0,0
37,dart,82,0.61594,1,1,0.34705,0,0,0.72359,1,1,0.66689,1,1,0.05353,0,0
38,dart,76,0.76351,0,0,0.77879,0,0,0.77879,0,0,0.57675,0,0,0.60908,0,0
39,dart,76,0.77879,0,0,0.77879,0,0,0.77879,0,0,0.63359,0,0,0.77879,0,0
40,dart,69,0.53587,0,0,0.57694,0,0,0.52911,0,0,0.55785,0,0,0.54464,0,0
41,dart,708,0.6005,0,0,0.68477,0,0,0.71215,0,0,0.7172,0,0,0.68348,0,0
42,dart,200,0.66784,0,0,0.61245,0,0,0.59517,0,0,0.62681,0,0,0.59862,0,0
43,dart,942,0.50482,1,1,0.50863,0,0,0.43735,1,1,0.47917,1,1,0.48582,0,0
44,dart,287,0.42695,0,0,0.3982,0,0,0.51885,0,0,0.59687,0,0,0.44249,0,0
45,dart,965,0.63395,0,0,0.69821,1,1,0.62822,1,1,0.7125,1,1,0.54771,0,0
46,dart,104,0.19488,1,0,0.0648,0,0,0.12921,0,0,0.17696,0,0,0.0946,0,0
47,dart,345,0.39393,0,0,0.60883,0,0,0.43898,0,0,0.60281,0,0,0.3847,0,0
48,dart,2546,0.70948,0,0,0.69476,0,0,0.63643,0,0,0.64714,0,0,0.68168,0,0
49,dart,329,0.69168,1,1,0.64673,1,1,0.65625,0,0,0.38038,0,0,0.38664,0,0
50,dart,80,0.55892,0,0,0.30102,0,0,0.39787,0,0,0.66068,0,0,0.27108,0,0
51,dart,439,0.49718,0,0,0.49049,0,0,0.42392,0,0,0.4971,0,0,0.30485,0,0
52,dart,1353,0.64692,0,0,0.61405,0,0,0.66911,0,0,0.55313,1,0,0.71429,0,0
53,dart,219,0.5532,0,0,0.73307,0,0,0.75836,1,0,0.75836,1,0,0.6558,1,0
54,dart,237,0.67497,0,0,0.66634,0,0,0.63214,1,0,0.64068,0,0,0.63761,0,0
55,dart,1486,0.60604,0,0,0.61408,0,0,0.56122,0,0,0.62134,0,0,0.62356,0,0
56,dart,1112,0.70313,0,0,0.60556,0,0,0.50335,1,1,0.57853,1,0,0.61709,0,0
57,dart,493,0.6,1,1,0.72223,0,0,0.5563,0,0,0.42846,0,0,0.42529,0,0
58,dart,780,0.53513,1,1,0.70676,0,0,0.73611,1,1,0.58292,0,0,0.6875,1,1
59,dart,214,0.39536,1,1,0.38438,0,0,0.721,1,1,0.64011,1,1,0.49974,1,1
60,dart,730,0.72042,1,0,0.71168,0,0,0.7099,1,0,0.76457,0,0,0.76285,1,0
61,dart,485,0.64537,1,0,0.46173,0,0,0.64078,1,0,0.63291,1,1,0.6412,1,0
62,dart,484,0.57322,1,0,0.65549,1,1,0.67256,1,1,0.66653,1,1,0.5457,0,0
63,dart,43,0.4145,1,1,0.26884,0,0,0.27314,0,0,0.27363,0,0,0.27919,0,0
64,dart,43,0.28537,0,0,0.28778,0,0,0.30901,0,0,0.29251,0,0,0.07828,0,0
65,dart,419,0.49333,1,0,0.50881,1,0,0.45973,0,0,0.48539,1,0,0.52965,0,0
66,dart,691,0.52036,1,0,0.6229,1,0,0.69318,1,0,0.55812,0,0,0.51254,1,0
67,dart,1238,0.70455,0,0,0.61112,0,0,0.60189,0,0,0.65277,1,0,0.65,1,0
