problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.75119,1,1,0.74751,0,0,0.73788,1,0,0.59966,0,0,0.73788,1,0,0.70019,1,0,0.73501,1,1,0.75119,1,1,0.75119,1,1,0.75119,1,1
1,dart,1184,0.67459,1,0,0.66286,1,0,0.65154,1,0,0.62904,0,0,0.65798,0,0,0.39315,1,0,0.68509,1,0,0.71909,0,0,0.67687,1,0,0.65716,1,0
2,dart,301,0.70654,0,0,0.69265,0,0,0.58227,1,0,0.696,1,0,0.64126,0,0,0.63982,0,0,0.67762,1,0,0.696,1,0,0.61815,0,0,0.67415,1,0
3,dart,471,0.7288,1,0,0.70159,1,0,0.60351,0,0,0.65862,1,0,0.676,1,0,0.70448,1,0,0.64898,1,0,0.72819,1,0,0.7288,1,0,0.568,1,0
4,dart,611,0.56414,1,1,0.55296,1,0,0.6229,0,0,0.74265,1,1,0.56192,0,0,0.55344,0,0,0.60183,1,1,0.57394,1,1,0.55022,0,0,0.50833,0,0
5,dart,564,0.83407,1,1,0.82579,1,1,0.81242,1,1,0.81242,1,1,0.82209,1,1,0.81165,1,0,0.78483,1,1,0.7846,1,1,0.7846,1,1,0.80213,1,1
6,dart,852,0.65142,0,0,0.61255,1,0,0.69081,1,0,0.60595,1,0,0.69929,1,0,0.66258,1,0,0.65599,1,0,0.5991,0,0,0.606,0,0,0.63451,1,0
7,dart,547,0.62268,0,0,0.74185,1,1,0.59913,1,1,0.61345,1,1,0.74185,1,1,0.61345,1,1,0.61345,1,1,0.58591,1,1,0.74185,1,1,0.61345,1,1
8,dart,598,0.62509,1,0,0.64076,1,0,0.66401,0,0,0.64828,1,0,0.69652,1,0,0.59446,0,0,0.68705,1,0,0.62882,1,0,0.68705,1,0,0.59132,1,0
9,dart,807,0.6223,0,0,0.70712,1,0,0.59845,1,0,0.66591,1,0,0.65124,0,0,0.64221,1,0,0.61896,1,0,0.6966,1,1,0.63144,1,1,0.63148,1,1
10,dart,798,0.60291,1,0,0.5177,1,0,0.65023,0,0,0.61253,1,0,0.58652,1,0,0.63802,1,0,0.71332,1,0,0.74833,1,0,0.68002,1,0,0.64847,1,0
11,dart,629,0.65433,1,1,0.63746,1,1,0.63766,0,0,0.58901,1,0,0.58846,1,1,0.69288,1,1,0.7186,1,1,0.6434,0,0,0.66285,1,1,0.75661,1,1
12,dart,534,0.69955,0,0,0.62514,0,0,0.63334,0,0,0.58028,0,0,0.67343,1,1,0.63536,1,0,0.64748,1,1,0.65127,1,0,0.69812,0,0,0.65077,1,1
13,dart,491,0.73005,1,1,0.73556,1,1,0.74398,1,1,0.7821,1,1,0.73005,1,1,0.74398,1,1,0.74398,1,1,0.7821,1,1,0.73005,1,1,0.72142,1,1
14,dart,381,0.78344,1,1,0.78344,1,1,0.78746,1,1,0.66927,1,1,0.78344,1,1,0.79563,1,1,0.68452,1,1,0.73799,1,1,0.77137,1,1,0.79101,1,1
15,dart,542,0.56707,1,1,0.5911,1,1,0.5236,1,1,0.54161,1,0,0.58987,1,1,0.53023,1,1,0.54954,1,1,0.25433,1,0,0.5886,1,1,0.60681,1,1
16,dart,319,0.59537,1,0,0.57702,0,0,0.60686,1,0,0.56312,1,0,0.54636,1,0,0.59537,1,0,0.59537,1,0,0.56597,0,0,0.60686,1,0,0.73331,0,0
17,dart,636,0.42609,0,0,0.53281,1,0,0.51037,0,0,0.56357,0,0,0.53125,0,0,0.75,0,0,0.53252,0,0,0.53024,0,0,0.75,0,0,0.56385,1,0
18,dart,486,0.76815,1,1,0.69273,1,0,0.78239,1,1,0.69461,1,0,0.75977,1,1,0.78239,1,1,0.78239,1,1,0.66841,1,0,0.67787,1,0,0.72872,1,1
19,dart,702,0.67637,1,0,0.51326,1,0,0.55804,1,0,0.73238,1,0,0.4127,1,1,0.72473,1,0,0.55741,0,0,0.61535,0,0,0.74365,0,0,0.3819,0,0
20,dart,1013,0.57979,0,0,0.53802,0,0,0.70363,1,0,0.57075,1,0,0.64136,1,0,0.63432,0,0,0.63742,0,0,0.62957,1,0,0.67459,0,0,0.59504,0,0
21,dart,701,0.72832,1,1,0.75353,1,1,0.76078,1,1,0.75537,1,1,0.72018,1,1,0.72951,1,1,0.57651,1,1,0.53594,1,1,0.71381,1,1,0.63378,0,0
22,dart,917,0.75002,1,1,0.65007,0,0,0.56152,0,0,0.55934,1,1,0.55934,1,1,0.65007,0,0,0.65007,0,0,0.54409,1,0,0.5971,1,0,0.66483,0,1
24,dart,420,0.63366,1,1,0.69708,1,1,0.60589,1,0,0.71945,1,1,0.58296,1,1,0.66569,1,1,0.67879,1,1,0.6493,1,1,0.61859,1,1,0.68204,1,1
26,dart,565,0.67505,1,0,0.6778,1,0,0.64343,1,0,0.68267,1,0,0.63149,1,0,0.66514,1,0,0.67505,1,0,0.60473,1,0,0.65534,0,0,0.68267,1,0
27,dart,753,0.75,0,0,0.66106,0,0,0.73959,1,1,0.62084,0,0,0.66247,1,0,0.71581,0,0,0.69346,0,1,0.6931,1,0,0.73524,0,0,0.55177,0,0
28,dart,373,0.48958,1,0,0.51535,1,1,0.75029,1,1,0.75063,1,1,0.75063,1,1,0.75063,1,1,0.54089,0,0,0.5625,0,0,0.7155,0,0,0.75063,1,1
29,dart,671,0.58756,1,1,0.73088,0,0,0.60152,1,1,0.73936,1,1,0.73936,1,1,0.72328,1,1,0.58756,1,1,0.60152,1,1,0.73936,1,1,0.73936,1,1
