problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.69123,1,1,0.57448,1,1,0.63166,0,0,0.69299,0,0,0.68198,1,1
1,dart,327,0.63283,0,0,0.67237,0,0,0.53171,0,0,0.62354,0,0,0.70036,1,1
2,dart,90,0.53043,1,1,0.58939,1,1,0.49688,1,0,0.69455,1,1,0.56204,1,1
3,dart,262,0.55373,0,0,0.60077,1,1,0.60124,1,1,0.66215,0,0,0.66258,1,1
4,dart,147,0.77028,1,1,0.61242,0,0,0.66589,0,0,0.77584,0,0,0.72176,0,0
5,dart,117,0.60729,1,1,0.69764,1,1,0.7264,1,1,0.51704,0,0,0.27788,0,0
6,dart,69,0.74084,0,0,0.40272,1,1,0.86334,0,0,0.65976,0,0,0.29543,0,0
7,dart,152,0.7241,1,1,0.71078,1,1,0.7241,1,1,0.69703,0,0,0.35117,0,0
8,dart,197,0.69353,1,1,0.60025,1,1,0.63545,1,1,0.70943,1,1,0.5504,0,0
9,dart,963,0.7125,1,1,0.75,1,1,0.73685,1,1,0.70161,0,0,0.68779,1,1
10,dart,91,0.49303,0,0,0.29799,0,0,0.55611,0,0,0.81949,0,0,0.37695,0,0
11,dart,271,0.71438,1,0,0.55526,0,0,0.69034,1,1,0.78282,0,0,0.6652,1,1
12,dart,275,0.68771,1,1,0.55885,0,0,0.47762,0,0,0.68771,1,1,0.45687,0,0
13,dart,229,0.70833,1,1,0.56346,1,1,0.53448,1,1,0.68225,1,1,0.48849,1,1
14,dart,250,0.70541,1,1,0.34749,0,0,0.73708,1,1,0.62537,0,0,0.56133,0,0
15,dart,252,0.42489,0,0,0.71982,1,1,0.71852,1,1,0.64759,0,0,0.61569,0,0
16,dart,1164,0.6161,0,0,0.63838,0,0,0.55143,0,0,0.51407,0,0,0.53515,0,0
17,dart,88,0.7399,1,1,0.7399,1,1,0.74823,1,1,0.7399,1,1,0.48484,0,0
18,dart,123,0.605,0,0,0.34835,0,0,0.38032,0,0,0.56624,0,0,0.70929,1,1
19,dart,71,0.35859,0,0,0.30578,0,0,0.33072,0,0,0.70638,0,0,0.01334,0,0
20,dart,88,0.74649,0,0,0.6947,1,1,0.6966,1,1,0.41621,0,0,0.35976,0,0
21,dart,88,0.44742,1,1,0.75189,0,0,0.60019,1,1,0.73416,1,1,0.37922,1,1
22,dart,78,0.52785,0,0,0.35332,0,0,0.79161,1,1,0.29977,0,0,0.37344,0,0
23,dart,220,0.70439,1,1,0.713,1,1,0.4765,0,0,0.47926,1,1,0.57604,1,0
24,dart,132,0.68715,1,1,0.59985,0,0,0.61488,1,0,0.49346,1,1,0.58081,1,1
25,dart,559,0.53268,1,0,0.6861,1,1,0.44369,0,0,0.3971,0,0,0.68095,1,1
26,dart,67,0.60169,0,0,0.62905,0,0,0.55635,1,1,0.61135,1,1,0.44927,0,0
27,dart,988,0.71818,1,1,0.62309,0,0,0.68932,0,0,0.59657,1,1,0.61625,0,0
