problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.68805,1,0,0.69183,1,0,0.70359,1,0,0.74144,1,0,0.67187,1,0,0.72703,0,0,0.75213,1,1,0.70019,1,0,0.75119,1,1,0.71738,0,0
1,dart,1184,0.67907,0,0,0.69032,1,0,0.6682,0,0,0.68933,0,0,0.62547,1,0,0.71148,0,0,0.75,0,0,0.69979,1,0,0.7243,0,0,0.75,0,0
2,dart,301,0.52196,1,0,0.60538,0,0,0.69569,1,0,0.50689,0,0,0.69265,0,0,0.56892,0,0,0.67407,1,0,0.46937,0,0,0.67949,1,1,0.63445,0,0
3,dart,471,0.67247,1,0,0.66378,1,1,0.75872,1,1,0.72749,1,1,0.6071,1,0,0.66363,1,1,0.65491,1,0,0.67875,1,0,0.7288,1,0,0.72052,1,0
4,dart,611,0.55994,1,1,0.62607,1,1,0.50616,1,0,0.51314,1,1,0.59442,0,0,0.75,0,0,0.6573,0,0,0.63131,0,0,0.75,0,0,0.57894,0,0
5,dart,564,0.81242,1,1,0.83407,1,1,0.7846,1,1,0.75681,1,0,0.76223,1,1,0.83407,1,1,0.7959,1,1,0.7772,1,1,0.77432,1,1,0.7846,1,1
6,dart,852,0.69251,1,0,0.65531,0,0,0.68912,0,0,0.66719,1,0,0.75,0,0,0.41506,0,0,0.64144,0,0,0.66275,1,0,0.66709,1,0,0.63987,1,0
7,dart,547,0.74185,1,1,0.7368,1,1,0.7368,1,1,0.74185,1,1,0.61391,0,0,0.74185,1,1,0.68287,0,0,0.74185,1,1,0.58591,1,1,0.61345,1,1
8,dart,598,0.65974,1,0,0.62446,0,0,0.70849,1,0,0.60424,0,0,0.59946,1,0,0.62317,1,0,0.65035,0,0,0.61018,1,0,0.57832,1,0,0.6685,1,0
9,dart,807,0.70548,0,0,0.65564,1,1,0.71042,0,0,0.61531,1,1,0.61678,1,0,0.62767,1,1,0.62767,1,1,0.62767,1,1,0.58425,1,0,0.66705,1,1
10,dart,798,0.63213,1,0,0.62421,0,0,0.75015,1,0,0.58751,1,0,0.63264,1,0,0.64668,1,0,0.37358,0,0,0.62312,0,0,0.74349,1,0,0.64115,1,0
