problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.55456,1,1,0.69177,1,1,0.65943,1,1,0.67795,0,0,0.48582,0,0
1,dart,327,0.72389,0,0,0.72325,1,1,0.73803,0,0,0.63951,0,0,0.62025,0,0
2,dart,90,0.49749,1,1,0.47298,1,1,0.58597,1,1,0.37133,0,0,0.60369,0,0
3,dart,262,0.57492,1,1,0.6263,1,1,0.61021,1,1,0.5688,1,1,0.7229,1,1
4,dart,147,0.74616,0,0,0.46991,0,0,0.38488,0,0,0.64315,1,1,0.67323,0,0
5,dart,117,0.68538,0,0,0.71009,1,1,0.69137,0,0,0.54432,0,0,0.38514,0,0
6,dart,69,0.72359,0,0,0.71671,1,1,0.28338,0,0,0.60036,0,0,0.34877,0,0
7,dart,152,0.43915,1,1,0.47818,0,0,0.6903,1,1,0.55171,0,0,0.2857,0,0
8,dart,197,0.53366,0,0,0.53408,0,0,0.69765,1,1,0.62057,0,0,0.38556,0,0
9,dart,963,0.6984,1,1,0.70833,0,0,0.75,1,1,0.70922,1,1,0.6533,1,1
10,dart,91,0.29998,0,0,0.79524,0,0,0.66185,0,0,0.88568,0,0,0.41268,0,0
11,dart,271,0.63844,0,0,0.66474,0,0,0.70632,0,0,0.64018,0,0,0.61534,0,0
12,dart,275,0.62716,1,1,0.52859,0,0,0.53467,1,1,0.68771,1,1,0.57866,0,0
13,dart,229,0.53006,1,1,0.4686,0,0,0.62627,1,1,0.70873,1,1,0.53846,1,1
14,dart,250,0.73421,0,0,0.69192,0,0,0.34352,0,0,0.81561,0,0,0.30664,0,0
15,dart,252,0.66014,1,1,0.33954,0,0,0.73236,1,1,0.73604,1,1,0.37736,0,0
16,dart,1164,0.62876,0,0,0.55219,0,0,0.63577,0,0,0.57553,0,0,0.67792,0,0
17,dart,88,0.53521,0,0,0.74823,1,1,0.59766,0,0,0.38008,0,0,0.30095,0,0
18,dart,123,0.3537,0,0,0.46142,1,1,0.54931,0,0,0.52886,0,0,0.51272,1,1
19,dart,71,0.73473,1,1,0.40737,0,0,0.75485,1,1,0.02475,0,0,0.34248,0,0
20,dart,88,0.53057,0,0,0.46815,0,0,0.37311,0,0,0.68648,0,0,0.53211,1,1
21,dart,88,0.47508,0,0,0.6947,1,1,0.5201,0,0,0.50486,1,1,0.55206,1,1
22,dart,78,0.44606,0,0,0.70018,1,1,0.74427,1,1,0.48197,0,0,0.31247,0,0
23,dart,220,0.58798,0,0,0.5864,1,1,0.73828,0,0,0.42069,0,0,0.3509,0,0
24,dart,132,0.62633,1,1,0.71744,1,1,0.44095,0,0,0.55078,1,1,0.62722,1,1
25,dart,559,0.54407,0,0,0.49418,0,0,0.58243,1,1,0.44502,0,0,0.61075,0,0
26,dart,67,0.40615,1,1,0.44381,1,1,0.47254,1,1,0.72245,1,1,0.33011,0,0
27,dart,988,0.75,0,0,0.71006,0,0,0.69489,0,0,0.70833,0,0,0.71458,0,0
28,dart,78,0.71901,0,0,0.78301,1,0,0.73669,1,1,0.59307,1,1,0.32539,0,0
29,dart,402,0.53922,0,0,0.72928,1,1,0.56655,0,0,0.58359,1,1,0.64047,1,1
30,dart,88,0.74571,1,1,0.83607,1,1,0.62474,1,1,0.77312,1,1,0.71685,1,1
31,dart,85,0.44166,0,0,0.54118,0,0,0.69105,1,1,0.62439,0,0,0.74161,1,1
32,dart,255,0.64179,0,0,0.71104,0,0,0.35219,0,0,0.63261,0,0,0.50305,0,0
33,dart,246,0.70598,1,0,0.60534,1,1,0.6668,1,1,0.65668,1,1,0.68542,1,1
34,dart,381,0.60018,0,0,0.44015,0,0,0.69726,0,0,0.73821,0,0,0.28539,0,0
35,dart,166,0.34729,0,0,0.45963,0,0,0.44154,0,0,0.30802,0,0,0.30991,0,0
36,dart,324,0.58982,0,0,0.40408,0,0,0.72906,0,0,0.52764,1,0,0.40311,0,0
37,dart,82,0.70148,1,1,0.41025,1,1,0.46392,1,1,0.32802,0,0,0.39334,0,0
38,dart,76,0.77879,0,0,0.77879,0,0,0.74653,0,0,0.80605,0,0,0.77879,0,0
39,dart,76,0.74653,0,0,0.80605,0,0,0.66935,0,0,0.77879,0,0,0.77879,0,0
40,dart,69,0.57694,0,0,0.55785,0,0,0.512,0,0,0.55785,0,0,0.55785,0,0
