problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.70506,1,0,0.75119,1,1,0.65365,1,0,0.75119,1,1,0.75119,1,1,0.38833,1,0,0.74144,1,0,0.74669,1,1,0.75039,0,0,0.75119,1,1
1,dart,1184,0.68744,1,0,0.70081,1,0,0.68284,1,0,0.6696,1,0,0.67406,1,0,0.72289,0,0,0.65205,1,0,0.66452,1,0,0.68502,1,0,0.65774,1,0
2,dart,301,0.696,1,0,0.69265,0,0,0.63059,0,0,0.69265,0,0,0.52322,0,0,0.48082,0,0,0.75269,1,1,0.55273,1,1,0.57609,1,1,0.70654,0,0
3,dart,471,0.66402,1,0,0.69601,1,0,0.51749,0,0,0.74403,1,1,0.69523,1,0,0.68133,1,0,0.68818,1,1,0.68053,1,0,0.67855,1,1,0.6939,1,0
4,dart,611,0.68519,0,0,0.52339,1,0,0.60231,1,0,0.55362,0,0,0.5674,1,0,0.54418,1,1,0.57291,1,1,0.57291,1,1,0.73936,1,1,0.73377,1,1
5,dart,564,0.78546,1,1,0.81242,1,1,0.7615,0,0,0.77432,1,1,0.81734,1,0,0.71718,0,0,0.77063,0,0,0.83407,1,1,0.77919,1,1,0.75536,1,0
6,dart,852,0.75,0,0,0.5748,0,0,0.60956,1,0,0.70639,1,0,0.66584,1,0,0.69148,1,0,0.68889,1,0,0.70058,1,0,0.62483,0,0,0.69324,1,0
7,dart,547,0.61345,1,1,0.59273,0,0,0.58591,1,1,0.60666,0,0,0.74185,1,1,0.61345,1,1,0.61345,1,1,0.74185,1,1,0.58591,1,1,0.58591,1,1
8,dart,598,0.57941,0,0,0.59693,1,0,0.68615,1,0,0.64814,0,0,0.57343,1,0,0.63402,1,0,0.57306,0,0,0.60442,1,0,0.59611,1,0,0.68107,1,0
9,dart,807,0.64275,1,0,0.58282,1,0,0.62026,1,0,0.61173,1,1,0.62976,1,1,0.64855,0,0,0.65379,0,0,0.65917,0,0,0.62767,1,1,0.6966,1,1
10,dart,798,0.58218,1,0,0.59841,1,0,0.59263,1,0,0.74349,1,0,0.69178,1,0,0.57946,1,0,0.61705,0,0,0.74682,1,0,0.61923,1,0,0.74349,1,0
11,dart,629,0.66713,1,1,0.69541,1,1,0.69469,1,1,0.6697,1,1,0.73541,1,1,0.67363,0,0,0.72343,1,1,0.76993,1,1,0.68452,0,0,0.70661,1,0
12,dart,534,0.73571,1,0,0.65251,1,0,0.65151,1,0,0.7015,1,1,0.7054,1,1,0.61843,0,0,0.61178,1,0,0.32334,0,0,0.60642,1,0,0.62197,0,0
13,dart,491,0.65292,1,1,0.64485,1,1,0.7821,1,1,0.74398,1,1,0.66393,1,1,0.76934,1,1,0.74398,1,1,0.74398,1,1,0.7821,1,1,0.74398,1,1
14,dart,381,0.76737,1,1,0.78344,1,1,0.79101,1,1,0.79101,1,1,0.77216,1,0,0.79101,1,1,0.74057,1,1,0.78344,1,1,0.75013,1,1,0.78344,1,1
15,dart,542,0.5886,1,0,0.60248,1,1,0.60035,1,1,0.50883,1,0,0.60248,1,1,0.55367,1,1,0.60243,1,1,0.60248,1,1,0.57219,1,1,0.53023,1,1
16,dart,319,0.7333,0,0,0.57131,1,0,0.70997,1,0,0.55333,0,0,0.57475,0,0,0.7384,0,0,0.55784,0,0,0.6113,1,0,0.59537,1,0,0.54019,0,0
17,dart,636,0.5059,1,0,0.74736,1,0,0.53226,0,0,0.51929,0,0,0.75,0,0,0.46928,1,0,0.54927,1,0,0.579,1,1,0.52241,1,0,0.75,0,0
18,dart,486,0.78239,1,1,0.78239,1,1,0.70041,1,0,0.76815,1,1,0.66716,1,0,0.78239,1,1,0.78239,1,1,0.72875,0,1,0.74812,0,1,0.78239,1,1
19,dart,702,0.73239,1,0,0.58504,0,0,0.51013,1,0,0.44964,1,0,0.55994,0,0,0.59231,0,0,0.683,0,0,0.71429,0,0,0.52386,1,0,0.54491,1,0
20,dart,1013,0.65641,1,0,0.67488,0,0,0.46194,0,0,0.6255,0,0,0.67856,0,0,0.61511,0,0,0.57196,1,0,0.65916,1,0,0.65803,1,0,0.43936,1,0
