problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.61177,1,1,0.52688,0,0,0.60335,0,0,0.62948,0,0,0.57552,0,0
1,dart,327,0.72325,1,1,0.68955,0,0,0.73049,1,1,0.63467,0,0,0.7223,0,0
2,dart,90,0.50566,0,0,0.61246,0,0,0.52765,1,1,0.64124,1,1,0.52061,1,1
3,dart,262,0.73345,0,0,0.60109,1,1,0.72652,1,1,0.70098,1,1,0.63736,1,1
4,dart,147,0.62532,1,1,0.65189,0,0,0.56938,0,0,0.67108,1,0,0.64708,0,0
5,dart,117,0.69764,1,1,0.45694,0,0,0.63392,1,1,0.53141,0,0,0.40696,0,0
6,dart,69,0.78423,1,1,0.8164,0,0,0.78423,1,1,0.782,1,1,0.4944,0,0
7,dart,152,0.51489,1,1,0.70047,1,1,0.69603,1,1,0.42182,0,0,0.375,0,0
8,dart,197,0.66339,1,1,0.66866,1,1,0.4195,1,1,0.66893,1,1,0.07391,0,0
9,dart,963,0.70131,0,0,0.73333,1,1,0.65625,0,0,0.72616,0,0,0.57204,1,0
10,dart,91,0.57662,0,0,0.72428,1,1,0.4861,1,1,0.85651,0,0,0.30625,0,0
11,dart,271,0.634,1,1,0.53054,0,0,0.75526,0,0,0.77136,0,0,0.70834,1,1
12,dart,275,0.61535,0,0,0.473,0,0,0.60573,0,0,0.71279,1,1,0.71072,1,1
13,dart,229,0.73568,1,1,0.50718,0,0,0.56805,0,0,0.48337,0,0,0.47877,1,1
14,dart,250,0.61546,0,0,0.61562,0,0,0.62292,0,0,0.71073,0,0,0.39219,0,0
15,dart,252,0.44171,0,0,0.59709,1,1,0.44051,0,0,0.55992,0,0,0.46943,0,0
16,dart,1164,0.61789,0,0,0.59712,0,0,0.48066,1,0,0.67015,1,1,0.59462,0,0
17,dart,88,0.37739,0,0,0.7247,0,0,0.63702,1,1,0.74823,1,1,0.4518,0,0
18,dart,123,0.17819,0,0,0.41296,1,0,0.70929,1,1,0.68656,1,1,0.32351,0,0
19,dart,71,0.47801,0,0,0.70638,0,0,0.81636,1,1,0.71671,1,1,0.27963,0,0
20,dart,88,0.61125,0,0,0.61371,1,1,0.68836,1,1,0.70298,1,1,0.05598,0,0
21,dart,88,0.3416,0,0,0.45999,0,0,0.59138,1,1,0.36066,1,1,0.6947,1,1
22,dart,78,0.66847,1,1,0.35591,0,0,0.74427,1,1,0.4926,0,0,0.37101,0,0
23,dart,220,0.62309,1,1,0.67144,1,1,0.73161,1,1,0.46861,0,0,0.53341,1,0
24,dart,132,0.63359,0,0,0.54134,1,1,0.54961,1,1,0.73749,1,1,0.48595,1,1
25,dart,559,0.52687,0,0,0.62872,1,1,0.62638,1,1,0.75,1,1,0.6092,1,1
26,dart,67,0.37664,0,0,0.67629,1,1,0.58829,0,0,0.6721,0,0,0.48016,0,0
27,dart,988,0.56129,0,0,0.6143,0,0,0.69202,0,0,0.51664,1,1,0.68833,0,0
28,dart,78,0.48273,0,0,0.68115,1,1,0.54848,0,0,0.62815,0,0,0.35503,0,0
29,dart,402,0.72462,1,1,0.63672,1,1,0.72928,1,1,0.66457,0,0,0.55821,1,0
30,dart,88,0.74673,1,1,0.66251,1,1,0.83607,1,1,0.73101,1,1,0.71618,0,0
31,dart,85,0.77846,1,1,0.41713,0,0,0.65536,1,1,0.72687,1,1,0.42532,1,1
32,dart,255,0.60535,0,0,0.66466,0,0,0.6473,0,0,0.72896,0,0,0.69307,0,0
33,dart,246,0.65833,0,0,0.73334,1,1,0.68764,1,1,0.71268,1,1,0.71707,1,1
34,dart,381,0.67732,0,0,0.60622,0,0,0.62796,0,0,0.65995,1,1,0.375,1,0
35,dart,166,0.37898,0,0,0.37172,0,0,0.50769,0,0,0.33499,0,0,0.40695,0,0
36,dart,324,0.69616,1,0,0.45384,0,0,0.37795,1,0,0.53113,1,0,0.28013,0,0
37,dart,82,0.36787,0,0,0.47288,1,1,0.40362,1,1,0.33542,1,0,0.09646,0,0
38,dart,76,0.77879,0,0,0.77879,0,0,0.61656,0,0,0.77879,0,0,0.77879,0,0
39,dart,76,0.61656,0,0,0.80605,0,0,0.77879,0,0,0.77879,0,0,0.74653,0,0
40,dart,69,0.57694,0,0,0.54625,0,0,0.54464,0,0,0.57694,0,0,0.54011,0,0
41,dart,708,0.68482,0,0,0.6862,0,0,0.54638,0,0,0.6847,0,0,0.72,0,0
42,dart,200,0.75871,0,0,0.60278,0,0,0.66312,0,0,0.64244,0,0,0.6555,0,0
43,dart,942,0.43483,0,0,0.50194,0,0,0.44029,0,0,0.51731,0,0,0.42643,0,0
44,dart,287,0.56328,1,0,0.54758,0,0,0.54476,0,0,0.57768,1,0,0.54253,1,0
45,dart,965,0.63078,1,1,0.26261,0,0,0.67544,1,1,0.52981,0,0,0.56946,0,0
46,dart,104,0.1868,1,0,0.12917,1,0,0.05765,0,0,0.16086,1,0,0.03873,0,0
47,dart,345,0.48238,0,0,0.50502,0,0,0.59241,0,0,0.55497,0,0,0.63139,0,0
48,dart,2546,0.70608,1,1,0.60861,0,0,0.6536,0,0,0.66388,1,1,0.68385,0,0
49,dart,329,0.65669,1,1,0.57224,0,0,0.50998,0,0,0.62126,1,0,0.66588,1,1
50,dart,80,0.3263,0,0,0.32463,0,0,0.4115,0,0,0.49243,0,0,0.39401,0,0
51,dart,439,0.62505,0,0,0.51677,0,0,0.54337,0,0,0.44233,0,0,0.36099,0,0
52,dart,1353,0.5797,1,1,0.50987,1,1,0.60483,1,1,0.66617,0,0,0.6336,0,0
53,dart,219,0.78521,1,0,0.64752,0,0,0.77297,0,0,0.74978,1,0,0.62648,0,0
54,dart,237,0.58215,0,0,0.72235,0,0,0.68578,0,0,0.54646,0,0,0.49477,0,0
55,dart,1486,0.57726,0,0,0.68223,0,0,0.486,0,0,0.53037,0,0,0.65512,1,0
56,dart,1112,0.666,0,0,0.67886,0,0,0.52419,0,0,0.59845,0,0,0.5372,1,1
57,dart,493,0.47818,0,0,0.51267,0,0,0.48839,0,0,0.54652,1,0,0.5036,0,0
58,dart,780,0.60612,0,0,0.5716,0,0,0.49976,1,1,0.60915,0,0,0.65117,0,0
