problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.73788,1,0,0.70019,1,0,0.75454,1,1,0.75119,1,1,0.73788,1,0,0.75119,1,1,0.69311,1,0,0.75119,1,1,0.74259,1,0,0.65658,1,0
1,dart,1184,0.68752,1,0,0.69085,1,0,0.52582,0,0,0.61487,1,0,0.70889,1,0,0.67916,1,0,0.67538,0,0,0.68108,1,0,0.71872,0,0,0.67797,1,0
2,dart,301,0.73727,0,0,0.71055,1,1,0.61984,1,0,0.58993,0,0,0.44587,0,0,0.54138,1,0,0.56215,0,0,0.68968,1,0,0.47339,0,0,0.5232,1,0
3,dart,471,0.73675,1,0,0.71777,1,0,0.68796,1,0,0.69798,1,1,0.61835,1,0,0.65944,1,1,0.6732,1,0,0.6802,1,0,0.65946,1,0,0.68773,1,0
4,dart,611,0.60231,1,0,0.56483,1,1,0.54801,0,0,0.57157,1,0,0.63579,1,1,0.56259,1,1,0.64588,1,0,0.49822,1,1,0.61215,0,0,0.53229,1,1
5,dart,564,0.78557,1,1,0.80867,1,1,0.82366,1,1,0.7348,1,1,0.77432,1,1,0.74061,1,0,0.83407,1,1,0.82366,1,1,0.77663,1,1,0.788,1,1
6,dart,852,0.70041,1,0,0.63386,1,0,0.71195,1,0,0.61614,1,0,0.75,0,0,0.64361,1,0,0.67151,1,0,0.71446,1,0,0.6433,1,0,0.67198,0,0
7,dart,547,0.61345,1,1,0.59913,1,1,0.74185,1,1,0.67293,0,1,0.74185,1,1,0.59913,1,1,0.74185,1,1,0.54827,0,0,0.61345,1,1,0.74185,1,1
8,dart,598,0.56114,1,0,0.63527,1,0,0.60389,0,0,0.68639,1,0,0.43672,0,0,0.56297,1,0,0.64807,1,0,0.63903,0,0,0.67487,1,0,0.64975,0,0
9,dart,807,0.59263,1,0,0.63383,1,1,0.62976,1,1,0.59637,1,0,0.65859,1,1,0.71501,1,1,0.65124,0,0,0.60588,1,0,0.69327,0,0,0.62767,1,1
10,dart,798,0.65764,1,0,0.60291,1,0,0.66667,1,0,0.74789,1,0,0.7167,1,0,0.7096,1,0,0.60291,1,0,0.66327,1,0,0.63449,1,0,0.64936,1,0
11,dart,629,0.60053,0,0,0.55155,0,0,0.68112,1,1,0.6911,0,0,0.72343,1,1,0.71789,1,0,0.68702,1,1,0.65748,1,1,0.68991,1,1,0.61098,1,0
12,dart,534,0.64772,0,0,0.73354,1,1,0.65699,1,1,0.62896,1,1,0.60102,0,0,0.58115,0,0,0.66675,0,0,0.65072,1,1,0.58817,0,0,0.66213,1,0
13,dart,491,0.74398,1,1,0.7821,1,1,0.58761,1,1,0.66655,1,1,0.74398,1,1,0.72142,1,1,0.7821,1,1,0.7821,1,1,0.7821,1,1,0.64697,1,1
14,dart,381,0.75001,0,0,0.75689,0,0,0.75299,0,0,0.79101,1,1,0.70413,1,1,0.76737,1,1,0.75001,0,0,0.78344,1,1,0.74204,1,0,0.71857,0,0
15,dart,542,0.57742,1,1,0.54687,1,1,0.51885,1,0,0.55154,1,1,0.5886,1,0,0.66705,1,0,0.5886,1,0,0.57325,1,0,0.60248,1,1,0.60681,1,1
16,dart,319,0.76251,1,0,0.5396,1,0,0.48925,1,0,0.53862,1,0,0.51277,0,0,0.59237,0,0,0.55197,1,0,0.75327,1,0,0.73331,0,0,0.62542,1,0
17,dart,636,0.75,0,0,0.50172,0,0,0.51274,0,0,0.54039,0,0,0.58236,1,0,0.56468,0,0,0.51238,1,0,0.75,0,0,0.48087,0,0,0.45277,1,0
18,dart,486,0.69327,1,0,0.75977,1,1,0.69882,1,0,0.69746,1,0,0.65272,1,1,0.71169,1,0,0.75977,1,1,0.67167,0,0,0.75977,1,1,0.69688,1,0
19,dart,702,0.53264,1,0,0.52033,0,0,0.54685,1,0,0.57351,1,0,0.58932,0,0,0.73987,1,0,0.53646,1,0,0.73477,1,0,0.35748,0,0,0.60683,0,0
20,dart,1013,0.634,1,0,0.58992,1,0,0.56368,0,0,0.631,0,0,0.63305,0,0,0.63258,0,0,0.59202,0,0,0.67873,0,0,0.58873,0,0,0.61781,0,0
21,dart,701,0.74537,1,1,0.7327,1,1,0.74605,1,1,0.7195,1,1,0.54738,1,1,0.5985,1,1,0.69024,1,1,0.77936,1,1,0.74155,1,1,0.54092,1,0
22,dart,917,0.59743,1,1,0.65007,0,0,0.75002,1,1,0.56449,0,1,0.73788,1,1,0.75002,1,1,0.65007,0,0,0.75002,1,1,0.59997,0,0,0.75002,1,1
24,dart,420,0.74006,1,1,0.72326,0,0,0.62883,1,1,0.64671,0,0,0.63544,1,1,0.63438,1,0,0.67386,0,0,0.72176,1,0,0.7037,1,0,0.667,1,1
26,dart,565,0.66597,1,0,0.68267,1,0,0.67505,1,0,0.64917,1,0,0.67505,1,0,0.60381,1,0,0.64747,1,0,0.68267,1,0,0.75,0,0,0.65419,1,0
27,dart,753,0.67892,0,0,0.73959,1,1,0.71043,1,0,0.58811,0,0,0.71163,0,0,0.73959,1,1,0.4461,1,0,0.68371,1,0,0.72773,1,0,0.74104,1,1
28,dart,373,0.63302,0,1,0.75068,1,1,0.63302,0,1,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.51578,0,0,0.75063,1,1,0.52419,0,0,0.71006,1,1
29,dart,671,0.73936,1,1,0.60152,1,1,0.66916,0,1,0.60152,1,1,0.60152,1,1,0.73936,1,1,0.73936,1,1,0.60152,1,1,0.60152,1,1,0.60152,1,1
30,dart,329,0.57266,1,1,0.58836,1,1,0.69174,0,1,0.58836,1,1,0.56068,1,1,0.58836,1,1,0.69174,0,1,0.6032,1,1,0.58621,0,0,0.58836,1,1
31,dart,502,0.73226,1,1,0.73235,1,1,0.73235,1,1,0.73235,1,1,0.64341,1,0,0.72257,1,1,0.70478,0,0,0.73235,1,1,0.65864,0,0,0.73226,1,1
33,dart,616,0.68133,1,0,0.7158,1,0,0.62484,1,0,0.70346,0,0,0.60487,0,0,0.75002,1,0,0.6888,1,0,0.69075,1,0,0.66124,0,0,0.56109,1,0
34,dart,643,0.59503,1,0,0.59503,1,0,0.75,0,0,0.59503,1,0,0.51393,0,0,0.58727,1,0,0.58842,1,0,0.59503,1,0,0.5908,0,0,0.64754,0,0
35,dart,346,0.65704,1,1,0.66479,1,1,0.64333,1,1,0.66479,1,1,0.6511,1,1,0.56312,1,0,0.59951,0,0,0.67566,0,0,0.64333,1,1,0.6511,1,1
36,dart,448,0.69989,1,0,0.72048,1,0,0.65989,1,0,0.6926,1,0,0.66493,1,0,0.68087,1,0,0.63861,1,0,0.66837,1,0,0.71777,1,0,0.6935,1,0
37,dart,579,0.74734,1,0,0.69286,1,0,0.74238,1,0,0.73488,0,0,0.73853,1,0,0.68232,0,0,0.71565,1,0,0.75942,1,0,0.71983,1,0,0.72982,1,0
39,dart,664,0.73988,0,0,0.66609,0,0,0.65112,0,0,0.6009,0,0,0.70502,0,0,0.70999,1,0,0.64965,0,0,0.62964,0,0,0.64112,0,0,0.67757,1,0
40,dart,607,0.75,0,0,0.78488,1,0,0.78092,1,1,0.81458,1,1,0.7697,1,1,0.77916,1,0,0.80186,1,1,0.7837,1,1,0.71336,1,1,0.76029,1,1
41,dart,422,0.45868,0,0,0.55908,0,0,0.69453,1,0,0.4747,1,0,0.48644,1,0,0.72509,1,1,0.43225,0,0,0.48904,1,0,0.69287,1,0,0.72509,1,1
42,dart,235,0.42064,1,0,0.51711,1,0,0.68198,1,1,0.56498,1,0,0.64333,1,1,0.48284,1,0,0.51872,1,0,0.67893,1,1,0.56616,1,0,0.5221,1,0
43,dart,528,0.79874,1,1,0.71328,1,0,0.77373,1,1,0.77397,1,1,0.69408,1,1,0.79938,1,1,0.70086,1,0,0.63843,1,1,0.70466,1,1,0.65692,1,1
44,dart,347,0.67521,0,0,0.74912,1,1,0.67753,1,1,0.69241,0,0,0.65272,0,0,0.78444,1,1,0.64104,1,1,0.49935,1,0,0.48429,0,0,0.6791,1,1
45,dart,292,0.73879,1,1,0.71978,1,1,0.68385,1,1,0.73879,1,1,0.70534,1,1,0.71978,1,1,0.71978,1,1,0.73879,1,1,0.71978,1,1,0.72509,1,1
46,dart,657,0.62336,0,0,0.69102,1,0,0.67285,0,0,0.70352,1,0,0.60682,1,0,0.64451,1,0,0.70036,1,0,0.42275,1,0,0.6568,1,0,0.62851,0,0
47,dart,429,0.76009,1,0,0.71094,0,0,0.76509,0,0,0.67603,0,0,0.75564,0,0,0.75702,0,0,0.74515,0,0,0.71971,0,0,0.73613,0,0,0.78734,0,0
48,dart,444,0.61199,1,1,0.67868,1,1,0.61199,1,1,0.40705,1,1,0.74739,1,1,0.77056,1,1,0.72033,1,1,0.72292,1,1,0.68639,1,1,0.72033,1,1
49,dart,381,0.65274,1,0,0.58971,1,0,0.70377,1,0,0.54336,1,0,0.48523,0,0,0.5738,1,0,0.54568,0,0,0.60129,0,0,0.62169,0,0,0.70235,1,0
51,dart,540,0.61745,1,1,0.58698,1,0,0.72517,1,1,0.74952,1,0,0.72517,1,1,0.71795,1,1,0.72517,1,1,0.71795,1,1,0.72524,0,1,0.72517,1,1
52,dart,479,0.51016,1,0,0.42008,0,0,0.63067,1,0,0.5174,1,0,0.59801,0,0,0.53178,0,0,0.62834,0,0,0.63016,1,0,0.59447,1,0,0.54875,0,0
53,dart,212,0.73581,1,1,0.64082,0,0,0.75458,1,1,0.70859,1,1,0.73092,1,1,0.75458,1,1,0.73581,1,1,0.75458,1,1,0.75458,1,1,0.73581,1,1
54,dart,571,0.54126,0,0,0.67879,1,1,0.60131,1,0,0.70789,0,0,0.66947,1,0,0.54971,1,0,0.50593,1,0,0.65937,1,0,0.72324,1,0,0.51125,1,0
55,dart,474,0.57053,0,0,0.55911,1,0,0.52722,0,0,0.50424,1,1,0.51154,1,0,0.54791,1,0,0.65497,0,0,0.52682,1,1,0.54124,1,0,0.49341,1,0
56,dart,578,0.71639,1,0,0.7297,1,1,0.72955,1,1,0.73721,1,1,0.74721,1,0,0.72007,1,1,0.70816,1,1,0.72708,1,1,0.69492,1,1,0.73438,1,1
57,dart,620,0.75061,0,0,0.68117,0,0,0.74002,0,0,0.6742,0,0,0.65691,1,1,0.6955,0,0,0.70545,1,0,0.73914,0,0,0.68272,1,0,0.65161,1,0
58,dart,425,0.64426,1,0,0.68475,1,0,0.65431,1,0,0.70812,1,0,0.66777,0,0,0.68915,1,0,0.60522,1,0,0.59619,0,0,0.6848,1,0,0.67525,1,0
59,dart,515,0.68648,1,1,0.6155,0,0,0.66886,0,0,0.63257,0,0,0.67969,1,1,0.67642,0,0,0.75192,0,1,0.6118,0,0,0.74387,0,1,0.66886,0,0
60,dart,312,0.58881,1,1,0.58881,1,1,0.769,1,1,0.57892,1,1,0.57892,1,1,0.57745,1,1,0.58221,0,0,0.57892,1,1,0.57892,1,1,0.57892,1,1
61,dart,578,0.72251,1,1,0.71536,1,1,0.70563,1,1,0.74295,1,1,0.7278,1,1,0.73976,1,1,0.73699,1,1,0.74624,1,1,0.75242,1,1,0.71219,1,1
62,dart,462,0.75445,1,0,0.66357,1,0,0.66025,1,0,0.5869,1,0,0.71753,0,0,0.66757,0,0,0.72269,1,0,0.61348,0,0,0.66955,0,0,0.75008,1,0
63,dart,563,0.54241,1,0,0.563,1,0,0.56377,1,0,0.56248,1,0,0.50982,1,0,0.54264,1,0,0.7031,1,0,0.56652,1,0,0.55599,1,0,0.6076,1,0
64,dart,836,0.6654,1,0,0.61547,1,0,0.6654,1,0,0.65472,1,0,0.62855,1,0,0.65464,1,0,0.64185,1,0,0.63999,0,0,0.71778,1,0,0.63438,1,0
65,dart,614,0.58922,1,0,0.64099,0,0,0.6607,1,0,0.62613,1,0,0.59418,0,0,0.73903,0,0,0.67417,0,0,0.59221,0,0,0.61214,1,0,0.70529,0,0
66,dart,583,0.66754,0,0,0.66988,1,0,0.64185,0,0,0.58895,0,0,0.67014,0,0,0.58619,1,0,0.70371,1,0,0.64957,0,0,0.65829,0,0,0.69752,1,0
67,dart,519,0.66589,1,0,0.47082,0,0,0.60085,1,0,0.57248,1,0,0.65136,0,0,0.71875,0,0,0.61704,0,0,0.67197,0,0,0.71875,0,0,0.69823,1,0
68,dart,717,0.7429,1,0,0.59255,0,0,0.5868,1,0,0.55284,0,0,0.63637,1,0,0.58062,1,0,0.58111,1,0,0.55904,1,0,0.59167,1,0,0.55185,1,0
69,dart,555,0.72749,1,0,0.70925,1,0,0.7128,0,0,0.69594,1,0,0.64782,1,0,0.63569,1,0,0.67605,1,0,0.67867,0,0,0.63131,1,0,0.61832,1,0
70,dart,861,0.60204,1,0,0.64343,1,0,0.66009,0,0,0.61894,1,0,0.65708,1,0,0.64654,1,0,0.62077,1,0,0.57666,1,0,0.71687,1,0,0.57868,0,0
71,dart,433,0.69485,0,0,0.73305,0,0,0.83678,0,0,0.75001,0,0,0.77762,0,0,0.69674,0,0,0.84387,0,0,0.71886,0,0,0.79081,0,0,0.82795,0,0
72,dart,511,0.70467,1,0,0.68745,1,0,0.63807,1,0,0.76091,1,0,0.66702,1,0,0.75097,1,0,0.62188,0,0,0.65772,0,0,0.67058,0,0,0.70148,1,0
73,dart,424,0.69814,1,0,0.66264,1,0,0.47614,1,0,0.66263,1,0,0.66851,1,0,0.591,1,0,0.63361,1,0,0.62777,0,0,0.63629,1,0,0.48416,0,0
74,dart,607,0.65386,0,0,0.52213,1,0,0.55327,0,0,0.72728,0,0,0.61917,1,0,0.6142,1,0,0.72728,0,0,0.60271,0,0,0.57045,0,0,0.64109,1,0
75,dart,777,0.6911,0,0,0.68358,0,0,0.71311,0,0,0.63676,0,0,0.37461,0,0,0.66297,1,0,0.72447,1,0,0.69214,1,0,0.70556,1,0,0.68561,0,0
76,dart,488,0.57161,0,0,0.55865,0,0,0.55131,0,0,0.54713,0,0,0.74098,0,0,0.63389,0,0,0.59038,0,0,0.62698,0,0,0.5698,0,0,0.58419,0,0
77,dart,418,0.55587,1,0,0.48255,0,0,0.62326,0,0,0.62398,0,0,0.60826,0,0,0.72558,0,0,0.56914,1,0,0.56331,0,0,0.57523,0,0,0.61474,0,0
78,dart,527,0.62431,1,0,0.68124,1,0,0.53875,0,0,0.61488,1,0,0.63053,0,0,0.62319,0,0,0.60292,0,0,0.53123,0,0,0.52947,0,0,0.60217,0,0
79,dart,462,0.4977,0,0,0.52452,0,0,0.68348,0,0,0.55359,1,0,0.75001,0,0,0.48752,0,0,0.45868,0,0,0.50237,0,0,0.48931,0,0,0.48114,0,0
80,dart,542,0.62725,0,0,0.70374,1,0,0.693,1,0,0.66337,0,0,0.69357,1,0,0.69142,0,0,0.75,0,0,0.68461,1,0,0.69699,1,0,0.48683,0,0
81,dart,1323,0.71332,1,0,0.58352,0,0,0.7054,1,0,0.72432,1,0,0.77112,1,0,0.77485,1,0,0.77266,1,0,0.68009,1,0,0.78019,1,0,0.70229,1,0
82,dart,663,0.70715,0,0,0.67745,1,0,0.71416,1,1,0.69264,1,0,0.68936,1,0,0.69302,1,0,0.7325,0,0,0.71429,0,0,0.69241,1,1,0.70319,1,1
83,dart,404,0.71224,0,0,0.52261,1,0,0.54443,1,0,0.58551,1,0,0.57508,0,0,0.53656,0,0,0.50121,0,0,0.48876,0,0,0.5312,1,0,0.71033,0,0
84,dart,535,0.60654,1,0,0.63855,1,0,0.52096,0,0,0.7206,1,0,0.54649,0,0,0.59516,1,0,0.44482,0,0,0.54237,0,0,0.49308,0,0,0.39602,0,0
85,dart,398,0.58602,1,0,0.5163,1,0,0.59224,0,0,0.56223,1,0,0.64192,0,0,0.57273,1,0,0.60995,1,0,0.64847,1,0,0.69711,1,0,0.61595,1,0
86,dart,580,0.45773,1,0,0.53941,0,0,0.74223,0,0,0.48474,1,0,0.44556,0,0,0.4844,1,0,0.40634,0,0,0.52403,1,0,0.48196,1,0,0.44004,0,0
87,dart,972,0.73368,1,0,0.72769,0,0,0.67134,0,0,0.75328,1,0,0.72324,1,0,0.73458,1,0,0.66243,0,0,0.72357,1,0,0.69997,0,0,0.72208,1,0
88,dart,570,0.73509,0,0,0.52674,0,0,0.58571,1,0,0.73483,0,0,0.66696,1,0,0.64388,1,0,0.73509,0,0,0.6029,1,0,0.63672,1,0,0.73063,0,0
89,dart,484,0.5181,1,0,0.67706,0,0,0.36136,1,0,0.58272,0,0,0.29539,1,0,0.71945,1,0,0.6722,1,0,0.63391,0,0,0.31655,0,0,0.40643,0,0
90,dart,570,0.49851,0,0,0.45925,0,0,0.47283,0,0,0.08908,0,0,0.48079,0,0,0.4492,0,0,0.51152,0,0,0.45838,0,0,0.54802,0,0,0.54125,1,0
91,dart,639,0.64706,1,0,0.67882,0,0,0.5172,0,0,0.69191,1,0,0.55428,1,1,0.52669,0,0,0.59472,1,0,0.52799,0,0,0.72016,1,0,0.69792,1,0
92,dart,382,0.64916,1,0,0.75957,1,0,0.55498,1,0,0.6818,1,0,0.74402,1,0,0.67723,1,0,0.64383,1,0,0.62391,1,0,0.74402,1,0,0.6709,0,0
93,dart,1033,0.70625,0,0,0.65227,0,0,0.63454,0,0,0.71429,0,0,0.6836,1,0,0.73529,1,0,0.67754,0,0,0.68081,0,0,0.39371,0,0,0.70627,1,0
94,dart,1025,0.70138,0,0,0.6892,0,0,0.69448,1,0,0.72381,1,0,0.70036,0,0,0.67805,1,0,0.63368,1,0,0.54773,1,0,0.65445,1,0,0.6413,1,0
95,dart,1265,0.68563,0,0,0.60629,0,0,0.59619,1,0,0.6192,0,0,0.57918,0,0,0.67701,1,0,0.6482,0,0,0.65192,0,0,0.58282,1,0,0.6283,1,0
96,dart,501,0.84188,1,0,0.7575,1,0,0.6988,1,0,0.80727,1,0,0.71875,0,0,0.8267,1,0,0.84188,1,0,0.69555,1,0,0.71875,0,0,0.81068,1,0
97,dart,351,0.48347,1,0,0.75199,1,0,0.7107,0,0,0.7509,1,0,0.53685,1,0,0.75581,1,0,0.75581,1,0,0.75581,1,0,0.75199,1,0,0.7509,1,0
98,dart,525,0.70103,1,0,0.66804,1,0,0.62935,1,0,0.60195,0,0,0.63098,0,0,0.63688,0,0,0.56318,1,0,0.64062,0,0,0.60213,0,0,0.63615,1,0
99,dart,976,0.65769,0,0,0.71429,0,0,0.69697,1,0,0.70696,0,0,0.68424,0,0,0.75,1,1,0.71713,0,0,0.72625,1,1,0.66671,0,0,0.71429,0,0
