problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.66303,1,1,0.43191,0,0,0.4198,0,0,0.43456,0,0,0.75371,1,1
1,dart,327,0.58559,0,0,0.65253,0,0,0.62843,0,0,0.52976,0,0,0.66215,0,0
2,dart,90,0.66331,1,1,0.46004,0,0,0.54088,1,1,0.51513,1,0,0.68983,0,0
3,dart,262,0.39407,0,0,0.68491,1,1,0.58614,1,1,0.4778,1,1,0.56541,1,1
4,dart,147,0.58925,0,0,0.62793,1,1,0.69435,0,0,0.68415,0,0,0.78112,1,1
5,dart,117,0.68238,0,0,0.75925,1,1,0.58761,1,1,0.65361,1,1,0.40611,0,0
6,dart,69,0.33036,0,0,0.782,1,1,0.84409,0,0,0.78423,1,1,0.31389,0,0
7,dart,152,0.66252,0,0,0.69603,1,1,0.55572,0,0,0.69703,0,0,0.31818,0,0
8,dart,197,0.62023,1,1,0.49263,0,0,0.17385,0,0,0.41848,1,1,0.36797,0,0
9,dart,963,0.66715,1,1,0.7125,1,1,0.64444,1,1,0.70006,1,1,0.68992,1,0
10,dart,91,0.67894,0,0,0.71264,1,1,0.7506,0,0,0.28399,0,0,0.26527,0,0
11,dart,271,0.69034,1,1,0.77654,0,0,0.69676,0,0,0.65243,0,0,0.56624,0,0
12,dart,275,0.58164,0,0,0.47626,0,0,0.57428,0,0,0.6752,0,0,0.52708,1,1
13,dart,229,0.61842,1,1,0.54559,1,1,0.43762,0,0,0.60189,1,1,0.57547,0,0
14,dart,250,0.6177,0,0,0.40753,0,0,0.67669,1,1,0.37671,0,0,0.44281,0,0
15,dart,252,0.72371,0,0,0.71445,0,0,0.68362,0,0,0.51011,1,1,0.64485,0,0
16,dart,1164,0.51069,0,0,0.56237,0,0,0.56224,0,0,0.66078,0,0,0.54321,0,0
17,dart,88,0.74823,1,1,0.58236,1,1,0.36831,1,0,0.68449,1,1,0.44159,1,0
18,dart,123,0.44899,0,0,0.37685,0,0,0.50812,1,1,0.41569,0,0,0.43174,0,0
19,dart,71,0.106,0,0,0.33752,0,0,0.83592,0,0,0.58447,0,0,0.30484,0,0
20,dart,88,0.72848,0,0,0.4088,0,0,0.60305,1,1,0.55454,0,0,0.35908,0,0
21,dart,88,0.74649,1,1,0.76378,1,1,0.42843,0,0,0.44089,0,0,0.63275,1,1
22,dart,78,0.40409,1,1,0.74427,1,1,0.75304,1,1,0.31591,0,0,0.29036,0,0
23,dart,220,0.41274,0,0,0.73338,1,1,0.58843,1,1,0.44225,1,0,0.68888,0,0
24,dart,132,0.71744,1,1,0.63764,1,1,0.59333,1,1,0.71744,1,1,0.73408,1,1
25,dart,559,0.39907,0,0,0.57935,0,0,0.52702,1,0,0.67308,0,0,0.62778,0,0
