problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.75119,1,1,0.7515,1,1,0.7515,1,1,0.63741,1,0,0.7467,0,0,0.70019,1,0,0.69618,1,1,0.69534,1,0,0.72875,1,0,0.75119,1,1
1,dart,1184,0.66663,1,0,0.70596,1,0,0.68112,0,0,0.60876,0,0,0.6828,1,0,0.69219,0,0,0.69284,1,0,0.68348,1,0,0.75,0,0,0.68534,1,0
2,dart,301,0.67627,1,0,0.54297,0,0,0.47836,0,0,0.63995,0,0,0.75269,1,1,0.67184,0,0,0.55867,0,0,0.67949,1,1,0.55969,0,0,0.67627,1,0
3,dart,471,0.70129,1,0,0.67473,1,0,0.60204,1,0,0.71862,1,0,0.67887,1,1,0.66905,1,0,0.66015,0,0,0.64425,1,1,0.67775,1,0,0.44539,1,0
4,dart,611,0.55892,1,1,0.56535,1,1,0.58786,1,1,0.54699,1,1,0.57788,0,0,0.60231,1,0,0.50901,1,0,0.5715,1,0,0.537,0,0,0.62854,0,0
5,dart,564,0.81297,1,0,0.7959,1,1,0.82779,1,0,0.75002,0,0,0.7846,1,1,0.80213,1,1,0.7959,1,1,0.80213,1,1,0.75002,0,0,0.75002,0,0
6,dart,852,0.56009,0,0,0.75,0,0,0.67265,1,0,0.61537,1,0,0.63039,1,0,0.56043,0,0,0.63929,0,0,0.75,0,0,0.32768,1,0,0.71058,0,0
7,dart,547,0.61345,1,1,0.61345,1,1,0.74185,1,1,0.61345,1,1,0.74185,1,1,0.59913,1,1,0.61345,1,1,0.6811,0,1,0.5611,0,1,0.61345,1,1
8,dart,598,0.68095,1,0,0.58576,0,0,0.66131,1,0,0.53589,1,0,0.60529,0,0,0.68907,0,0,0.68705,1,0,0.60859,1,0,0.66825,1,0,0.62799,0,0
9,dart,807,0.63667,1,1,0.63057,1,0,0.62173,1,0,0.57533,1,0,0.70632,0,0,0.61142,1,0,0.57587,1,0,0.70855,1,0,0.6247,1,1,0.62109,1,0
10,dart,798,0.68652,1,0,0.64668,1,0,0.5938,1,0,0.56672,0,0,0.50851,1,0,0.62088,1,0,0.60291,1,0,0.68529,1,0,0.60291,1,0,0.60291,1,0
11,dart,629,0.72343,1,1,0.70695,1,1,0.69822,1,1,0.69905,1,1,0.66742,1,0,0.62587,1,0,0.75,1,0,0.71784,1,1,0.68938,0,0,0.64509,0,0
12,dart,534,0.62109,1,1,0.68311,1,1,0.63772,1,1,0.70311,0,0,0.65928,1,0,0.62297,1,1,0.58355,0,0,0.57232,1,0,0.59565,0,0,0.59482,0,0
