problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.73098,1,1,0.65267,1,1,0.61632,0,0,0.56827,1,1,0.49024,0,0
1,dart,327,0.71076,1,1,0.71285,1,1,0.69881,0,0,0.71285,1,1,0.71063,1,1
2,dart,90,0.44657,0,0,0.6293,0,0,0.45871,0,0,0.6567,1,1,0.52915,0,0
3,dart,262,0.59198,1,1,0.62617,0,0,0.63336,1,1,0.63388,1,1,0.71847,1,1
4,dart,147,0.56439,0,0,0.81031,1,1,0.70837,1,1,0.66988,1,1,0.71862,1,1
5,dart,117,0.51147,0,0,0.62563,0,0,0.75634,1,1,0.66062,1,0,0.35355,0,0
6,dart,69,0.74616,0,0,0.84461,1,1,0.30036,0,0,0.81636,1,1,0.28883,0,0
7,dart,152,0.59254,1,1,0.50407,0,0,0.60306,0,0,0.50398,1,1,0.30374,0,0
8,dart,197,0.36606,1,1,0.72902,1,1,0.5741,0,0,0.53901,1,0,0.03772,0,0
9,dart,963,0.67587,0,0,0.68689,0,0,0.73333,1,1,0.68197,1,0,0.60483,0,0
10,dart,91,0.72026,1,1,0.81715,0,0,0.60894,0,0,0.39561,0,0,0.46189,0,0
11,dart,271,0.68563,0,0,0.75916,0,0,0.6652,1,1,0.51937,0,0,0.80501,0,0
12,dart,275,0.53608,0,0,0.69366,0,0,0.54741,0,0,0.57817,0,0,0.57289,0,0
13,dart,229,0.5341,1,1,0.6522,1,1,0.58352,1,1,0.75043,1,1,0.55101,1,1
14,dart,250,0.6152,0,0,0.71031,1,1,0.72418,0,0,0.57696,0,0,0.07827,0,0
15,dart,252,0.61861,1,1,0.58993,0,0,0.73604,1,1,0.58215,0,0,0.39413,0,0
16,dart,1164,0.61489,0,0,0.60114,1,1,0.5392,1,1,0.63176,0,0,0.50258,0,0
17,dart,88,0.30601,0,0,0.7399,1,1,0.35421,1,0,0.29798,0,0,0.30003,0,0
18,dart,123,0.31125,0,0,0.35494,0,0,0.63579,1,1,0.34776,0,0,0.46369,0,0
19,dart,71,0.31974,1,0,0.58837,0,0,0.31487,0,0,0.31149,0,0,0.28321,0,0
20,dart,88,0.5105,0,0,0.73292,0,0,0.43992,0,0,0.56928,0,0,0.53102,1,1
21,dart,88,0.32917,0,0,0.71792,1,1,0.49452,0,0,0.44374,0,0,0.53273,0,0
22,dart,78,0.51861,1,1,0.40489,0,0,0.30649,0,0,0.35614,0,0,0.29188,0,0
23,dart,220,0.67213,1,1,0.67217,1,0,0.67144,1,1,0.63829,1,1,0.59816,1,1
24,dart,132,0.72683,1,1,0.57069,1,1,0.69127,1,1,0.51715,0,0,0.7144,1,1
25,dart,559,0.56691,0,0,0.53147,0,0,0.675,1,1,0.50957,1,1,0.65222,1,1
26,dart,67,0.5256,0,0,0.77181,1,1,0.57666,0,0,0.56008,1,1,0.38491,0,0
27,dart,988,0.55155,0,0,0.59253,1,1,0.57457,0,0,0.56789,0,0,0.70906,0,0
28,dart,78,0.71312,1,1,0.62354,1,0,0.7385,1,1,0.62569,1,1,0.3041,0,0
29,dart,402,0.56844,1,1,0.52548,1,1,0.62962,1,1,0.57346,0,0,0.70074,1,1
30,dart,88,0.81967,1,1,0.64109,1,1,0.76704,1,1,0.57437,0,0,0.76235,1,1
31,dart,85,0.65971,1,1,0.4825,1,1,0.50528,0,0,0.67858,0,0,0.70953,1,1
32,dart,255,0.61535,0,0,0.62243,0,0,0.5335,0,0,0.414,0,0,0.70065,0,0
33,dart,246,0.63411,1,1,0.708,1,0,0.63884,1,1,0.68475,1,1,0.64525,1,1
34,dart,381,0.47358,0,0,0.73673,0,0,0.7055,0,0,0.64613,0,0,0.50081,0,0
35,dart,166,0.45435,0,0,0.35623,1,1,0.47285,1,0,0.45642,1,0,0.2955,0,0
36,dart,324,0.75017,1,0,0.56352,1,0,0.75017,1,0,0.51782,0,0,0.2789,0,0
37,dart,82,0.5358,1,1,0.35569,0,0,0.34708,1,1,0.39422,0,0,0.01588,0,0
38,dart,76,0.77879,0,0,0.77879,0,0,0.77879,0,0,0.77879,0,0,0.80605,0,0
39,dart,76,0.64822,0,0,0.77879,0,0,0.77879,0,0,0.77879,0,0,0.80605,0,0
40,dart,69,0.45119,0,0,0.54464,0,0,0.57694,0,0,0.57694,0,0,0.54011,0,0
41,dart,708,0.65672,0,0,0.70163,0,0,0.68482,0,0,0.65128,0,0,0.7095,0,0
42,dart,200,0.60357,0,0,0.6462,1,1,0.52804,0,0,0.72313,1,1,0.63912,0,0
43,dart,942,0.49787,0,0,0.47659,0,0,0.41589,1,1,0.50189,0,0,0.58532,1,1
44,dart,287,0.48344,0,0,0.51117,1,0,0.62818,1,0,0.6952,1,0,0.52528,0,0
45,dart,965,0.5933,1,1,0.57607,1,1,0.73148,1,1,0.70406,1,1,0.72,0,0
46,dart,104,0.08806,1,1,0.21005,1,0,0.16929,1,0,0.17447,0,0,0.09828,0,0
47,dart,345,0.42,0,0,0.37496,0,0,0.35333,0,0,0.50092,0,0,0.60866,0,0
48,dart,2546,0.64401,1,1,0.61838,1,1,0.62373,0,0,0.6534,0,0,0.64092,0,0
49,dart,329,0.66091,1,1,0.41478,0,0,0.57017,1,1,0.72224,1,1,0.71903,1,1
50,dart,80,0.58645,0,0,0.44825,0,0,0.47546,0,0,0.74755,0,0,0.33097,0,0
51,dart,439,0.41296,0,0,0.48161,1,1,0.36415,0,0,0.50188,0,0,0.30518,0,0
52,dart,1353,0.66606,0,0,0.53065,0,0,0.61252,0,0,0.50962,1,1,0.57787,0,0
53,dart,219,0.78067,1,0,0.63927,0,0,0.61346,0,0,0.51301,1,0,0.6363,1,0
54,dart,237,0.64372,0,0,0.64624,0,0,0.53986,0,0,0.6483,1,0,0.63643,1,1
55,dart,1486,0.67392,0,0,0.61443,0,0,0.65252,0,0,0.63518,0,0,0.55959,0,0
56,dart,1112,0.66711,1,1,0.5435,1,1,0.56052,0,0,0.59536,0,0,0.5131,0,0
57,dart,493,0.52168,0,0,0.49927,0,0,0.12874,0,0,0.52328,1,1,0.39666,0,0
58,dart,780,0.63621,0,0,0.63396,0,0,0.75,1,1,0.63785,0,0,0.7125,1,1
59,dart,214,0.65262,1,1,0.7274,1,1,0.66396,1,1,0.57377,1,1,0.4284,1,1
60,dart,730,0.7458,1,0,0.77358,1,0,0.73455,0,0,0.75647,0,0,0.67993,0,0
61,dart,485,0.6192,1,1,0.58442,0,0,0.53106,1,1,0.60841,0,0,0.62509,0,0
62,dart,484,0.62014,1,0,0.60419,0,0,0.50668,1,0,0.65297,1,0,0.73334,1,1
63,dart,43,0.02876,0,0,0.48869,0,0,0.42584,0,0,0.36619,0,0,0.42862,0,0
64,dart,43,0.37851,0,0,0.30122,0,0,0.37081,0,0,0.30928,0,0,0.27364,0,0
