problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.71053,1,0,0.62369,0,0,0.74669,1,1,0.7397,1,1,0.67022,1,0,0.70443,1,0,0.73096,1,0,0.75454,1,1,0.75119,1,1,0.75119,1,1
1,dart,1184,0.6275,0,0,0.6882,0,0,0.70584,1,0,0.75,0,0,0.66777,0,0,0.71441,1,0,0.70417,1,0,0.69653,1,0,0.65852,0,0,0.68687,1,0
2,dart,301,0.51436,1,1,0.63126,0,0,0.62322,0,0,0.64584,0,0,0.63658,0,0,0.65324,0,0,0.696,1,0,0.49731,1,1,0.54212,1,1,0.60144,1,0
3,dart,471,0.56825,0,0,0.62021,1,0,0.68322,1,1,0.69523,1,0,0.6424,1,0,0.69137,1,0,0.74403,1,1,0.72819,1,0,0.66914,1,0,0.72749,1,1
4,dart,611,0.5559,1,1,0.75,0,0,0.49781,1,1,0.51771,1,1,0.6052,0,0,0.75,0,0,0.55992,1,1,0.52878,0,0,0.57145,0,0,0.57841,0,0
5,dart,564,0.78102,0,0,0.79264,0,0,0.82366,1,1,0.77043,1,1,0.8044,0,0,0.82083,0,0,0.77454,1,1,0.73955,1,1,0.83407,1,1,0.80213,1,1
6,dart,852,0.65747,1,0,0.60308,1,0,0.66178,1,0,0.61246,0,0,0.65371,1,0,0.69279,1,0,0.65057,0,0,0.75,0,0,0.725,1,0,0.71216,1,0
7,dart,547,0.58591,1,1,0.74185,1,1,0.74185,1,1,0.5858,0,1,0.61345,1,1,0.59913,1,1,0.7368,1,1,0.61345,1,1,0.7368,1,1,0.6811,0,1
8,dart,598,0.69199,1,0,0.68788,1,0,0.69886,1,0,0.58431,1,0,0.57974,0,0,0.68788,1,0,0.64501,1,0,0.47117,1,0,0.598,0,0,0.72527,1,0
9,dart,807,0.59958,1,0,0.66991,0,0,0.62173,1,0,0.61673,1,0,0.62598,1,1,0.62767,1,1,0.63383,1,1,0.7125,1,1,0.61999,1,1,0.61158,1,0
10,dart,798,0.74766,1,0,0.70856,0,0,0.71216,1,0,0.59568,1,0,0.59974,1,0,0.58853,1,0,0.59841,1,0,0.57875,1,0,0.63135,1,0,0.5925,1,0
11,dart,629,0.73398,1,1,0.66994,1,0,0.72343,1,1,0.7341,1,1,0.7145,0,0,0.65674,1,0,0.66673,0,0,0.64734,1,0,0.67307,1,1,0.75,1,0
12,dart,534,0.54649,1,0,0.61403,1,1,0.71609,1,1,0.64006,0,0,0.70505,1,1,0.65296,1,1,0.65439,0,0,0.67362,1,1,0.64367,0,0,0.67783,1,1
13,dart,491,0.67329,1,1,0.7821,1,1,0.7821,1,1,0.74398,1,1,0.7821,1,1,0.74398,1,1,0.77997,1,1,0.65292,1,1,0.7821,1,1,0.73005,1,1
14,dart,381,0.79101,1,1,0.77914,1,1,0.7624,1,1,0.73364,1,0,0.79101,1,1,0.80705,1,1,0.76621,0,0,0.71834,1,1,0.75001,0,0,0.78344,1,1
15,dart,542,0.54161,1,1,0.59061,1,1,0.55527,0,0,0.49008,1,1,0.58603,1,1,0.54161,1,1,0.54782,1,1,0.60248,1,1,0.60248,1,1,0.56664,1,1
16,dart,319,0.60686,1,0,0.59537,1,0,0.55197,1,0,0.59537,1,0,0.53882,0,0,0.75001,0,0,0.65727,0,0,0.5834,0,0,0.59537,1,0,0.60686,1,0
17,dart,636,0.50501,1,0,0.75,0,0,0.44245,1,0,0.54892,1,0,0.55403,0,0,0.53249,0,0,0.74237,1,0,0.51086,0,0,0.41767,0,0,0.51432,0,0
18,dart,486,0.75977,1,1,0.59874,1,1,0.69223,1,0,0.69345,1,0,0.69395,1,0,0.65529,1,0,0.78239,1,1,0.78239,1,1,0.66716,1,0,0.78239,1,1
19,dart,702,0.73766,0,0,0.50558,1,0,0.61705,1,0,0.71032,0,0,0.55981,0,0,0.5468,1,0,0.63708,0,0,0.55811,0,0,0.73242,1,0,0.52726,1,0
20,dart,1013,0.64574,1,0,0.62964,0,0,0.75,0,0,0.59164,0,0,0.61573,0,0,0.40187,0,0,0.69896,1,0,0.45484,0,0,0.61008,0,0,0.68129,1,0
21,dart,701,0.56998,1,1,0.68881,0,0,0.75,0,0,0.77936,1,1,0.74605,1,1,0.67715,1,0,0.73089,1,1,0.74605,1,1,0.74605,1,1,0.70289,1,1
22,dart,917,0.65007,0,0,0.75002,1,1,0.50415,0,0,0.5897,1,1,0.60305,0,0,0.65007,0,0,0.57139,0,0,0.58315,1,1,0.59677,1,0,0.64411,0,0
24,dart,420,0.59219,1,0,0.66966,1,0,0.64571,1,1,0.65583,0,0,0.58746,1,1,0.62591,0,0,0.65524,0,0,0.65665,0,0,0.61893,0,0,0.69369,1,1
26,dart,565,0.63903,1,0,0.70098,1,0,0.68267,1,0,0.62206,0,0,0.68267,1,0,0.65879,1,0,0.60616,0,0,0.67505,1,0,0.68267,1,0,0.68267,1,0
27,dart,753,0.68582,0,0,0.73959,1,1,0.73959,1,1,0.73959,1,1,0.73959,1,1,0.58441,0,0,0.72779,0,0,0.70106,0,0,0.56847,0,0,0.75,0,0
28,dart,373,0.75063,1,1,0.75068,1,1,0.73256,0,0,0.49948,1,1,0.75063,1,1,0.75029,1,1,0.75047,0,0,0.75063,1,1,0.47241,0,0,0.75068,1,1
29,dart,671,0.58756,1,1,0.73936,1,1,0.60152,1,1,0.73936,1,1,0.60152,1,1,0.72821,1,1,0.58756,1,1,0.66232,0,0,0.73936,1,1,0.73936,1,1
30,dart,329,0.57292,1,0,0.58836,1,1,0.58836,1,1,0.58836,1,1,0.55824,1,0,0.58836,1,1,0.68102,0,0,0.5748,0,0,0.59966,1,0,0.56068,1,1
31,dart,502,0.64095,1,1,0.73235,1,1,0.72092,1,1,0.73235,1,1,0.73235,1,1,0.73235,1,1,0.72257,1,1,0.71996,0,0,0.612,1,0,0.73741,1,1
33,dart,616,0.71991,1,0,0.73978,1,0,0.71383,1,0,0.66814,1,0,0.66698,1,0,0.74054,1,0,0.66998,1,0,0.61956,0,0,0.71066,1,0,0.61935,1,0
34,dart,643,0.54872,0,0,0.56627,0,0,0.73841,1,0,0.60966,0,0,0.60611,0,0,0.59089,1,0,0.55263,0,0,0.59901,0,0,0.50912,0,0,0.58413,1,0
35,dart,346,0.61405,1,0,0.6209,1,1,0.64733,1,1,0.65322,1,1,0.64251,1,1,0.63068,1,0,0.57387,1,0,0.57147,0,0,0.63707,1,0,0.72262,0,0
36,dart,448,0.68151,1,0,0.68392,1,0,0.71366,1,0,0.67427,1,0,0.63152,0,0,0.71929,1,0,0.66562,1,0,0.64232,0,0,0.67713,1,0,0.67637,1,0
37,dart,579,0.71004,1,0,0.74852,1,0,0.72495,0,0,0.71806,1,0,0.71004,1,0,0.71177,1,0,0.69027,0,0,0.72385,1,0,0.72822,1,0,0.69181,1,0
39,dart,664,0.65496,0,0,0.63418,0,0,0.63862,0,0,0.67413,0,0,0.66596,0,0,0.67902,0,0,0.58347,0,0,0.722,0,0,0.62211,1,0,0.63226,0,0
40,dart,607,0.82408,1,1,0.78488,1,0,0.57265,0,0,0.76039,1,1,0.74548,1,1,0.79699,1,1,0.82408,1,1,0.72219,1,0,0.82408,1,1,0.71139,1,0
41,dart,422,0.63542,1,0,0.75004,1,1,0.5084,0,0,0.72509,1,1,0.49009,1,0,0.69453,1,0,0.72509,1,1,0.48389,1,0,0.72509,1,1,0.72509,1,1
42,dart,235,0.63902,0,0,0.6603,1,1,0.62164,0,0,0.5568,1,0,0.56748,1,0,0.49649,1,0,0.5778,1,0,0.55028,1,0,0.55103,0,0,0.51664,1,0
43,dart,528,0.67828,0,0,0.68572,1,1,0.71901,1,1,0.79938,1,1,0.78946,0,0,0.76741,1,1,0.79689,1,1,0.70771,1,1,0.65098,0,0,0.74847,1,0
44,dart,347,0.76692,0,0,0.65552,0,0,0.57587,0,0,0.68274,1,1,0.64774,1,1,0.65543,1,1,0.59324,1,1,0.62291,1,1,0.78444,1,1,0.65504,0,0
45,dart,292,0.71978,1,1,0.71978,1,1,0.74346,1,1,0.71978,1,1,0.73879,1,1,0.73879,1,1,0.71978,1,1,0.60083,0,0,0.71978,1,1,0.73879,1,1
46,dart,657,0.64799,0,0,0.65985,0,0,0.67415,0,0,0.62282,0,0,0.60655,0,0,0.55462,0,0,0.64262,1,0,0.59313,1,0,0.64997,0,0,0.68522,0,0
47,dart,429,0.763,0,0,0.72976,0,0,0.70662,0,0,0.69028,0,0,0.75709,0,0,0.69228,0,0,0.7144,0,0,0.74634,0,0,0.72924,0,0,0.62871,0,0
48,dart,444,0.67868,1,1,0.67868,1,1,0.72033,1,1,0.38799,1,1,0.67868,1,1,0.67868,1,1,0.43157,1,1,0.7127,1,1,0.42072,1,1,0.68127,1,1
49,dart,381,0.58733,1,0,0.58491,0,0,0.53912,0,0,0.54833,0,0,0.6119,0,0,0.71442,1,0,0.62537,1,0,0.53415,0,0,0.65097,0,0,0.62894,0,0
51,dart,540,0.71795,0,0,0.72517,1,1,0.72517,1,1,0.60772,0,0,0.75,1,0,0.72517,1,1,0.61435,1,1,0.63603,1,1,0.75,0,0,0.71835,0,0
52,dart,479,0.61014,1,0,0.5862,1,0,0.4163,0,0,0.59944,1,0,0.57549,1,0,0.55223,0,0,0.6306,1,0,0.7025,1,0,0.4365,0,0,0.75012,1,0
53,dart,212,0.73092,1,1,0.75458,1,1,0.75458,1,1,0.73092,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.73092,1,1,0.75458,1,1
54,dart,571,0.70787,0,0,0.64386,1,1,0.72162,1,0,0.47397,1,0,0.65937,0,0,0.57173,1,0,0.55165,0,0,0.71265,0,0,0.53115,1,0,0.68401,1,0
55,dart,474,0.54827,1,1,0.4843,0,0,0.52264,1,1,0.49018,1,1,0.68878,1,1,0.53715,0,0,0.55596,1,0,0.65749,1,1,0.72139,1,0,0.4719,1,0
56,dart,578,0.72538,1,1,0.71452,1,1,0.74756,1,1,0.73179,1,1,0.73484,1,1,0.73252,1,0,0.71582,1,0,0.75207,1,1,0.74861,1,1,0.72441,1,1
57,dart,620,0.63834,0,0,0.7217,0,0,0.68901,0,0,0.71509,1,0,0.66242,0,0,0.71812,0,0,0.71984,1,0,0.75061,0,0,0.74243,0,0,0.69404,0,0
58,dart,425,0.67974,1,0,0.68547,1,0,0.66146,0,0,0.68435,0,0,0.70519,0,0,0.64305,0,0,0.6742,1,0,0.64706,1,0,0.64658,1,0,0.76789,1,0
59,dart,515,0.61536,0,0,0.67388,0,0,0.69532,0,0,0.65426,0,0,0.75772,0,0,0.67598,0,0,0.646,1,0,0.74676,0,0,0.67249,0,0,0.66676,1,1
60,dart,312,0.71541,1,1,0.58881,1,1,0.58221,0,0,0.57892,1,1,0.58236,0,0,0.58881,1,1,0.58881,1,1,0.57892,1,1,0.52958,0,0,0.57892,1,1
61,dart,578,0.69321,1,1,0.73255,1,1,0.73359,1,1,0.72171,1,1,0.7375,1,1,0.74954,1,1,0.72003,1,1,0.73928,1,1,0.74355,1,1,0.70957,1,1
62,dart,462,0.75001,0,0,0.75518,1,0,0.64834,1,0,0.5376,1,0,0.63224,0,0,0.63047,1,0,0.73362,1,0,0.71481,0,0,0.75001,0,0,0.6299,0,0
63,dart,563,0.53494,0,0,0.48039,1,0,0.53757,1,0,0.47411,1,0,0.55946,1,0,0.56573,1,0,0.57666,1,0,0.54846,1,0,0.49386,1,0,0.563,1,0
64,dart,836,0.59992,0,0,0.65097,1,0,0.66735,1,0,0.63051,0,0,0.67869,1,0,0.59998,1,0,0.67672,1,0,0.67019,1,0,0.70781,1,0,0.63631,1,0
65,dart,614,0.6789,0,0,0.61919,0,0,0.6236,1,0,0.60024,0,0,0.63853,1,0,0.74359,1,0,0.62201,0,0,0.68931,0,0,0.61627,0,0,0.54539,1,0
66,dart,583,0.58765,0,0,0.58905,1,0,0.67205,0,0,0.46944,1,0,0.66491,1,0,0.52819,0,0,0.59994,0,0,0.74059,0,0,0.57077,0,0,0.64904,0,0
67,dart,519,0.63584,1,0,0.68066,0,0,0.71875,0,0,0.63442,0,0,0.63418,1,0,0.46467,0,0,0.62354,0,0,0.533,0,0,0.57058,1,0,0.71875,0,0
68,dart,717,0.56478,0,0,0.60298,1,0,0.53469,1,0,0.3117,1,0,0.55514,1,0,0.56485,1,0,0.69828,1,0,0.62502,0,0,0.61406,1,0,0.62989,1,0
69,dart,555,0.69938,1,0,0.6928,1,0,0.6058,0,0,0.65701,0,0,0.73439,1,0,0.6287,1,0,0.67381,0,0,0.58173,0,0,0.70701,1,0,0.68394,1,0
70,dart,861,0.6389,1,0,0.58503,1,0,0.50826,0,0,0.62302,1,0,0.66194,1,0,0.61639,1,0,0.6231,0,0,0.63492,1,0,0.53822,1,0,0.62144,1,0
71,dart,433,0.72229,0,0,0.83503,0,0,0.67987,0,0,0.76956,0,0,0.70556,0,0,0.80236,0,0,0.8156,0,0,0.83621,0,0,0.8156,0,0,0.83466,0,0
