problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.64255,1,1,0.47174,1,1,0.70253,1,1,0.66284,0,0,0.60177,0,0
1,dart,327,0.53098,0,0,0.52296,0,0,0.69427,1,0,0.63187,0,0,0.59556,0,0
2,dart,90,0.69433,1,1,0.56356,1,1,0.65245,1,1,0.52941,1,1,0.38226,0,0
3,dart,262,0.70098,1,1,0.56416,1,0,0.61202,1,1,0.37536,1,1,0.60447,1,1
4,dart,147,0.77015,1,1,0.59963,0,0,0.65023,1,1,0.62809,1,1,0.63196,1,1
5,dart,117,0.7515,1,1,0.75634,1,1,0.75969,1,1,0.70315,1,1,0.59036,1,1
6,dart,69,0.8828,1,1,0.33891,1,0,0.91705,1,1,0.31062,0,0,0.90481,1,1
7,dart,152,0.37642,0,0,0.54188,1,1,0.37445,0,0,0.3069,0,0,0.37606,0,0
8,dart,197,0.31109,1,0,0.72363,1,1,0.32104,1,0,0.5782,0,0,0.33465,0,0
9,dart,963,0.61347,0,0,0.60209,0,0,0.59198,0,0,0.67171,1,1,0.6718,1,1
10,dart,91,0.58796,1,0,0.30382,0,0,0.31365,0,0,0.71719,0,0,0.4636,0,0
11,dart,271,0.52907,0,0,0.54852,0,0,0.69644,1,0,0.41971,0,0,0.42822,0,0
12,dart,275,0.4918,1,1,0.67633,0,0,0.49818,0,0,0.6935,1,1,0.47914,0,0
13,dart,229,0.62156,1,1,0.62984,1,1,0.71646,0,0,0.53628,0,0,0.4536,0,0
14,dart,250,0.31245,0,0,0.46803,0,0,0.80199,1,1,0.71846,1,1,0.65019,0,0
15,dart,252,0.26503,1,0,0.70524,0,0,0.57209,1,1,0.46908,1,0,0.62287,0,0
16,dart,1164,0.5287,0,0,0.51743,0,0,0.21651,0,0,0.52042,1,0,0.58854,0,0
17,dart,88,0.66093,1,1,0.77968,1,1,0.3285,0,0,0.46755,0,0,0.69796,0,0
18,dart,123,0.37905,0,0,0.38587,0,0,0.08966,0,0,0.60204,1,1,0.35441,0,0
19,dart,71,0.72,0,0,0.85912,1,1,0.3197,0,0,0.56983,0,0,0.35998,0,0
20,dart,88,0.53051,1,1,0.58867,1,1,0.63275,1,1,0.55042,1,1,0.55953,0,0
21,dart,88,0.66392,1,1,0.53325,0,0,0.59115,0,0,0.75237,1,1,0.69351,0,0
22,dart,78,0.76344,1,1,0.77822,1,1,0.79185,1,1,0.34174,1,0,0.76344,1,1
23,dart,220,0.51398,1,0,0.47381,1,1,0.65762,1,1,0.65683,1,1,0.59975,1,1
24,dart,132,0.6488,1,1,0.53403,1,1,0.51726,1,1,0.65393,0,0,0.32501,0,0
25,dart,559,0.38611,0,0,0.42923,0,0,0.56491,1,0,0.52401,0,0,0.40425,0,0
26,dart,67,0.7181,1,1,0.6856,1,1,0.65236,1,1,0.80992,1,1,0.70563,1,1
27,dart,988,0.6257,1,1,0.60399,1,1,0.67774,0,0,0.48759,0,0,0.58395,0,0
28,dart,78,0.8842,1,0,0.73887,1,1,0.70139,1,0,0.5733,1,1,0.58197,1,1
29,dart,402,0.65151,1,1,0.57844,0,0,0.46512,0,0,0.57826,0,0,0.63902,1,1
30,dart,88,0.78949,1,1,0.80159,1,1,0.75186,1,1,0.72596,1,1,0.71671,1,1
31,dart,85,0.50556,1,1,0.35323,0,0,0.66638,1,1,0.31754,1,0,0.49381,1,1
32,dart,255,0.36636,0,0,0.44687,0,0,0.53267,0,0,0.64227,0,0,0.69452,0,0
33,dart,246,0.60965,1,1,0.65329,1,1,0.51436,1,1,0.65299,1,1,0.43247,0,0
34,dart,381,0.73426,0,0,0.51237,0,0,0.71125,1,1,0.61823,0,0,0.7442,1,1
35,dart,166,0.34224,0,0,0.37441,1,1,0.26488,0,0,0.27471,0,0,0.2673,0,0
36,dart,324,0.39261,0,0,0.50709,0,0,0.36171,0,0,0.42643,0,0,0.32896,0,0
37,dart,82,0.68798,1,1,0.26846,0,0,0.37748,0,0,0.34971,0,0,0.40315,0,0
38,dart,76,0.4326,0,0,0.60662,0,0,0.75461,0,0,0.80605,0,0,0.60662,0,0
39,dart,76,0.60662,0,0,0.69717,0,0,0.60662,0,0,0.80605,0,0,0.70627,0,0
40,dart,69,0.54011,0,0,0.54011,0,0,0.52939,0,0,0.49485,0,0,0.53196,0,0
41,dart,708,0.70224,0,0,0.71438,0,0,0.69743,0,0,0.68612,0,0,0.69209,0,0
42,dart,200,0.42043,0,0,0.42752,0,0,0.5859,0,0,0.57908,1,1,0.59208,0,0
43,dart,942,0.39583,0,0,0.47793,0,0,0.43607,0,0,0.4722,0,0,0.47914,1,1
44,dart,287,0.57865,1,0,0.42497,0,0,0.50551,1,0,0.41456,1,0,0.64464,1,0
45,dart,965,0.67969,1,1,0.57657,1,1,0.66405,1,1,0.64053,0,0,0.64275,1,1
46,dart,104,0.0872,0,0,0.1133,0,0,0.375,0,0,0.09104,0,0,0.05789,1,0
47,dart,345,0.34144,0,0,0.61318,0,0,0.39435,0,0,0.18602,0,0,0.31803,0,0
48,dart,2546,0.6845,0,0,0.63722,1,1,0.64976,0,0,0.66646,0,0,0.67884,0,0
49,dart,329,0.38928,0,0,0.35195,1,0,0.40039,0,0,0.71604,1,1,0.36941,0,0
50,dart,80,0.40285,0,0,0.26452,0,0,0.04652,0,0,0.58645,0,0,0.28963,0,0
51,dart,439,0.31016,0,0,0.49776,0,0,0.3172,0,0,0.04761,0,0,0.41209,0,0
52,dart,1353,0.54965,1,1,0.49823,1,1,0.56456,1,1,0.54903,1,1,0.50389,0,0
53,dart,219,0.73745,1,0,0.70126,0,0,0.59018,0,0,0.7038,1,0,0.76129,0,0
54,dart,237,0.69265,0,0,0.59128,0,0,0.46691,0,0,0.657,0,0,0.50248,0,0
