problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.70201,1,1,0.73593,1,0,0.68721,1,1,0.72776,1,1,0.5898,1,0,0.57537,1,0,0.58161,1,0,0.6917,1,1,0.65357,1,0,0.70489,1,1
1,dart,1184,0.60339,0,0,0.66472,0,0,0.56374,0,0,0.65049,0,0,0.70761,0,0,0.67311,0,0,0.69254,1,0,0.65522,0,0,0.68142,1,0,0.68952,1,1
2,dart,301,0.46148,1,0,0.58738,0,0,0.42802,0,0,0.49465,1,0,0.53447,1,1,0.5986,1,1,0.47311,0,0,0.64126,0,0,0.50817,0,0,0.6548,0,0
3,dart,471,0.72601,1,0,0.69562,1,1,0.67605,1,0,0.64903,1,0,0.74073,1,0,0.67846,1,0,0.71576,1,0,0.7245,1,0,0.71205,1,0,0.68343,1,0
4,dart,611,0.53084,1,0,0.50804,1,1,0.57304,1,1,0.47466,1,1,0.55528,1,1,0.56985,1,1,0.55142,1,1,0.51629,1,1,0.24593,0,0,0.53233,1,1
5,dart,564,0.76294,1,1,0.73658,1,1,0.81242,1,1,0.7941,1,1,0.80213,1,1,0.81242,1,1,0.80213,1,1,0.72011,1,1,0.7846,1,1,0.80213,1,1
6,dart,852,0.65004,0,0,0.60705,0,0,0.70823,1,0,0.69409,1,0,0.5685,0,0,0.65826,1,0,0.57046,1,0,0.69369,1,0,0.69484,1,0,0.65711,1,0
7,dart,547,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.58591,1,1,0.74185,1,1,0.74185,1,1,0.57337,1,1,0.58591,1,1,0.58591,1,1
8,dart,598,0.61366,0,0,0.67501,1,0,0.61042,1,0,0.49509,1,0,0.61052,1,0,0.65022,1,0,0.65064,1,0,0.62919,0,0,0.64957,1,0,0.63796,1,0
9,dart,807,0.64458,1,1,0.70548,1,1,0.63984,1,1,0.67107,1,1,0.63966,1,1,0.63764,1,0,0.67107,1,1,0.63127,1,1,0.56839,0,0,0.62767,1,1
10,dart,798,0.38244,0,0,0.59035,1,0,0.63211,0,0,0.61623,1,0,0.58427,1,0,0.6606,1,0,0.39338,0,0,0.62235,0,0,0.58637,1,0,0.5665,1,0
11,dart,629,0.66907,1,1,0.63756,0,0,0.59613,1,0,0.6778,1,1,0.60224,0,0,0.65257,0,0,0.6354,1,0,0.67941,1,0,0.63736,1,1,0.63651,1,0
12,dart,534,0.64268,1,1,0.63415,1,0,0.60765,1,0,0.48305,1,0,0.6517,1,1,0.61435,1,0,0.66252,0,0,0.65506,1,0,0.48573,0,0,0.65414,1,0
13,dart,491,0.73556,1,1,0.73556,1,1,0.7821,1,1,0.73556,1,1,0.73556,1,1,0.73556,1,1,0.73556,1,1,0.73556,1,1,0.73556,1,1,0.72239,1,1
14,dart,381,0.70273,1,1,0.78344,1,1,0.76608,1,1,0.80705,1,1,0.72854,1,1,0.78102,1,1,0.68157,1,1,0.64313,1,0,0.75873,1,0,0.71003,1,1
15,dart,542,0.57337,1,1,0.56253,1,1,0.53232,1,0,0.57232,1,1,0.56613,1,1,0.57219,1,1,0.57104,1,1,0.5319,1,1,0.57089,1,1,0.57516,1,1
16,dart,319,0.75304,0,0,0.74393,1,0,0.44945,0,0,0.74393,1,0,0.75304,0,0,0.39282,1,0,0.4553,0,0,0.67836,0,0,0.70868,1,0,0.7384,0,0
17,dart,636,0.5485,1,0,0.55441,0,0,0.4733,1,0,0.54171,0,0,0.50344,1,0,0.5612,0,0,0.36518,0,0,0.44413,0,0,0.40868,0,0,0.60065,0,0
18,dart,486,0.6232,1,1,0.6232,1,1,0.69619,1,0,0.59,1,1,0.61561,1,0,0.65361,1,0,0.60818,1,1,0.63846,1,1,0.61122,1,0,0.63846,1,1
19,dart,702,0.50175,1,0,0.55414,0,0,0.52958,0,0,0.48837,1,0,0.62364,1,0,0.44968,1,1,0.58035,0,0,0.53881,1,0,0.49119,0,0,0.54307,0,0
20,dart,1013,0.60382,1,0,0.67078,1,0,0.65945,1,0,0.63069,0,0,0.62711,1,0,0.42325,0,0,0.38374,0,0,0.61455,1,0,0.51267,0,0,0.57394,1,0
21,dart,701,0.66722,1,1,0.63446,1,1,0.67094,0,0,0.5987,0,0,0.71985,1,1,0.51358,1,1,0.6346,1,1,0.63688,0,0,0.70683,0,0,0.68311,1,1
22,dart,917,0.55986,1,1,0.57392,1,0,0.60548,1,0,0.56067,1,0,0.65007,0,0,0.60651,1,0,0.5971,1,0,0.5908,1,1,0.59172,1,1,0.65007,0,0
24,dart,420,0.62432,1,0,0.63646,1,0,0.61601,1,1,0.56863,1,1,0.65368,1,1,0.62661,1,1,0.61499,0,0,0.6398,1,1,0.60428,0,0,0.70188,1,1
26,dart,565,0.67881,1,0,0.59762,1,0,0.68688,1,0,0.6773,0,0,0.67664,1,0,0.6322,0,0,0.68879,1,0,0.63748,0,0,0.70668,1,0,0.62637,1,0
27,dart,753,0.65502,1,0,0.66638,0,0,0.63514,1,0,0.66011,0,0,0.6513,0,0,0.65348,1,0,0.66947,1,0,0.59212,0,0,0.68747,1,1,0.65594,1,0
28,dart,373,0.4857,1,0,0.65264,1,0,0.511,1,0,0.44055,1,0,0.51235,1,1,0.75068,1,1,0.75068,1,1,0.50914,1,1,0.64732,1,1,0.50658,0,0
29,dart,671,0.57476,1,1,0.73936,1,1,0.73936,1,1,0.57476,1,1,0.57476,1,1,0.73936,1,1,0.72821,1,1,0.58077,1,1,0.73936,1,1,0.73936,1,1
30,dart,329,0.56068,1,1,0.57835,1,1,0.58836,1,1,0.59554,0,0,0.55337,1,1,0.56068,1,1,0.55253,1,0,0.7495,1,1,0.72235,1,1,0.7495,1,1
31,dart,502,0.6553,0,0,0.48116,0,0,0.55792,1,0,0.69384,0,0,0.66652,0,0,0.72832,0,0,0.68615,1,1,0.71093,0,0,0.71531,0,0,0.66325,0,0
33,dart,616,0.63112,0,0,0.69406,0,0,0.47592,0,0,0.66021,1,0,0.69514,1,0,0.53984,1,0,0.70604,1,0,0.49328,0,0,0.66681,1,0,0.43917,1,0
34,dart,643,0.59503,1,0,0.64126,1,0,0.52299,0,0,0.52302,1,0,0.66952,1,0,0.59503,1,0,0.73841,1,0,0.55335,0,0,0.56902,1,0,0.51862,1,0
