problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.59496,0,0,0.59036,1,0,0.49164,0,0,0.74428,0,0,0.55625,1,0
1,dart,327,0.64135,0,0,0.68043,1,0,0.69886,0,0,0.69231,1,0,0.62045,0,0
2,dart,90,0.73789,1,1,0.45845,1,1,0.42874,1,1,0.32224,1,0,0.64574,1,1
3,dart,262,0.64911,1,1,0.62863,1,1,0.50918,1,1,0.65597,0,0,0.52448,0,0
4,dart,147,0.81837,0,0,0.85818,1,1,0.8382,1,1,0.73645,1,1,0.7193,1,1
5,dart,117,0.51542,1,1,0.6529,0,0,0.7237,1,1,0.75285,1,1,0.79357,1,1
6,dart,69,0.27272,0,0,0.57801,0,0,0.30969,1,1,0.33297,0,0,0.7607,1,1
7,dart,152,0.301,0,0,0.3883,0,0,0.27482,0,0,0.51046,0,0,0.56525,0,0
8,dart,197,0.53969,0,0,0.44685,0,0,0.7384,1,1,0.40437,1,0,0.61023,0,0
9,dart,963,0.63218,0,0,0.54326,0,0,0.65211,0,0,0.67927,0,0,0.60251,0,0
10,dart,91,0.38189,0,0,0.31313,0,0,0.3473,0,0,0.35009,0,0,0.44858,1,0
11,dart,271,0.55939,0,0,0.51957,0,0,0.70847,0,0,0.43518,0,0,0.69999,0,0
12,dart,275,0.72851,1,1,0.69582,1,1,0.52345,0,0,0.56358,0,0,0.6511,1,1
13,dart,229,0.53318,1,1,0.52352,1,1,0.69496,1,1,0.53258,0,0,0.48059,1,1
14,dart,250,0.65521,0,0,0.4001,1,0,0.77989,1,1,0.56426,1,1,0.61324,0,0
15,dart,252,0.53559,1,1,0.69452,1,1,0.46337,0,0,0.57809,1,1,0.60636,1,1
16,dart,1164,0.54257,0,0,0.5728,1,1,0.64427,0,0,0.56309,0,0,0.59505,1,1
17,dart,88,0.28951,0,0,0.71486,1,1,0.28545,0,0,0.56421,0,0,0.33914,0,0
18,dart,123,0.46036,1,1,0.48924,0,0,0.50448,1,1,0.45316,0,0,0.60469,1,1
19,dart,71,0.27635,0,0,0.2712,0,0,0.03129,0,0,0.81687,0,0,0.29383,0,0
20,dart,88,0.63327,1,1,0.50903,0,0,0.5012,0,0,0.63502,0,0,0.4345,0,0
21,dart,88,0.66392,1,1,0.59915,1,1,0.46333,1,1,0.65557,1,1,0.48915,0,0
22,dart,78,0.64965,1,1,0.29914,0,0,0.27236,0,0,0.62159,0,0,0.774,1,1
23,dart,220,0.59526,1,1,0.56223,0,0,0.35699,0,0,0.1078,0,0,0.10854,0,0
24,dart,132,0.57069,1,1,0.54604,0,0,0.52799,1,1,0.7144,1,1,0.65623,1,1
25,dart,559,0.54766,1,0,0.55367,1,1,0.55603,1,1,0.36987,0,0,0.68522,1,1
26,dart,67,0.75457,1,1,0.72221,0,0,0.84205,1,1,0.90963,1,1,0.77049,1,1
27,dart,988,0.5887,0,0,0.63734,0,0,0.59282,0,0,0.63567,0,0,0.64903,0,0
28,dart,78,0.71358,1,1,0.54036,1,1,0.62022,0,0,0.69037,1,1,0.64241,1,0
29,dart,402,0.49431,0,0,0.40857,0,0,0.36498,0,0,0.46152,0,0,0.62123,1,0
30,dart,88,0.76519,1,1,0.59216,1,1,0.63298,1,1,0.75733,1,1,0.68282,1,1
31,dart,85,0.55108,1,1,0.51091,0,0,0.5564,1,1,0.77846,1,1,0.77846,1,1
32,dart,255,0.71921,0,0,0.69496,0,0,0.72184,0,0,0.71196,0,0,0.69639,0,0
33,dart,246,0.62654,1,1,0.49933,0,0,0.64806,1,1,0.43252,0,0,0.38041,0,0
34,dart,381,0.76314,0,0,0.76627,0,0,0.75171,0,0,0.73933,0,0,0.68207,0,0
35,dart,166,0.29023,0,0,0.30311,0,0,0.26867,0,0,0.33921,0,0,0.02434,0,0
36,dart,324,0.63747,0,0,0.42085,0,0,0.33371,0,0,0.27329,0,0,0.28759,0,0
37,dart,82,0.30856,0,0,0.2721,0,0,0.67848,0,0,0.26998,0,0,0.25,0,0
38,dart,76,0.41892,0,0,0.625,0,0,0.625,0,0,0.59696,0,0,0.625,0,0
39,dart,76,0.70935,0,0,0.28786,0,0,0.74006,0,0,0.61387,0,0,0.41624,0,0
40,dart,69,0.08179,0,0,0.54471,0,0,0.51866,0,0,0.48639,0,0,0.36464,1,0
41,dart,708,0.70473,0,0,0.6397,0,0,0.68721,0,0,0.68318,0,0,0.72053,0,0
42,dart,200,0.59985,0,0,0.58694,0,0,0.56208,0,0,0.55966,0,0,0.60105,1,1
43,dart,942,0.43546,1,1,0.39739,0,0,0.54875,0,0,0.37481,0,0,0.42036,0,0
44,dart,287,0.37057,0,0,0.46156,1,0,0.36462,0,0,0.42112,1,1,0.55371,1,1
45,dart,965,0.54745,1,1,0.50944,0,0,0.49489,0,0,0.63536,1,1,0.44534,0,0
46,dart,104,0.03289,0,0,0.04,0,0,0.04568,0,0,0.04245,0,0,0.04736,0,0
47,dart,345,0.31644,0,0,0.32212,0,0,0.3178,0,0,0.30199,0,0,0.30799,0,0
48,dart,2546,0.64106,1,0,0.65795,1,1,0.66335,1,0,0.55446,0,0,0.62162,0,0
49,dart,329,0.5388,1,1,0.41115,0,0,0.35251,0,0,0.34579,0,0,0.38966,1,1
50,dart,80,0.27654,0,0,0.36699,1,1,0.29572,0,0,0.4705,0,0,0.28238,0,0
51,dart,439,0.30616,0,0,0.42522,0,0,0.49643,0,0,0.46702,0,0,0.30881,0,0
52,dart,1353,0.5171,1,1,0.43242,0,0,0.48639,0,0,0.45696,0,0,0.55866,1,1
53,dart,219,0.64058,0,0,0.75603,0,0,0.58108,1,0,0.57494,0,0,0.68156,0,0
54,dart,237,0.77719,0,0,0.55439,0,0,0.71997,0,0,0.71509,0,0,0.60688,0,0
55,dart,1486,0.19665,0,0,0.53835,0,0,0.52666,0,0,0.51882,0,0,0.43965,0,0
56,dart,1112,0.69887,1,1,0.65851,0,0,0.2404,0,0,0.47115,0,0,0.43641,0,0
57,dart,493,0.31953,0,0,0.53413,0,0,0.33829,0,0,0.54872,0,0,0.35438,0,0
58,dart,780,0.24536,0,0,0.58544,0,0,0.64487,0,0,0.56224,0,0,0.53334,0,0
59,dart,214,0.53625,0,0,0.40214,0,0,0.29084,0,0,0.35921,1,1,0.32472,1,1
60,dart,730,0.63144,0,0,0.71554,0,0,0.74259,0,0,0.67492,0,0,0.75269,0,0
61,dart,485,0.57471,1,0,0.61136,0,0,0.62817,1,0,0.51308,1,0,0.63505,0,0
62,dart,484,0.52234,0,0,0.39905,0,0,0.53053,1,1,0.55125,0,0,0.46219,0,0
63,dart,43,0.28382,1,0,0.26933,0,0,0.00719,0,0,0.28742,1,1,0.33161,0,0
64,dart,43,0.25,0,0,0.28897,0,0,0.32859,1,1,0.2989,0,0,0.02737,0,0
65,dart,419,0.45934,0,0,0.4753,0,0,0.37522,0,0,0.5005,1,0,0.41059,0,0
66,dart,691,0.58766,0,0,0.54539,0,0,0.7,0,0,0.50901,0,0,0.52043,1,0
67,dart,1238,0.52148,0,0,0.61363,0,0,0.51548,0,0,0.4976,0,0,0.55298,0,0
68,dart,1173,0.21996,0,0,0.66113,1,0,0.26867,0,0,0.61306,0,0,0.69362,0,0
69,dart,1076,0.5937,0,0,0.49795,0,0,0.43402,0,0,0.4771,0,0,0.63287,1,1
70,dart,3076,0.48487,0,0,0.67088,0,0,0.52726,0,0,0.61379,0,0,0.53824,0,0
71,dart,435,0.09013,0,0,0.5305,1,1,0.49944,1,1,0.60963,1,1,0.50187,0,0
72,dart,874,0.35367,0,0,0.45557,0,0,0.35091,0,0,0.35927,0,0,0.67045,0,0
73,dart,2146,0.53807,0,0,0.56678,0,0,0.59987,0,0,0.61945,0,0,0.62289,0,0
74,dart,515,0.433,0,0,0.54001,0,0,0.55273,0,0,0.54858,0,0,0.49508,0,0
75,dart,933,0.65221,0,0,0.45147,0,0,0.58489,0,0,0.56133,0,0,0.64226,1,0
76,dart,86,0.52569,1,0,0.5835,1,0,0.60948,0,0,0.56158,0,0,0.5448,0,0
77,dart,86,0.77244,1,0,0.41409,0,0,0.6615,1,0,0.64595,1,0,0.45752,1,0
78,dart,265,0.75773,0,0,0.54471,0,0,0.78751,0,0,0.69162,0,0,0.72432,0,0
79,dart,432,0.53989,0,0,0.58029,0,0,0.56363,0,0,0.69511,0,0,0.57944,0,0
80,dart,101,0.33682,0,0,0.51541,0,0,0.46217,0,0,0.52814,0,0,0.50502,0,0
81,dart,147,0.54357,0,0,0.56039,0,0,0.53512,0,0,0.56745,0,0,0.65056,0,0
82,dart,4338,0.6675,0,0,0.60502,1,0,0.60684,0,0,0.65081,0,0,0.63275,0,0
83,dart,5416,0.36238,0,0,0.3843,0,0,0.57386,0,0,0.58458,0,0,0.53005,0,0
84,dart,366,0.33151,0,0,0.11483,0,0,0.34138,0,0,0.31766,0,0,0.33284,0,0
85,dart,637,0.35509,0,0,0.3469,0,0,0.37896,0,0,0.34882,0,0,0.70686,0,0
86,dart,21,0.28411,0,0,0.29942,0,0,0.27782,0,0,0.28028,0,0,0.26885,0,0
87,dart,121,0.1466,0,0,0.08384,0,0,0.375,0,0,0.07116,0,0,0.0561,0,0
88,dart,305,0.48439,0,0,0.40709,0,0,0.35523,0,0,0.32715,0,0,0.4484,0,0
89,dart,528,0.59368,1,1,0.52372,0,0,0.713,1,1,0.60543,1,1,0.46434,1,1
90,dart,479,0.59664,0,0,0.68372,0,0,0.64161,0,0,0.603,0,0,0.57918,1,0
91,dart,365,0.3773,0,0,0.77379,0,0,0.67079,0,0,0.76452,0,0,0.35894,0,0
92,dart,148,0.65794,1,0,0.44393,1,0,0.56005,0,0,0.45994,1,0,0.52906,0,0
93,dart,182,0.35573,1,0,0.38673,0,0,0.31798,0,0,0.32171,0,0,0.34421,0,0
