problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.63109,1,1,0.73788,1,0,0.68743,1,0,0.61869,0,0,0.65629,1,0,0.60988,0,0,0.53645,0,0,0.68363,1,0,0.6857,1,0,0.69548,1,0
1,dart,1184,0.67277,1,0,0.7029,1,0,0.70376,0,0,0.67733,1,0,0.66334,0,0,0.638,1,0,0.68134,0,0,0.68381,1,0,0.69905,1,0,0.67437,1,0
2,dart,301,0.64126,0,0,0.58961,1,1,0.5375,0,0,0.67762,1,1,0.52081,0,0,0.53895,0,0,0.64126,0,0,0.68655,0,0,0.39487,0,0,0.5484,0,0
3,dart,471,0.69577,1,0,0.62073,1,0,0.67832,1,0,0.67506,1,0,0.66587,1,0,0.50449,1,0,0.72409,1,0,0.62593,1,0,0.64851,1,0,0.69907,1,1
4,dart,611,0.54198,1,1,0.56724,1,0,0.50264,1,1,0.72831,1,1,0.56065,1,1,0.50833,1,1,0.56414,1,1,0.56003,1,1,0.57631,1,1,0.66878,1,1
5,dart,564,0.81242,1,1,0.7846,1,1,0.7846,1,1,0.81242,1,1,0.77354,1,1,0.81242,1,1,0.7846,1,1,0.7846,1,1,0.79852,1,1,0.77354,1,1
6,dart,852,0.66567,1,0,0.66595,1,0,0.48051,0,0,0.6942,1,0,0.48436,0,0,0.70999,1,0,0.62922,0,0,0.69222,0,0,0.52717,0,0,0.65649,1,0
7,dart,547,0.74185,1,1,0.59913,1,1,0.6329,0,0,0.75004,1,0,0.74185,1,1,0.74185,1,1,0.71143,1,0,0.74185,1,1,0.61345,1,1,0.74185,1,1
8,dart,598,0.64913,1,0,0.66934,1,0,0.69361,1,0,0.64964,1,0,0.639,1,0,0.62715,1,0,0.62197,1,0,0.62013,1,0,0.64441,1,0,0.66556,1,0
9,dart,807,0.62767,1,1,0.62767,1,1,0.63699,1,1,0.70882,1,1,0.62888,1,1,0.70548,1,1,0.67107,1,1,0.62767,1,1,0.70882,1,1,0.63984,1,1
