problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.7105,0,0,0.7105,0,0,0.42995,0,0,0.65757,0,0,0.7069,0,0,0.70456,0,0,0.61579,0,0,0.68621,0,0,0.75454,0,0,0.70817,0,0
1,dart,1184,0.54044,0,0,0.66456,0,0,0.56283,0,0,0.60642,0,0,0.74007,0,0,0.57079,0,0,0.66665,0,0,0.75098,0,0,0.62804,0,0,0.55286,0,0
2,dart,301,0.45563,0,0,0.67828,0,0,0.63739,0,0,0.50234,0,0,0.69087,0,0,0.57934,0,0,0.69087,0,0,0.54906,0,0,0.47509,0,0,0.48997,0,0
3,dart,471,0.79919,0,0,0.4954,0,0,0.60327,0,0,0.66923,0,0,0.5111,0,0,0.48604,0,0,0.64614,0,0,0.64028,0,0,0.61708,0,0,0.68721,0,0
4,dart,611,0.63562,0,0,0.52013,0,0,0.55409,0,0,0.72956,0,0,0.372,0,0,0.52505,0,0,0.53773,0,0,0.58102,0,0,0.76555,0,0,0.53628,0,0
5,dart,564,0.64157,0,0,0.67012,0,0,0.65738,0,0,0.61396,0,0,0.75033,0,0,0.63174,0,0,0.68384,0,0,0.70379,0,0,0.39295,0,0,0.71287,0,0
6,dart,852,0.59768,0,0,0.65852,0,0,0.73425,0,0,0.68587,0,0,0.57335,0,0,0.67791,0,0,0.67799,0,0,0.54574,0,0,0.70981,0,0,0.64035,0,0
7,dart,547,0.61425,0,0,0.68321,0,0,0.75,0,0,0.54075,0,0,0.20832,0,0,0.51932,0,0,0.39439,0,0,0.71729,0,0,0.42555,0,0,0.63806,0,0
8,dart,598,0.70884,0,0,0.62352,0,0,0.64131,0,0,0.67948,0,0,0.55775,0,0,0.71555,0,0,0.57592,0,0,0.67803,0,0,0.73892,0,0,0.64434,0,0
9,dart,807,0.76589,0,0,0.69956,0,0,0.65564,0,0,0.74706,0,0,0.69019,0,0,0.61092,0,0,0.62138,0,0,0.56887,0,0,0.58938,0,0,0.74707,0,0
10,dart,798,0.57308,0,0,0.75,0,0,0.50414,0,0,0.54944,0,0,0.39465,0,0,0.29613,0,0,0.52649,0,0,0.59396,0,0,0.61297,0,0,0.60723,0,0
11,dart,629,0.6789,0,0,0.65197,0,0,0.63924,0,0,0.69386,0,0,0.61612,0,0,0.58149,0,0,0.6218,0,0,0.62222,0,0,0.70314,0,0,0.63523,0,0
12,dart,534,0.61422,0,0,0.61186,0,0,0.61074,0,0,0.65051,0,0,0.66978,0,0,0.62116,0,0,0.65702,0,0,0.57685,0,0,0.48369,0,0,0.60491,0,0
13,dart,491,0.60438,0,0,0.58807,0,0,0.72273,0,0,0.72142,0,0,0.74868,0,0,0.73556,0,0,0.45662,0,0,0.73556,0,0,0.68202,0,0,0.61962,0,0
14,dart,381,0.85983,0,0,0.69779,0,0,0.60298,0,0,0.71777,0,0,0.76651,0,0,0.69889,0,0,0.68586,0,0,0.71583,0,0,0.68217,0,0,0.78445,0,0
15,dart,542,0.54722,0,0,0.5063,0,0,0.61739,0,0,0.70827,0,0,0.5787,0,0,0.5773,0,0,0.63127,0,0,0.70232,0,0,0.52557,0,0,0.58618,0,0
