problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.7105,1,0,0.7105,1,0,0.42995,0,0,0.65757,1,0,0.7069,0,0,0.70456,0,0,0.61579,1,0,0.68621,0,0,0.75454,1,1,0.70817,0,0
1,dart,1184,0.54044,0,0,0.66456,1,0,0.56283,1,0,0.60642,0,0,0.74007,0,0,0.57079,1,0,0.66665,0,0,0.75098,0,0,0.62804,0,0,0.55286,0,0
2,dart,301,0.45563,0,0,0.67828,0,0,0.63739,1,0,0.50234,0,0,0.69087,1,1,0.57934,0,0,0.69087,0,0,0.54906,0,0,0.47509,0,0,0.48997,0,0
3,dart,471,0.79919,0,0,0.4954,0,0,0.60327,1,0,0.66923,1,0,0.5111,1,0,0.48604,0,0,0.64614,0,0,0.64028,1,0,0.61708,1,0,0.68721,1,0
4,dart,611,0.63562,1,1,0.52013,1,0,0.55409,0,0,0.72956,0,0,0.372,0,0,0.52505,1,1,0.53773,1,0,0.58102,0,0,0.76555,1,1,0.53628,0,0
5,dart,564,0.64157,0,0,0.67012,0,0,0.65738,0,0,0.61396,0,0,0.75033,0,0,0.63174,0,0,0.68384,0,0,0.70379,0,0,0.39295,0,0,0.71287,0,0
6,dart,852,0.59768,0,0,0.65852,1,0,0.73425,0,0,0.68587,0,0,0.57335,0,0,0.67791,0,0,0.67799,0,0,0.54574,0,0,0.70981,0,0,0.64035,0,0
7,dart,547,0.61425,0,0,0.68321,0,0,0.75,0,0,0.54075,0,0,0.20832,0,0,0.51932,1,0,0.39439,0,0,0.71729,0,0,0.42555,0,0,0.63806,0,0
8,dart,598,0.70884,1,0,0.62352,0,0,0.64131,1,0,0.67948,0,0,0.55775,0,0,0.71555,1,0,0.57592,1,0,0.67803,1,0,0.73892,0,0,0.64434,1,0
9,dart,807,0.76589,0,0,0.69956,0,0,0.65564,1,1,0.74706,1,1,0.69019,0,0,0.61092,1,0,0.62138,1,0,0.56887,0,0,0.58938,0,0,0.74707,1,1
10,dart,798,0.57308,0,0,0.75,1,0,0.50414,0,0,0.54944,0,0,0.39465,0,0,0.29613,0,0,0.52649,0,0,0.59396,0,0,0.61297,0,0,0.60723,0,0
11,dart,629,0.6789,0,0,0.65197,1,0,0.63924,0,0,0.69386,1,0,0.61612,1,0,0.58149,0,0,0.6218,0,0,0.62222,1,0,0.70314,1,1,0.63523,0,0
12,dart,534,0.61422,1,1,0.61186,0,0,0.61074,1,0,0.65051,1,0,0.66978,1,1,0.62116,1,0,0.65702,1,0,0.57685,0,0,0.48369,0,0,0.60491,1,0
13,dart,491,0.60438,0,0,0.58807,1,0,0.72273,1,1,0.72142,1,1,0.74868,0,0,0.73556,1,1,0.45662,0,0,0.73556,1,1,0.68202,0,0,0.61962,0,0
14,dart,381,0.85983,1,0,0.69779,0,0,0.60298,0,0,0.71777,0,0,0.76651,1,1,0.69889,0,0,0.68586,0,0,0.71583,0,0,0.68217,1,1,0.78445,1,0
15,dart,542,0.54722,1,0,0.5063,1,0,0.61739,0,0,0.70827,0,0,0.5787,1,1,0.5773,0,0,0.63127,0,0,0.70232,0,0,0.52557,1,0,0.58618,1,1
16,dart,319,0.59568,0,0,0.60638,0,0,0.70253,0,0,0.60291,0,0,0.52297,0,0,0.75257,1,0,0.50971,0,0,0.59617,1,1,0.4931,0,0,0.50057,0,0
17,dart,636,0.44617,1,0,0.56602,0,0,0.75092,0,0,0.59424,0,0,0.50822,0,0,0.64479,0,0,0.8239,1,0,0.69891,0,0,0.4035,0,0,0.84235,0,0
18,dart,486,0.59758,1,1,0.5968,1,1,0.65559,0,0,0.5814,1,0,0.35883,0,0,0.67733,1,0,0.59056,0,0,0.63702,0,0,0.63352,0,0,0.63352,0,0
19,dart,702,0.51188,1,0,0.49204,0,0,0.70501,0,0,0.46918,1,0,0.5262,1,0,0.5926,1,0,0.47769,0,0,0.47222,0,0,0.54508,0,0,0.70842,0,0
20,dart,1013,0.665,0,0,0.64278,0,0,0.57983,1,0,0.68437,0,0,0.65332,1,0,0.67818,1,0,0.59069,0,0,0.69566,0,0,0.6512,0,0,0.61475,0,0
21,dart,701,0.6559,0,0,0.67028,0,0,0.71093,1,1,0.48523,0,0,0.64374,0,0,0.70974,1,1,0.43112,0,0,0.64599,0,0,0.68899,1,1,0.67076,0,0
22,dart,917,0.65492,0,0,0.617,0,0,0.67684,0,0,0.65007,0,0,0.75002,1,1,0.67684,0,0,0.59129,1,0,0.67783,0,0,0.75002,1,1,0.71294,0,0
24,dart,420,0.65908,0,0,0.6971,1,0,0.59474,0,0,0.73348,0,0,0.62366,0,0,0.68021,1,0,0.52083,0,0,0.7116,1,0,0.64123,0,0,0.674,1,0
26,dart,565,0.67639,1,0,0.61495,1,0,0.54038,0,0,0.69787,1,0,0.68718,0,0,0.80545,0,0,0.60486,0,0,0.64889,1,0,0.6635,1,0,0.57923,1,0
27,dart,753,0.52315,0,0,0.64697,0,0,0.67125,0,0,0.67127,0,0,0.59936,0,0,0.69672,1,0,0.57008,0,0,0.71562,1,1,0.69759,0,0,0.6849,0,0
28,dart,373,0.5746,0,0,0.66507,1,0,0.25212,1,0,0.4989,0,0,0.73532,0,0,0.5037,1,0,0.63302,0,1,0.6701,1,0,0.70059,1,0,0.48066,0,0
29,dart,671,0.63389,0,0,0.62544,0,0,0.68843,0,0,0.68294,0,0,0.55507,0,0,0.52037,0,0,0.64632,0,0,0.58756,1,1,0.68284,0,0,0.55925,0,0
30,dart,329,0.70647,0,0,0.71719,0,0,0.58719,0,0,0.68163,0,0,0.81391,0,0,0.59059,0,0,0.64941,0,0,0.75442,1,1,0.73235,0,0,0.59939,1,1
31,dart,502,0.68819,0,0,0.63579,0,0,0.64637,0,0,0.60353,0,0,0.64113,0,0,0.59401,1,1,0.72086,0,0,0.58027,0,0,0.65674,0,0,0.71713,0,0
