label,compile_at_1,compile_at_5,compile_at_10,total_problems,cache_entries,skipped_existing,source
frontier_gpt_chat_latest,0.46883116883116865,0.79978354978355,0.8701298701298701,154,,True,results\compile154_passharness\frontier_gpt_chat_latest_compile_at_k.json
frontier_sonnet5,0.22922077922077924,0.45395279323850746,0.538961038961039,154,,True,results\compile154_passharness\frontier_sonnet5_compile_at_k.json
frontier_deepseek_v4_pro,0.07727272727272717,0.28133374561945995,0.42857142857142855,154,,True,results\compile154_passharness\frontier_deepseek_v4_pro_compile_at_k.json
frontier_glm_5_2,0.06688311688311685,0.1727994227994228,0.23376623376623376,154,,True,results\compile154_passharness\frontier_glm_5_2_compile_at_k.json
binary_grpo,0.04220779220779218,0.17207792207792214,0.2792207792207792,154,,True,results\compile154_passharness\binary_grpo_compile_at_k.json
rs_sft_allarms,0.03376623376623375,0.14303751803751807,0.23376623376623376,154,1530,False,results\compile154_passharness\rs_sft_allarms_compile_at_k.json
binary_rs_sft_ref,0.03376623376623375,0.14649041434755722,0.2597402597402597,154,3051,False,results\compile154_passharness\binary_rs_sft_ref_compile_at_k.json
clean_g3,0.04090909090909089,0.1711760461760462,0.2792207792207792,154,4583,False,results\compile154_passharness\clean_g3_compile_at_k.json
style_repair_ultralite,0.02792207792207792,0.1190733869305298,0.2012987012987013,154,6115,False,results\compile154_passharness\style_repair_ultralite_compile_at_k.json
g3_p128r,0.034415584415584406,0.1469800041228613,0.2532467532467532,154,7636,False,results\compile154_passharness\g3_p128r_compile_at_k.json
style1036_sft,0.03506493506493504,0.15061327561327562,0.2597402597402597,154,9157,False,results\compile154_passharness\style1036_sft_compile_at_k.json
cfg_only,0.026623376623376625,0.11690888476602762,0.2077922077922078,154,10692,False,results\compile154_passharness\cfg_only_compile_at_k.json
simko_style_grpo,0.03636363636363634,0.15749330035044323,0.2727272727272727,154,12214,False,results\compile154_passharness\simko_style_grpo_compile_at_k.json
graph_text,0.022727272727272728,0.10353535353535355,0.18181818181818182,154,13747,False,results\compile154_passharness\graph_text_compile_at_k.json
base_reference,0.01493506493506494,0.06800144300144301,0.12337662337662338,154,15275,False,results\compile154_passharness\base_reference_compile_at_k.json
null_graph,0.01168831168831169,0.05699855699855701,0.11038961038961038,154,16796,False,results\compile154_passharness\null_graph_compile_at_k.json
text_only,0.008441558441558441,0.03841991341991342,0.07142857142857142,154,18332,False,results\compile154_passharness\text_only_compile_at_k.json
p128_without_rms,0.0,0.0,0.0,154,19872,False,results\compile154_passharness\p128_without_rms_compile_at_k.json
