problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass,cand_11_codebleu,cand_11_compile,cand_11_pass,cand_12_codebleu,cand_12_compile,cand_12_pass,cand_13_codebleu,cand_13_compile,cand_13_pass,cand_14_codebleu,cand_14_compile,cand_14_pass,cand_15_codebleu,cand_15_compile,cand_15_pass,cand_16_codebleu,cand_16_compile,cand_16_pass,cand_17_codebleu,cand_17_compile,cand_17_pass,cand_18_codebleu,cand_18_compile,cand_18_pass,cand_19_codebleu,cand_19_compile,cand_19_pass,cand_20_codebleu,cand_20_compile,cand_20_pass,cand_21_codebleu,cand_21_compile,cand_21_pass,cand_22_codebleu,cand_22_compile,cand_22_pass,cand_23_codebleu,cand_23_compile,cand_23_pass,cand_24_codebleu,cand_24_compile,cand_24_pass,cand_25_codebleu,cand_25_compile,cand_25_pass
0,dart,628,0.31042,0,0,0.41376,0,0,0.35453,0,0,0.36457,0,0,0.41464,0,0,0.341,0,0,0.32167,0,0,0.3464,0,0,0.29382,0,0,0.37496,0,0,0.35009,0,0,0.36403,0,0,0.31438,0,0,0.36283,0,0,0.28974,0,0,0.31923,0,0,0.304,0,0,0.32127,0,0,0.3275,0,0,0.36643,0,0,0.33336,0,0,0.40577,0,0,0.3764,0,0,0.33166,0,0,0.3614,0,0
1,dart,764,0.34219,0,0,0.42665,0,0,0.29835,0,0,0.36004,0,0,0.30347,0,0,0.30588,0,0,0.3488,0,0,0.04853,0,0,0.32263,0,0,0.31746,0,0,0.31795,0,0,0.31802,0,0,0.35506,0,0,0.33482,0,0,0.35596,0,0,0.3339,0,0,0.36997,0,0,0.07802,0,0,0.32995,0,0,0.3168,0,0,0.42799,0,0,0.30795,0,0,0.30271,0,0,0.32794,0,0,0.29977,0,0
2,dart,1502,0.36972,0,0,0.34515,0,0,0.35117,0,0,0.35182,0,0,0.34956,0,0,0.41587,0,0,0.3256,0,0,0.4309,0,0,0.37232,0,0,0.32086,0,0,0.32366,0,0,0.34608,0,0,0.35178,0,0,0.34788,0,0,0.46323,0,0,0.36389,0,0,0.3467,0,0,0.31629,0,0,0.35392,0,0,0.35695,0,0,0.37203,0,0,0.38744,0,0,0.34669,0,0,0.37507,0,0,0.36758,0,0
3,dart,491,0.32989,0,0,0.36822,0,0,0.3386,0,0,0.32006,0,0,0.40841,0,0,0.31954,0,0,0.31009,0,0,0.3043,0,0,0.34336,0,0,0.40906,0,0,0.31196,0,0,0.36721,0,0,0.354,0,0,0.33838,0,0,0.37784,0,0,0.30929,0,0,0.31742,0,0,0.40934,0,0,0.40461,0,0,0.33373,0,0,0.33022,0,0,0.40433,0,0,0.4037,0,0,0.32598,0,0,0.3185,0,0
4,dart,773,0.0766,0,0,0.32211,0,0,0.33819,0,0,0.31899,0,0,0.42863,0,0,0.42114,0,0,0.32891,0,0,0.32544,0,0,0.35883,0,0,0.31444,0,0,0.38661,0,0,0.33512,0,0,0.42086,0,0,0.33327,0,0,0.32096,0,0,0.42189,0,0,0.34121,0,0,0.37166,0,0,0.33215,0,0,0.39019,0,0,0.36377,0,0,0.35288,0,0,0.32575,0,0,0.29087,0,0,0.3826,0,0
5,dart,1179,0.29742,0,0,0.32491,0,0,0.32923,0,0,0.31532,0,0,0.4001,0,0,0.40154,0,0,0.36832,0,0,0.41757,0,0,0.27956,0,0,0.3412,0,0,0.36522,0,0,0.29807,0,0,0.29258,0,0,0.03519,0,0,0.38206,0,0,0.36259,0,0,0.06382,0,0,0.30546,0,0,0.30314,0,0,0.29229,0,0,0.31445,0,0,0.28001,0,0,0.28399,0,0,0.30012,0,0,0.32224,0,0
6,dart,491,0.37097,0,0,0.28581,0,0,0.4084,0,0,0.3104,0,0,0.34601,0,0,0.3066,0,0,0.30538,0,0,0.29694,0,0,0.3425,0,0,0.31348,0,0,0.31766,0,0,0.36171,0,0,0.37014,0,0,0.4074,0,0,0.3149,0,0,0.30964,0,0,0.36655,0,0,0.32159,0,0,0.308,0,0,0.33362,0,0,0.41004,0,0,0.299,0,0,0.32048,0,0,0.32407,0,0,0.40483,0,0
7,dart,505,0.29162,0,0,0.31745,0,0,0.31257,0,0,0.31898,0,0,0.33919,0,0,0.34596,0,0,0.33732,0,0,0.31304,0,0,0.32043,0,0,0.30887,0,0,0.32313,0,0,0.33435,0,0,0.37051,0,0,0.29543,0,0,0.30593,0,0,0.32864,0,0,0.35821,0,0,0.34457,0,0,0.31197,0,0,0.36453,0,0,0.28421,0,0,0.37539,0,0,0.36182,0,0,0.36085,0,0,0.36246,0,0
8,dart,1182,0.18003,0,0,0.19744,0,0,0.13792,0,0,0.1777,0,0,0.13577,0,0,0.13646,0,0,0.13011,0,0,0.16737,0,0,0.17842,0,0,0.13311,0,0,0.20786,0,0,0.19026,0,0,0.18352,0,0,0.17931,0,0,0.10909,0,0,0.18276,0,0,0.11259,0,0,0.17492,0,0,0.19349,0,0,0.17087,0,0,0.10906,0,0,0.12527,0,0,0.12884,0,0,0.1463,0,0,0.13828,0,0
9,dart,1731,0.32264,0,0,0.37098,0,0,0.378,0,0,0.38357,0,0,0.33758,0,0,0.3252,0,0,0.31085,0,0,0.35405,0,0,0.08189,0,0,0.04169,0,0,0.37576,0,0,0.42007,0,0,0.32548,0,0,0.41893,0,0,0.36848,0,0,0.41808,0,0,0.37078,0,0,0.36805,0,0,0.31632,0,0,0.36699,0,0,0.35603,0,0,0.42673,0,0,0.35169,0,0,0.32496,0,0,0.37084,0,0
